Table
,,STREET ,CITY ,ST ,RIFLE MFG 
SONS INC ,,7 GRASSO AVE ,NORTH HAVEN ,CT ,14129 
INC ,,30 CROSS ST ,BRISTOL ,CT ,4181 
,,,BRITAIN ,CT ,78367 
,,8578 HEARNS POND RD ,SEAFORD ,DE ,5 
"REPAIR, LLC ",,22957 DEEP BRANCH RD ,GEORGETOWN ,DE ,34 
,,,MANOR ,FL ,2 
,,,,FL ,37 
,,,,FL ,1139 
,,,,FL ,276 
,,,SMYRNA BEACH ,FL ,5 
,,,MYERS ,FL ,5 
,,,,FL ,11 
,,,,FL ,13 
SYSTEMS INC ,,1328 CLEMENTS WOODS LN ,JACKSONVILLE ,FL ,3 
,,,,FL ,11 
,,1468 NORTH GOLDENROD RD SUITE 220 ,ORLANDO ,FL ,34 
,,,,FL ,33 
,,,,FL ,28 
LLC ,,2561 FORSYTH RD UNIT I ,ORLANDO ,FL ,16 
GUN & TACTICAL LLC ,,320 EXECUTIVE BLVD ,LEESBURG ,FL ,1 
"JENKINS, LLC ",,977 18TH AVE SW ,VERO BEACH ,FL ,11 
,,610 NW RABBIT LOOP ,GREENVILLE ,FL ,264 
LOGISTICS LLC ,,3001 44TH AVE N ,SAINT PETERSBURG ,FL ,1 
,,,MYERS ,FL ,5 
GEORGE ,,7959 NE 132 PL ,CITRA ,FL ,1 
,,,,FL ,43 
,,,,FL ,1 
,,,,FL ,5 
,,,PETERSBURG ,FL ,2 
,,,,FL ,2732 
,,,HAVEN ,FL ,185 
CUSTOM TACTICAL LLC ,,925 WALKER RD ,WILDWOOD ,FL ,86 
,,,,FL ,2 


Table
60600773 ,O F MOSSBERG & ,,,,
60602353 ,PTR INDUSTRIES ,,,,
60600729 ,STAG ARMS LLC ,515 JOHN DOWNEY DR ,NEW ,,
85100523 ,"DAIGLE, RAYMOND ",,,,
85100390 ,PERRY'S GUN ,,,,
15946862 ,A & B DOW INC ,6048 FAIRWAY DR ,,RIDGE ,
15907305 ,AD TEK OF TALLAHASSEE INC ,2700 POWER MILL COURT BLDG 3 ,,,TALLAHASSEE 
15909585 ,ADAMS ARMS INC ,2549 SUCCESS DR ,,,ODESSA 
15912791 ,ADEQ FIREARMS COMPANY ,4921 WEST CYPRESS STREET ,,TAMPA ,
15917575 ,ADVANCED WEAPONS & FIREARMS LLC ,1508 INDUSTRIAL DR ,NEW ,,
15901343 ,AK-USA MANUFACTURING INC ,3112-1 PALM AVENUE ,FORT ,,
15905746 ,"AMERICAN VINTAGE GUN AND PAWN, INC ",4920 LENA RD UNIT 102 ,,,BRADENTON 
15919004 ,ARROWHEAD SHOOTING SPORTS LLC ,1519 SPANISH AVE ,,,LEESBURG 
15939794 ,B & K DIVING ,,,,
15910996 ,B&S FIREARMS INC ,2335 63RD AVE E STE M ,,,BRADENTON 
15912411 ,BLACK FORGE LLC ,,,,
15916171 ,BRB TACTICAL SYSTEMS INC ,300 SOUTH KENSINGTON AVE ,,,LECANTO 
15913890 ,BUSHIDO TACTICAL LLC ,6845 NARCOOSSEE RD SUITE # 51 ,,,ORLANDO 
15905417 ,R L & ASSOCIATES ,,,,
15913096 ,CENTRAL FLORIDA ,,,,
15907948 ,CHARLES W ,,,,
15906454 ,CLASS V INC ,,,,
15913670 ,COLT'S BALLISTIC ,,,,
15910650 ,CORPS TECHNOLOGY GROUP LLC ,3530 WORK DR ,FORT ,,
15911507 ,"COWAN, DOUGLAS ",,,,
15915069 ,CSC ARMS LLC ,4111 SW 47TH AVE STE 313 ,DAVIE ,,
15905639 ,DANIEL B. BRISTER ,1726 KEARNEY AVENUE ,,NAPLES ,
15913144 ,DAVIES INTERNATIONAL LLC ,2105 CLEO LANE ,,,CRESTVIEW 
15912603 ,DEFINITIVE ARMS LLC ,11865 34TH ST N ,SAINT ,,
15910123 ,DIAMONDBACK FIREARMS LLC ,4135 PINE TREE PL ,,COCOA ,
15916277 ,DRAGON FIRE ARMORY LLC ,4198 DUNDEE RD ,,,WINTER 
15913859 ,EAST COAST ,,,,
15911384 ,ECR FLORIDA LLC ,863 PIERCE RD ,,,WAUCHULA 


