Table
RDS KEY ,LICENSE NAME ,,STIREEI ,CITY ,ST ,MISC FA MFG
98200569 ,TACTICAL INNOVATIONS INC ,,345 SUNRISE RD ,BONNERS FERRY ,ID ,3192
33636039 ,ARMALITE INC ,,745 S HANFORD ST ,GENESEO ,IL ,2561
33637390 ,DS ARMS INC ,,27W990 INDUSTRIAL AVE ,LAKE BARRINGTON ,IL ,5512
33635626 ,KREBS CUSTOM INC ,,1000 N RAND RD #106 AND #105 ,WAUCONDA ,IL ,4
33637243 ,LEWIS MACHINE & TOOL CO ,,1305 W 11TH ST ,MILAN ,IL ,2529
33603459 ,0DIN ARMS LLC ,,415 W JACKSON AVE ,NAPERVILLE ,IL ,19
33601205 ,SPORTSWEREUS INC ,,855 COMMERCE PARKWAY ,CARPENTERSVILLE ,IL ,6153
43501191 ,"HAVERKAMP, THOMAS J ",,4850 N 13TH ST ,TERRE HAUTE ,IN ,19
43504386 ,MAG TACTICAL SYSTEMS LLC ,,5825A PROSPECT DR ,NEWBURGH ,IN ,918
43503322 ,REO ENGINEERING INC ,,1252 N UNION ST ,KOKOMO ,IN ,57
54801362 ,EXTRA SENSORY PROTECTION INC ,,5700 WEST 84TH ST ,0VERLAND PARK ,KS ,5
54801127 ,"GREER, JAMES T ",,520 E 6HT AVE ,CHENEY ,KS ,15
54802798 ,SENTINEL ARMS LLC ,,104 SOUTH MAIN ST ,MORGANVILLE ,KS ,20
46104099 ,BAD BULL MUZZLE LOADERS INC ,,200 E LEGION DR ,PRINCETON ,KY ,46
46100511 ,DOUBLE STAR CORP ,,5600 BYBEE RD ,WINCHESTER ,KY ,5493
46102771 ,IDEAL PRODUCTS INC ,,126 CAPITAL CT ,NICHOLASVILLE ,KY ,529
46104350 ,LOUISVILLE PATRIOT GROUP LLC ,,730 W MARKET ST SUITE 100 ,LOUISVILLE ,KY ,8
46103837 ,"LYNCH, JOHN DAVID ",,6123 W 5TH STREET RD ,0WENSBORO ,KY ,1
57202879 ,ELITE TACTICAL WEAPONS LLC ,,5905 FINANCIAL DR STE 800 ,SHREVEPORT ,LA ,25
57202928 ,"FOLEY ARMORY, LLC ",,209 E AMEDEE DR ,SCOTT ,LA ,1
57203753 ,STRAIGHT SHOT ARMS LLC ,,1710 HIGHWAY 520 ,HOMER ,LA ,1
57202835 ,VINTAGE SEASONS INC ,,132 BEAUREGARD AVE ,SULPHUR ,LA ,28
60400915 ,RCS DIESEL SERVICE INC ,,566 HOLYOKE STREET ,LUDLOW ,MA ,401
60402299 ,"SHEPPARD, JAMES ROBERT ",,7 RENKER DR ,EASTON ,MA ,2
60401684 ,SMITH & WESSON CORP ,,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,6995
60404099 ,TROY INDUSTRIES INC ,,151D CAPITAL DR ,WEST SPRINGFIELD ,MA ,23
85203574 ,"HOSTETTER, MARK A ",,21499 COLTON POINT RD ,AVENUE ,MD ,486
85202358 ,LWRC INTERNATIONAL LLC ,,815 CHESAPEAKE DRIVE ,CAMBRIDGE ,MD ,741
85211500 ,"MC KEE, INC ",,8725 BOLLMAN PLACE #1 ,SAVAGE ,MD ,765
60101652 ,"GENTILE, DAMON FRANCIS ",,398 PLAINS RD ,HOLLIS CENTER ,ME ,108
60100848 ,MG INDUSTRIES INC ,,1168 MAIN STREET ,0LD TOWN ,ME ,143
60100748 ,SMITH & WESSON CORP ,,19 AVIATION DR ,HOULTON ,ME ,903
43804997 ,CENTRAL SCREW PRODUCTS CO INC ,,1070 MAPLELAWN ,TROY ,MI ,1781
43804619 ,"GLAU, ANTHONY THOMAS ",,54 BOYER DR ,BATTLE CREEK ,MI ,1
43803907 ,HUGHES PRECISION PRODUCTS LLC ,,924 E MULLETT LAKE RD ,INDIAN RIVER ,MI ,107


