Table
LICENSE NAME ,STIREEI ,CITY ,ST ,MISC FA MFG
TACTICAL DEFENSE SURVIVAL LLC ,4881 GRANITE DR ,ROCKLIN ,CA ,27
TEMPLAR ARMAMENT LLC ,611 UNIVERSITY AVE ,LOS GATOS ,CA ,134
GODDARD ENTERPRISES LLC ,8495 WELD COUNTY ROAD 2 ,BRIGHTON ,CO ,119
JB TACTICAL LLC ,4304 KIPLING ST ,WHEAT RIDGE ,CO ,33
SHADOW OPS WEAPONRY LLC ,1830 BOSTON AVE UNIT E ,LONGMONT ,CO ,102
THIXOFORMING LLC ,8906 FRONTIER ST ,FIRESTONE ,CO ,1265
BMG L L ,68 OLD BROADWAY EAST ,NORTH HAVEN ,CT ,129
MARSAM METAL FINISHING CO ,14 M&S COURT ,NEW BRITAIN ,CT ,1
ACTION ARMS INC ,9120 CRAFTSMAN DR ,HUDSON ,FL ,122
BLACK OPS ARMOURY INC ,1512 OLD DAYTONA CT ,DELAND ,FL ,1
BLACK WIDOW AMMO & GUNS INC ,37443 STATE ROAD 19 ,UMATILLA ,FL ,15
CODE RED SPORTS CORP ,2300 WEST 84TH STREET SUITE 209 ,HIALEAH ,FL ,100
"FERRIS, STEPHEN JOSEPH ",2691 SALAMANCA STREET ,NAVARRE ,FL ,4
GOOD TIME OUTDOORS INC ,4600 W HIGHWAY 326 ,0CALA ,FL ,6913
KNIARMCO INC ,701 COLUMBIA BLVD ,TITUSVILLE ,FL ,2
MANTA MACHINING COMPANY LLC ,510B EAST ALFRED ST ,TAVARES ,FL ,133
SDNB ENTERPRISES LLC ,1311 ASHBORO CIR SE ,PALM BAY ,FL ,1
"SUTTON, KATHRYN M ",1468 N GOLDENROD RD SUITE 220 ,0RLANDO ,FL ,1
"TACTICAL MACHINING, LLC ",1270 BISCAYNE BLVD ,DELAND ,FL ,13800
ADVANCED ARMAMENT CORP LLC ,2408 TECH CENTER PARKWAY BUILDING H SUITE 150 ,LAWRENCEVILLE ,GA ,48
AMERICAN PRECISION ARMS LLC ,1154 GA HWY 59 ,COMMERCE ,GA ,153
CHESTATEE FIREARMS LLC ,6936 OLD WHELCHEL RD ,DAHLONEGA ,GA ,3
"GALLETTA, JOHN L JR ",6A NORTH COASTAL HWY ,PORT WENTWORTH ,GA ,94
GT VIRTUAL CONCEPTS LLC ,535 PINE RD STE 205 ,NEWNAN ,GA ,74
HEAD DOWN PRODUCTS LLC ,268 CADILLAC PARKWAY STE 108 ,DALLAS ,GA ,438
"INTEGRITY ARMS & SURVIVAL, LLC ",1450 GREENSBORO HWY ,WATKINSVILLE ,GA ,6
XSIVE INC ,5493 WESTMORELAND PLAZA STE D400 ,DOUGLASVILLE ,GA ,17
JARD INC ,3149 NEST AVE ,SHELDON ,IA ,31
"KNOWLER, MARK ANTHONY ",706 N MAIN ST ,SIGOURNEY ,IA ,5
LES BAER CUSTOM INC ,1804 IOWA DR ,LE CLAIRE ,IA ,1694
"MIDWEST METAL CREATIONS, LLC ",743 ADAMS AVE ,LISBON ,IA ,10
BAT MACHINE CO INC ,11550 N-BRUSS RD ,RATHDRUM ,ID ,542
"CDQ SOLUTIONS, LLC ",2772 S VICTORY VIEW WAY ,BOISE ,ID ,1715
LONE WOLF R & D LLC ,57 SHEPARD RD ,0LDTOWN ,ID ,984
"SEEKINS, GLEN DALE ",1708 6TH AVE. N. SUITE D ,LEWISTON ,ID ,3513
FIREARMS AND EXPLOSIVES SERVICES DIVISION ,,For Official Use Only ,,01/17/2014


