Table
RDS KEY ,LICENSE NAME ,STREET ,City ,ST ,RIFLE EXP 
98638020 ,AMERICAN SPIRIT ARMS CORP ,15001 N HAYDEN RD #112 ,SCOTTSDALE ,AZ ,6 
98635726 ,"MCMILLAN BROS RIFLE CO, INC ",1638 W KNUDSON SUITE B ,PHOENIX ,AZ ,7 
98636542 ,"ROBAR COMPANIES, INC ",21438 N 7TH AVE SUITE B ,PHOENIX ,AZ ,9 
98614472 ,STURM RUGER & CO INC ,200 RUGER RD ,PRESCOTT ,AZ ,259 
58400402 ,DENVER 45 LLC ,18757 E HAMPDEN AVE #162 ,AURORA ,CO ,
60600760 ,THE MARLIN FIREARMS CO ,100 KENNA DR ,NORTH HAVEN ,CT ,10611 
60636056 ,US REPEATING ARMS COMPANY ,344 WINCHESTER AVE ,NEW HAVEN ,CT ,2633 
60633345 ,COLT'S MANUFACTURING CO LLC ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,3605 
15917454 ,"KNIGHT, CHARLES REED JR ",7750 9TH ST SW ,VERO BEACH ,FL ,24 
15984505 ,"BIGGS, JOHN J ALSO SEE 59-59294 ",BLDG 6 UNIT 3 170 CELESTIAL WAY ,JUNO BCH ,FL ,
15923596 ,TAURUS INTERNATIONAL MANUFACTURING INC ,16175 NW 49TH AVE ,MIAMI ,FL ,25 
54235453 ,DOUBLE DEUCE INC ,24276 240TH ST ,CARROLL ,IA ,49 
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,12 
33637390 ,DS ARMS INC ,27W990 INDUSTRIAL AVE ,LAKE BARRINGTON ,IL ,33 
33637004 ,ROCK RIVER ARMS INC ,101 NOBLE ST ,CLEVELAND ,IL ,1 
33636039 ,ARMALITE INC ,745 S HANFORD ST ,GENESEO ,IL ,83 
43537660 ,"GORDON, GERALD PAUL JR ",617 W PORTER ST ,CROWN POINT ,IN ,1337 
46100880 ,L-3 COMMUNICATIONS INTEGRATED SYSTEMS LP ,5749 BRIAR HILL ROAD ,LEXINGTON ,KY ,
46137026 ,REMINGTON ARMS COMPANY INC ,22 RIFE TRAIL ,HICKORY ,KY ,5953 
60433152 ,"SAVAGE ARMS, INC ",100 SPRINGDALE RD ,WESTFIELD ,MA ,1004 
60400253 ,"H & R 1871, LLC ",60 INDUSTRIAL ROWE ,GARDNER ,MA ,186 
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,MD ,11 
60134465 ,BUSHMASTER FIREARMS BFI/QUALITY PARTS CO ,999 ROOSEVELT TRAIL BLDG 3 ,WINDHAM ,ME ,167 
43801839 ,"MARCINAK, LAURENCE EDWIN ",18995 174TH AVE ,SPRING LAKE ,MI ,
34135232 ,DEFENSE PROCUREMENT MFG SERVICES INC ,13983 INDUSTRY AVE ,BECKER ,MN ,255 
98155388 ,C SHARPS ARMS CO INC ,100 CENTENNIAL DR ,BIG TIMBER ,MT ,18 
60233754 ,THOMPSON CENTER ARMS CO INC ,FARMINGTON RD ,ROCHESTER ,NH ,471 
60201484 ,STURM RUGER & CO INC ,411 SUNAPEE ST ,NEWPORT ,NH ,9245 
61334276 ,KIMBER MFG INC ,1 LAWTON ST ,YONKERS ,NY ,48 
61635527 ,"REMINGTON ARMS CO, INC ",14 HOEFLER AVE ,ILION ,NY ,13701 
43100419 ,M O A CORPORATION ,2451 OLD CAMDEN PK ,EATON ,OH ,67 
43437065 ,KELBLY'S RIFLE RANGE INC ,7222 DALTON FOX LAKE RD ,NORTH LAWRENCE ,OH ,31 
43436235 ,"JONES, JOHNDAVID ",590 WOODVUE LANE ,WINTERSVILLE ,OH ,1 


