Table
KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
,GUNMAKERS INC ,,,,,,,,,,
,"OTTE, MICHAEL M ",200 SECOND AVE ,EDWARDSVILLE ,IL ,O ,0 ,0 ,O ,10 ,0 ,10 
,PRECISION GRINDING & MACHINE INC ,16664 CHERRY CREEK CT ,JOLIET ,IL ,O ,O ,O ,O ,O ,4 ,4 
,PRECISION SMALL ARMS INC ,16664 CHERRY CREEK CT ,JOLIET ,IL ,0 ,78 ,O ,0 ,0 ,0 ,78 
,ROCK ISLAND AUCTION COMPANY ,7819 42ND ST W ,ROCK ISLAND ,IL ,O ,O ,O ,O ,O ,1 ,1 
,ROCK RIVER ARMS INC ,1042 CLEVELAND RD ,COLONA ,IL ,O ,387 ,1 ,O ,42 ,37 ,467 
,RSS DEFENSE CORP ,441 W BONNER RD UNIT 1-G ,WAUCONDA ,IL ,O ,4 ,O ,0 ,0 ,0 ,4 
,SPORTSWEREUS INC ,855 COMMERCE PARKWAY ,CARPENTERSV LLE ,IL ,O ,O ,O ,O ,O ,4 ,4 
,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,O ,O ,O ,O ,16198 ,41381 ,57579 
,CABOT GUN COMPANY LLC ,3610 FOCUS DR ,FORT WAYNE ,IN ,O ,O ,O ,O ,O ,118 ,118 
,CGF ENTERPRISES LLC ,5438 N COUNTY ROAD 75 W ,LOGANSPORT ,IN ,O ,O ,O ,O ,0 ,5 ,5 
,RECOIL GUNWORKS LLC ,202 W MARKET ST ,SALEM ,IN ,4 ,0 ,2 ,O ,0 ,0 ,6 
,TEN RING LLC ,8671 STATE RD 135 ,VALLONIA ,IN ,O ,5 ,3 ,O ,0 ,O ,8 
,WARRIOR ARMS LLC ,2202 BURLINGTON BEACH RD ,VALPARAISO ,IN ,0 ,6 ,0 ,O ,0 ,0 ,6 
,ZR TACTICAL SOLUTIONS LLC ,15480 HERRIMAN BLVD ,NOBLESVILLE ,IN ,O ,0 ,O ,O ,2 ,2 ,4 
,BLACK DOG ARMORY LLC ,3050 S 44TH ST ,KANSAS CITY ,KS ,O ,4 ,O ,O ,13 ,2 ,19 
,KT KUSTOMS LLC ,503 S H ST ,WELLINGTON ,KS ,O ,0 ,O ,O ,1 ,O ,1 
,PODUNK INC ,1131 W DENNIS AVE ,OLATHE ,KS ,O ,21 ,O ,O ,O ,0 ,21 
,SAND CREEK OUTFITTING LLC ,111 E MAIN ,HARPER ,KS ,1 ,0 ,0 ,O ,0 ,2 ,3 
,SENTINEL ARMS LLC ,104 SOUTH MAIN ST ,MORGANVILLE ,KS ,1 ,O ,O ,0 ,O ,0 ,1 
,SIGNATURE MARKETING INC ,9825 WEST 67TH STREET ,MERRIAM ,KS ,13 ,0 ,13 ,O ,0 ,3 ,29 
,WHITE OAK SPECIALTY LLC ,2015 E STRATFORD RD ,OLATHE ,KS ,O ,1 ,O ,O ,O ,O ,1 
,ACCURATE TOOL & MFG CO INC ,737-2C WERNE DR ,LEXINGTON ,KY ,O ,0 ,0 ,0 ,0 ,2 ,2 
,ADVANCED WEAPONS TECHNOLOGY LLC ,426 FERRY ST ,RUSSELL ,KY ,1 ,O ,O ,0 ,2 ,17 ,20 
,CUMBERLAND TACTICAL SUPPLY LLC ,2846 A BEDFORD RD ,JEFFERSONVILL E ,KY ,3 ,0 ,0 ,O ,0 ,0 ,3 
,CUSTOM ARMS & ACCESSORIES LLC ,12200 PAUL COFFEY BLVD ,ASHLAND ,KY ,O ,20 ,0 ,O ,O ,0 ,20 
,DOUBLE STAR CORP ,1805 FORTUNE DR ,WINCHESTER ,KY ,O ,O ,O ,O ,1 ,7 ,8 
,DUTY FIREARMS LLC ,818 BYPASS RD ,WINCHESTER ,KY ,1 ,O ,O ,0 ,O ,O ,1 
,KEYSTONE MANUFACTURING LLC ,737-C2 WERNE DR ,LEXINGTON ,KY ,O ,O ,4 ,O ,O ,0 ,4 
,MVM ENTERPRISES LLC ,730 SALLIE DR ,ASHLAND ,KY ,1 ,0 ,0 ,0 ,0 ,0 ,1 


