Table
"CUSTOM GUNS, LLC ",3805 SOUTH ROSE ST ,PALMER ,AK ,2 
LLC ,"2521 E. MOUNTAIN VILLAGE DR., UNIT A ",WASILLA ,AK ,7 
ALLEN ,38630 FANNIE MAE AVE ,SOLDOTNA ,AK ,6 
LLC ,1140 EAST ESTY CIR ,PALMER ,AK ,22 
"GUNS, LLC ",7100 HOMER DRIVE ,ANCHORAGE ,AK ,62 
,8307 HWY 31 N ,MORRIS ,AL ,4 
PRECISION GUNWORKS LLC ,2044 HWY 18 ,SULLIGENT ,AL ,18 
CUSTOM LLC ,7416 MARIGOLD LN ,TUSCALOOSA ,AL ,18 
ARMS LLC ,22571 CANTRELL LANE ,ATHENS ,AL ,5 
"GUN WORKS, LLC ",312 LEE RD 553 ,PHENIX CITY ,AL ,36 
E ,1157 PHILLIPS RD ,LANETT ,AL ,3 
ARCHIE ,4024 BENT RIVER LN ,BIRMINGHAM ,AL ,30 
SERVICE LLC ,292 SILAS BRANCH RD ,SILAS ,AL ,1 
AMERICA LLC ,88 LEE ROAD 2078 ,PHENIX CITY ,AL ,4 
E ,725 BROOKLANE DRIVE ,HUEYTOWN ,AL ,5 
OWEN ,17943 GROUND HOG RD ,ADGER ,AL ,11 
AND DEFENSE LLC ,1002 DOUGLAS AVE ,OPP ,AL ,3 
S ,156 SUMMER FIELD DR ,DEATSVILLE ,AL ,1 
,8051 US HWY 31 ,CALERA ,AL ,3 
,3548 PELHAM PKWY S ,PELHAM ,AL ,13 
NICHOLAS ,901 GLAZE DR ,BESSEMER ,AL ,23 
FIREARMS INC ,7314 PARKWAY DR ,LEEDS ,AL ,3 
COMPONENTS LLC ,766 INDUSTRIAL PARK DR ,BREWTON ,AL ,25 
,29665 HOGAN AVE ,ARDMORE ,AL ,1 
LLC ,1039 COUNTY RD 256 ,WEDOWEE ,AL ,6 
ARMS COMPANY LLC ,1816 REMINGTON CIRCLE SW ,HUNTSVILLE ,AL ,133645 
SYSTEMS INC ,1561B MONTGOMERY HWY ,HOOVER ,AL ,4 
INC. ,2530 MORGAN ROAD ,BESSEMER ,AL ,2129 
TASKING ADVANTAGE CONTRACTING ,5530 HWY 280 STE 104A ,BIRMINGHAM ,AL ,4 
JEWELRY INC ,2021 ALMA HIGHWAY ,VAN BUREN ,AR ,3 
LLC ,1623 HIGHWAY 64 WEST ,EL PASO ,AR ,7 
SCOTTY L ,1223 HWY 412 W ,SILOAM SPRINGS ,AR ,43 
HAROLD EUGENE II ,3110 MOONLIGHTING PL ,BRYANT ,AR ,1 


