Table
RDS KEY ,LICENSE NAME ,STREEI ,CITY ,ST ,MISC FA MFG
98701922 ,MACHINE GUN ARMORY LLC ,545 W 9460 S ,SANDY ,UT ,9
98702284 ,"MORRILL, MARTY AARON ",352 NORTH 400 EAST ,LEHI ,UT ,10
98702161 ,0SS OPERATORS SUPPRESSOR SYSTEMS LLC ,280 WEST CENTRAL AVE ,MURRAY ,UT ,8
98701056 ,"SILENCERCO, LLC ",5511 SOUTH 6055 WEST ,WEST VALLEY CITY ,UT ,67
98702230 ,STS MANUFACTURING LLC ,673 WEST 1ST STREET BLD 4A BAY 5 ,0GDEN ,UT ,2252
98734710 ,TDJ INC ,"550 NORTH CEMETERY ROAD, BUILDING #1 ",GUNNISON ,UT ,23
98702121 ,TEGRA ARMS INC ,523 S COMMERCE RD ,0REM ,UT ,1373
98702542 ,VORN SURVIVAL LLC ,2220 N 2100 E ,LAYTON ,UT ,102
15413809 ,A S H INDUSTRIES INC ,4733 JEFFERSON DAVIS HWY ,FREDERICKSBURG ,VA ,44
15412412 ,APPALACHIAN GUN WORKS LLC ,4568 BLUE RIDGE BLVD ,BLUE RIDGE ,VA ,565
15413728 ,BACKGROUNDS UNLIMITED INC ,2309 LEE HWY ,MOUNT SIDNEY ,VA ,1
15406852 ,"BURFIELD, WILLIAM EDWARD ",8736 LANDMARK RD ,HENRICO ,VA ,120
15415404 ,GUARDIAN FIREARMS LLC ,6126 S VIRGINIA LN ,KING GEORGE ,VA ,1
15412077 ,"LIBERTY MANUFACTURING GROUP, LLC ",7515 RANCO RD ,HENRICO ,VA ,79
15410619 ,"SODAN ARMAMENT, LLC ",3300A NEW KENT HWY ,QUINTON ,VA ,17
15406989 ,STERLING ARSENAL WORKS & TACTICAL SUPPLY LLC ,201 DAVIS DRIVE UNIT FF ,STERLING ,VA ,3
15437411 ,WEGMANN USA INC ,30 MILL RACE DR ,LYNCHBURG ,VA ,580
15415031 ,WINCHESTER TOOL LLC ,110-A INDUSTRAL DR ,WINCHESTER ,VA ,33
15413676 ,ZDG LLC ,8736 LANDMARK RD ,HENRICO ,VA ,41
99105684 ,"AERO PRECISION, LLC ",2338 HOLGATE ST ,TACOMA ,WA ,51592
99104649 ,"AREA 53 RESEARCH & DEVELOPMENT, LLC ",1407 E CHATTAROY RD ,COLBERT ,WA ,148
99105285 ,FORT DISCOVERY INC ,3501 OLD GARDINER RD ,SEQUIM ,WA ,4
99105925 ,"GREY GHOST PRECISION, LLC ",2916 107TH ST S ,LAKEWOOD ,WA ,100
99103523 ,GUARDIAN TACTICAL LLC ,3024 206TH ST SW ,LYNNWOOD ,WA ,9
99105519 ,"NYGREN, JASON LOREN ",20607 FILBERT DR ,BOTHELL ,WA ,11
99104167 ,WYNAKOS MACHINE INC ,17461 147TH STREET SE STE 7 ,MONROE ,WA ,19
33905137 ,EAGLE ARMAMENT LLC ,9054 CR Y #3 ,SAUK CITY ,WI ,5
33904639 ,SCOTSMAN ARMS LLC ,320 PUTNAM STREET SUITE 7 ,EAU CLAIRE ,WI ,173
33907420 ,SELECT FIRE WEAPONRY LLC ,2325 PARKLAWN DRIVE UNIT B ,WAUKESHA ,WI ,2
45502553 ,CHILDERS GUNS LLC ,701 COUNTRY CLUB RD ,FAIRMONT ,WV ,1246
45501546 ,EFI LLC ,113 HAWICK RD ,INWOOD ,WV ,10
45502891 ,"HOSTETTER, MARK A ",74 DUPONT RD SUITE A ,MARTINSBURG ,WV ,394
45503353 ,VIQEN LLC ,1781 PHILIPPI PIKE ,CLARKSBURG ,WV ,1
,,HORN ,,,


