Table
TACTICAL CONCEPTS INC ,2731 S MEDINA LINE RD ,WADSWORTH ,0H ,16
GRAPHIX LLC ,3829 HAMILTON AVE STE 200 ,CLEVELAND ,0H ,3
ARMS LLC ,4621 SLEEPY HOLLOW ,MEDINA ,0H ,7
ARMS LLC ,50 JACKSON ST ,PORT CLINTON ,0H ,31
WEAPONS OF OHIO LLC ,582 N FAIRFIELD RD ,BEAVERCREEK ,0H ,61
ARMORY LLC ,169 LEXINGTON AVE ,ELYRIA ,0H ,1
ARMAMENT LTD ,250 PLACE ST ,LAKEVIEW ,0H ,3
"BEACHLER, WILLIAM THOMAS ",634 HYDE SHAFFER RD ,BRISTOLVILLE ,0H ,1
BENCHMARK PRECISION LLC ,3077 BUSHNELL CAMPBELL RD ,FOWLER ,0H ,1
GUNWORKS LLC ,4701 US 62 ,BERLIN ,0H ,2
FAMILY GUNS LLC ,18 FORT MONROE INDUSTRIAL PKWY ,MONROEVILLE ,0H ,2
LLC ,1958 STATE RT 125 STE F ,AMELIA ,0H ,2
CUSTOM SHOP LLC ,1380 BONNIE DR ,MANSFIELD ,0H ,17
SHAWN ,10007 FRANCHESTER RD ,BURBANK ,0H ,3
FIREARMS LLC ,10904 REIDENBACH RD ,VAN WERT ,0H ,9
LLC ,2766 LYNDLEY CT ,HILLIARD ,0H ,2
CUMMINGS ENTERPRISES LLC ,3711 STERLING DR ,FRANKLIN ,0H ,3
GROUP TECHNOLOGY LLC ,19240 TOWNSHIP RD 47 ,BELLE CENTER ,0H ,5
ARMS LLC ,1114 COLUMBUS AVE ,ASHTABULA ,0H ,2
ARMS LLC ,7957 CELINA-MENDON RD ,CELINA ,0H ,7
FIREARMS LLC ,11101 ADWOOD DR ,CINCINNATI ,0H ,44
TIMOTHY KURT ,6990 ELIZABETH BETHEL RD ,TIPP CITY ,0H ,8
PAUL A ,2500 MARKET ST ,YOUNGSTOWN ,0H ,29
DENNIS N ,5595 FORD RD ,MADISON ,0H ,1
HOLMESWOOD DEFENSE LLC ,5635 WOODSDALE RD ,HANOVERTON ,0H ,1
MANUFACTURING LLC ,6785 W THIRD ST ,DAYTON ,0H ,9
J PERFORMANCE INC ,410 E WOOD ST ,SHREVE ,0H ,25
"BALOGH, INC ",13566 INDIAN HOLLOW RD ,GRAFTON ,0H ,13
C SCALISE INC ,645 MANNING RD ,MOGADORE ,0H ,6
CUSTOM STOCKS AND RIFLES LLC ,1546 LAWSON STREET ,WHEELERSBURG ,0H ,1
JOHNDAVID ,590 WOODVUE LANE ,WINTERSVILLE ,0H ,9
JOSEPH CURTIS ,6011 US RT 40 E ,LEWISBURG ,0H ,2


