Table
RDS KEY ,LICENSE NAME ,SIREET ,CITY ,ST ,MISC FA MFG
93304459 ,WILDE BUILT TACTICAL LLC ,6045 LAKE MURRAY BLVD ,LA MESA ,CA ,25
99501701 ,WORLDWIDE AEROS CORP ,1734 AEROS WAY ,MONTEBELLO ,CA ,2
97701795 ,ZEV TECHNOLOGIES INC ,1051 YARNELL PLACE ,0XNARD ,CA ,3
58404254 ,COLORADO MOUNTAIN SALES LLC ,18887 E UNION DRIVE ,AURORA ,CO ,11
58401869 ,GODDARD ENTERPRISES LLC ,8495 WELD COUNTY ROAD 2 ,BRIGHTON ,CO ,11
58403573 ,JB TACTICAL LLC ,4304 KIPLING ST ,WHEAT RIDGE ,CO ,9
58405752 ,PHOENIX WEAPONRY LLC ,1822 SKYWAY DR UNIT P ,LONGMONT ,CO ,50
58405517 ,REAPER INNOVATIVE PRECISION LLC ,1413 WEBSTER AVE UNIT 4 ,FORT COLLINS ,CO ,17
58404495 ,TACTICAL ACOUSTICS LLC ,400 YOUNG CT UNIT 5 ,ERIE ,CO ,2
58404859 ,WELLINGTON ARMS LLC ,8900 W 1ST ST ,WELLINGTON ,CO ,46
60601926 ,GRAHAM TOOL & MACHINE LLC ,9 CONTAINER DRIVE ,TERRYVILLE ,CT ,5
60603213 ,METALLURGICAL PROCESSING INC ,68 ARTHUR ST ,NEW BRITAIN ,CT ,194
60601997 ,R & P MANUFACTURING INC ,37 STANWELL RD ,NEWINGTON ,CT ,101
60600763 ,"STURM, RUGER & COMPANY, INC ",1 LACEY PL ,SOUTHPORT ,CT ,1
15912791 ,ADEQ FIREARMS COMPANY ,4921 WEST CYPRESS STREET ,TAMPA ,FL ,3
15909126 ,AMMO DUMP INTERNATIONAL LLC ,1556 S STATE ROAD 53 ,MADISON ,FL ,2
15926564 ,AMTEC LESS LETHAL SYSTEMS INC ,4700 PROVIDENCE RD ,PERRY ,FL ,36
15905536 ,ANZIO IRONWORKS CORP ,3800 7TH AVE S ,SAINT PETERSBURG ,FL ,17
15920832 ,AZIMUTH TECHNOLOGY LLC ,10130 MARKET STREET STE 7 ,NAPLES ,FL ,15000
15932631 ,BAYMAR SOLUTIONS LLC ,5418 W CRENSHAW ST ,TAMPA ,FL ,49
15917254 ,FAMILY FIREARMS LLC ,1901 INDUSTRIAL PARK DR ,PLANT CITY ,FL ,25
15909552 ,GOOD TIME OUTDOORS INC ,4600 W HIGHWAY 326 ,0CALA ,FL ,428
15930521 ,HEADWATERS MANUFACTURING COMPANY LLC ,1231 STIRLING RD STE 105 ,DANIA BEACH ,FL ,14
15904057 ,"HOFFMAN, RICHARD C ",145 SHERIDAN AVE ,LONGWOOD ,FL ,4
15926496 ,0 INC ,2144 FRANKLIN DRIVE NE ,PALM BAY ,FL ,141
15923284 ,JERICHO SERVICES LLC ,6354 49TH STREET NORTH ,PINELLAS PARK ,FL ,30
15930668 ,PRECISION QUALITY MACHINING INC ,207 REECE WAY STE 1601 ,CASSELBERRY ,FL ,30
15931640 ,PREDATOR ORDNANCE LLC ,1025 PARK AVE ,0RANGE PARK ,FL ,50
15931060 ,"RENCICH, ANDREW S ",197 VILLACREST DR ,CRESTVIEW ,FL ,287
15921196 ,REPOSELL.COM LLC ,3350 HANSON ST STE C ,FORT MYERS ,FL ,20
15916589 ,ROCKET PROTOTYPES INC ,1231 STIRLING RD STE 105 ,DANIA BEACH ,FL ,3
15914540 ,RWMD LLC ,501 S FALKENBURG RD STE D21 & D22 ,TAMPA ,FL ,55
15903855 ,SAFETY HARBOR FIREARMS INC ,985 HARBOR LAKE DR UNIT 14 ,SAFETY HARBOR ,FL ,36
15946787 ,SERBU FIREARMS INC ,5902 JOHNS RD ,TAMPA ,FL ,175
15908014 ,"TACTICAL MACHINING, LLC ",1270 BISCAYNE BLVD ,DELAND ,FL ,1287


