Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,SHOTGUN MFG 
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE ,AR ,99 
98636542 ,ROBAR COMPANIES INC ,21438 N 7TH AVE SUITE B ,PHOENIX ,AZ ,2 
60634862 ,CONNECTICUT SHOTGUN MANUFACTURING CO ,35 WOODLAND ST ,NEW BRITAIN ,CT ,85 
60600773 ,O F MOSSBERG & SONS INC ,7 GRASSO AVE ,NORTH HAVEN ,CT ,329829 
60600760 ,THE MARLIN FIREARMS CO ,100 KENNA DR ,NORTH HAVEN ,CT ,2200 
60609280 ,"U S REPEATING ARMS COMPANY, INC ",344 WINCHESTER AVE ,NEW HAVEN ,CT ,95625 
60636056 ,US REPEATING ARMS COMPANY ,275 WINCHESTER AVE ,NEW HAVEN ,CT ,50334 
15948427 ,GREY GOOSE GUNSMITHING INC ,1532 SE VILLAGE GREEN DR #B ,PORT SAINT LUCIE ,FL ,1 
15917454 ,"KNIGHT, CHARLES REED JR ",7750 9TH ST SW ,VERO BEACH ,FL ,51 
15945866 ,SILVER SEITZ INC ,17000 PATTERSON RD #14 ,ODESSA ,FL ,12 
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,10524 
60436321 ,"FARRAR, GREGORY ",22 LOCKWOOD CIR ,SWANSEA ,MA ,1 
60434429 ,H & R 1871 INC NEW ENGLAND FIREARMS CO ,60 INDUSTRIAL ROWE ,GARDNER ,MA ,187562 
60433152 ,"SAVAGE ARMS, INC ",100 SPRINGDALE RD ,WESTFIELD ,MA ,3856 
85234687 ,AIM INC ,19200 MIDDLETOWN RD ,PARKTON ,MD ,43 
85236988 ,"GLASS, SETH RYAN ",7737 WOODBINE RD ,WOODBINE ,MD ,7 
60134643 ,GENERAL DYNAMICS WEAPON SYSTEMS INC ,291 NORTH ST ,SACO ,ME ,5 
43813395 ,FALLING BLOCK WORKS INC ,6121 ZINK RD ,MAYBEE ,MI ,2 
54338023 ,ALFERMANN USA INC ,156 POTTERY RD ,WASHINGTON ,MO ,34 
54734686 ,NIP MANUFACTURING INC ,3205 LEAVENWORTH ST ,OMAHA ,NE ,4 
60201484 ,STURM RUGER & CO INC ,411 SUNAPEE ST ,NEWPORT ,NH ,18691 
61635527 ,"REMINGTON ARMS CO, INC ",14 HOEFLER AVE ,ILION ,NY ,364354 
99335096 ,COLE ARMS INC ,2225 PINEHURST DR ,MCMINNVILLE ,OR ,13 
82333855 ,TAR HUNT CUSTOM RIFLES INC ,101 DOGTOWN RD ,BLOOMSBURG ,PA ,19 
34606531 ,DAKOTA ARMS INC ,HC 55 BOX 326 ,STURGIS ,SD ,9 
34633475 ,H S PRECISION INC ,1301 TURBINE DR ,RAPID CITY ,SD ,137 
16238654 ,LEINAD INC ,221 HWY 68 N ,DUCKTOWN ,TN ,641 
57434208 ,"MAVERICK ARMS, INC ",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK ,EAGLE PASS ,TX ,38338 
57642273 ,SOUTH CENTRAL RESEARCH CORP ,1906 PEAR CREEK CIRCLE ,HOUSTON ,TX ,2 
57581818 ,SPORTING ARMS MFG INC ,801 HALL AVE ,LITTLEFIELD ,TX ,3722 
57537987 ,"URBACH, MURRAY GLEN ",1529 AXE ,GARLAND ,TX ,20 
15439855 ,BRUECKMANN ENTERPRISES INC ,10998 LEADBETTER RD UNIT # 11 ,ASHLAND ,VA ,2 
99104337 ,LJUTIC INDUSTRIES INC ,732 N 16TH AVE #22 ,YAKIMA ,WA ,171 
33933175 ,US COMPETITION ARMS INC ,1925 ROOSEVELT AVE ,RACINE ,WI ,600 


