Table
RDS KEY ,LICENSE NAME ,STREEI ,CITY ,ST ,MISC FA MEG
57503595 ,,204 ALPHA LANE ,GRANBURY ,TX ,17
57534781 ,,10938 FM 19 ,FRANKSTON ,TX ,1
57501894 ,,4219 W CO RD N ,0DESSA ,TX ,37
57503144 ,,1041 FM 1274 ,COLEMAN ,TX ,204
57601289 ,KENCO ARMS LLC ,10111 CHAMPION FOREST LOOP ,CONROE ,TX ,1
57434208 ,,INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK ,EAGLE PASS ,TX ,6514
57600812 ,,169 APRIL COVE ,MONTGOMERY ,TX ,32
57500210 ,,2049 MEANDER RD ,GRANBURY ,TX ,1
57503181 ,R C S GUNS INC ,4021 CR 177 ,ANNA ,TX ,12
57501654 ,,21852 FM 449 SUITE A ,LONGVIEW ,TX ,11
57537515 ,,10059 HWY 1476 ,COMANCHE ,TX ,3
57541806 ,STILLERS PRECISION FIREARMS LLC ,2405 COUNTRY MEADOW LN ,WYLIE ,TX ,751
57535139 ,,111 FM 2134 ,VOSS ,TX ,1
98700869 ,,GRANTSVILLE ,UT ,20
15439855 ,BRUECKMANN ENTERPRISES INC ,11263 AIR PARK RD BLDG D ,ASHLAND ,VA ,39
15403086 ,CCF RACEFRAMES LLC ,313 BERWICKSHIRE DR ,RICHMOND ,VA ,966
15440133 ,CCF/SWISS INC ,313 BERWICKSHIRE DR ,RICHMOND ,VA ,15
15404237 ,DOMINION SHOOTING RANGE INC ,106 TURNER RD ,RICHMOND ,VA ,1
15400508 ,,1500 STAPLES ST LOT 1 ,RADFORD ,VA ,10
15403791 ,SPYGLASS TACTICAL FIREARMS LLC ,7322 LORD FAIRFAX HWY ,BERRYVILLE ,VA ,6
60306096 ,SQUIRES BINGHAM INTL INC ,190 JUNCTION RD ,HARDWICK ,VT ,989
99101420 ,,711 CURTIS HILL RD ,CHEHALIS ,WA ,14
33934380 ,,2944 11TH AVE ,GRAND MARSH ,WI ,2


