Table
RDS KEY ,LICENSE NAME ,STREETI ,CITY ,ST ,MISC FA MFG 
98202586 ,LONE WOLF R&D LLC ,106 SHANNON LN STE B ,PRIEST RIVER ,ID ,2149 
98201498 ,QUALITY ARMS IDAHO LLC ,350 N 3RD W ,RIGBY ,ID ,8 
98202543 ,SEEKINS PRECISION LLC ,159 AMERICAN WAY ,LEWISTON ,ID ,6093 
98202164 ,TACTICAL SOLUTIONS INC ,2772 S VICTORY VIEW WAY ,BOISE ,ID ,916 
98202372 ,VENGEANCE ARMS LLC ,246 CALDWELL BLVD ,NAMPA ,ID ,24 
98203050 ,WILKINSON ARMS LLC ,14754 MURPHY FLAT ROAD ,MURPHY ,ID ,3 
98202760 ,"WILLIAMS, TYREL ",541 WEST 4TH ST ,WEISER ,ID ,111 
33604018 ,"A & S ARMS, INC ",303 N MAIN STREET SUITE 100 B ,ANTIOCH ,IL ,25 
33604543 ,AR1510 LLC ,745 S HANFORD ,GENESEO ,IL ,442 
33703779 ,DECO MANUFACTURING COMPANY ,5054 CUNDIFF CT ,DECATUR ,IL ,13 
33637390 ,DS ARMS INC ,27W990 INDUSTRIAL AVE ,LAKE BARRINGTON ,IL ,1607 
33603644 ,IMPERIAL ARMS CO ,8176 OLD RIDGE RD ,PLAINFIELD ,IL ,97 
33704493 ,"MCCLURE, KEVIN ",301 S BROADWAY ST ,HUDSON ,IL ,95 
33603459 ,ODIN ARMS LLC ,215 OSWALT ,BATAVIA ,IL ,12 
33604340 ,"PAWLOWSKI, MATTHEW ALAN ",9520 PAULING RD ,MONEE ,IL ,6 
33601205 ,SPORTSWEREUS INC ,855 COMMERCE PARKWAY ,CARPENTERSVILLE ,IL ,1521 
43504873 ,ACME FIREARMS MEG LLC ,800 E TIPTON ST ,SEYMOUR ,IN ,252 
43505109 ,BCI DEFENSE LLC ,545 N BOWEN AVE ,BREMEN ,IN ,2227 
43506696 ,BOBCAT ARMAMENT & MANUFACTURING LLC ,1632 E STATE RD 44 ,SHELBYVILLE ,IN ,37 
43505002 ,DEPUTY BIG SHOT LLC ,10214 W DEPUTY PIKE RD ,DEPUTY ,IN ,21 
43501191 ,"HAVERKAMP, THOMAS J ",4850 N 13TH ST ,TERRE HAUTE ,IN ,8 
43504890 ,MARCOLMAR FIREARMS LLC ,5626 NEW PARIS PIKE ,RICHMOND ,IN ,94 
54804010 ,CHARGER ARMS LLC ,5244 W 285TH ST ,OSAGE CITY ,KS ,35 
54803746 ,"CORBET, WILLIAM A JR ",1304 LAWRENCE AVE ,LEAVENWORTH ,KS ,35 
54804005 ,FREE STATE ARMAMENT LLC ,101 COTTONWOOD COURT ,OZAWKIE ,KS ,16 
54803923 ,JOE BOB OUTFITTERS LLC ,4850 GENERAL HAYS ,HAYS ,KS ,2232 
54803256 ,PODUNK INC ,1131 W DENNIS AVE ,OLATHE ,KS ,602 
54802798 ,SENTINEL ARMS LLC ,104 SOUTH MAIN ST ,MORGANVILLE ,KS ,14 
54802710 ,SIGNATURE MARKETING INC ,15845 MAHAFFIE ,OLATHE ,KS ,566 
46105166 ,AMERICAN ARMAMENT ARMS INC ,1075 OPTIMIST RD ,ELIZABETHTOWN ,KY ,19 
46102135 ,CUSTOM SHOOTING TECHNOLOGIES INC ,8794 ELMBURG ROAD ,BAGDAD ,KY ,107 
46100511 ,DOUBLE STAR CORP ,1805 FORTUNE DR ,WINCHESTER ,KY ,1044 
46102771 ,IDEAL PRODUCTS INC ,126 CAPITAL CT ,NICHOLASVILLE ,KY ,331 
46106541 ,"NORSWORTHY, BRADLEY DAVID ",1121 FREEDOM CHURCH RD ,HARNED ,KY ,40 
46107213 ,REDHAWK TACTICAL TRAINING SOLUTIONS INC ,3064 HWY 266 ,CORYDON ,KY ,1 


