Table
KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RIFLE MFG 
15915979 ,PRAESTOLOR ARMS LLC ,2040 SHORT AVE ,ODESSA ,FL ,46 
15926145 ,PRECISION TACTICAL ARMS COMPANY LLC ,5155 SOUTH FERDON BLVD UNIT A ,CRESTVIEW ,FL ,39 
15931640 ,PREDATOR ORDNANCE LLC ,1025 PARK AVE ,ORANGE PARK ,FL ,9 
15908443 ,PROJECT GUNS LLC ,1727 NW ARCADIA WAY ,BOCA RATON ,FL ,31 
15914865 ,PUCH MANUFACTURING CORPORATION ,3701 SAINT VALENTINE WAY ,ORLANDO ,FL ,3 
15911859 ,QUICK DRAW QUALITY PAWN INC ,201 S 41 BYPASS ,VENICE ,FL ,12 
15947048 ,"QUINNELL, DONALD LEE ",3112-3 PALM AVE ,FORT MYERS ,FL ,10 
15930839 ,RANGER PROOF ARMS LLC ,13707 N NEBRASKA AVE ,TAMPA ,FL ,69 
15914244 ,RMW XTREME INC ,1011 406TH COURT EAST ,MYAKKA CITY ,FL ,6 
15903855 ,SAFETY HARBOR FIREARMS INC ,985 HARBOR LAKE DR UNIT 14 ,SAFETY HARBOR ,FL ,69 
15931456 ,SENTINEL SOLUTIONS LLC ,2068 HAMPTON RD ,WAUCHULA ,FL ,2 
15946787 ,SERBU FIREARMS INC ,5902 JOHNS RD ,TAMPA ,FL ,125 
15931677 ,"SIMS, RONALD PAUL ",1315 61 AVE EAST UNIT 81 ,BRADENTON ,FL ,1 
15917322 ,SLR RIFLEWORKS LLC ,1232 WINTER GARDEN VINELAND RD STE 120 ,WINTER GARDEN ,FL ,7 
15925832 ,SMITH HISTORIC COLLECTIONS LLC ,10925 SW 27TH AVE ,GAINESVILLE ,FL ,1 
15915803 ,SOUTHERN GUNS LLC ,1255 S US 17-92 ,LONGWOOD ,FL ,6 
15930933 ,SOUTHERNMOST GUNS INC ,5613 3RD AVE ,KEY WEST ,FL ,5 
15912014 ,"SPARKMAN, JOHN B, III ",26001 S DIXIE HWY ,NARANJA ,FL ,
15913173 ,SPECIAL OPS TACTICAL LLC ,515 COOPER COMMERCE DR STE 180 ,APOPKA ,FL ,27 
15903291 ,SPECTRE ENTERPRISES LLC ,4372 N US HWY 1 #4 ,VERO BEACH ,FL ,1 
15914422 ,SURGEONEERING LLC ,11 RACETRACK RD NE STE E4 ,FORT WALTON BEACH ,FL ,4 
15915559 ,SWUB ENTERPRISES INC ,36 S HWY 17-92 ,DEBARY ,FL ,22 
15913642 ,TACTICAL AMBUSH LLC ,3852 N JOHN YOUNG PKWY UNIT 15 ,ORLANDO ,FL ,17 
15908014 ,"TACTICAL MACHINING, LLC ",1270 BISCAYNE BLVD ,DELAND ,FL ,39 
15908821 ,TACTICAL RIFLES INC ,4918 AIRPORT RD ,ZEPHYRHILLS ,FL ,182 
15907190 ,TACTICAL WEAPONS INC ,3924 CLEVELAND AVENUE ,FORT MYERS ,FL ,12 
15908538 ,THE ARMS ROOM LLC ,19048 E COLONIAL DR ,ORLANDO ,FL ,95 
15916906 ,TRIDENT ARMS LLC ,3212 N 40TH ST STE 801 ,TAMPA ,FL ,11 
15915319 ,WEAPON ENHANCEMENT SOLUTIONS LLC ,6120-3 POWERS AVE ,JACKSONVILLE ,FL ,350 
15930075 ,WESTWOOD ARMS LLC ,9516 STAR VIEW LANE ,TALLAHASSEE ,FL ,4 
15921056 ,WHISKEY RIDGE FIREARMS LLC ,17903 EARTH STAR LN ,GROVELAND ,FL ,5 
15913668 ,WMD GUNS LLC ,3068 3070 SE DOMENICA TERRACE ,STUART ,FL ,230 


