Table
RDS KEY ,LICENSE NAME ,STREEI ,CITY ,ST ,MISC FA MFG
43404198 ,KING MACHINE & TOOL CO ,1237 SANDERS AVE SW ,MASSILLON ,0H ,32
43401968 ,"KMP CLASSIC ARMS, INC ",556 CALDWELL AVE ,MANSFIELD ,0H ,89
43104040 ,"MORRIS, ROBERT E AS SUCCESSOR TO MORRIS, ANDREW ",7319 FAIRGROUND RD ,BLANCHESTER ,0H ,2
43401651 ,0HIO ORDNANCE WORKS INC ,305 AND 310 PARK DR ,CHARDON ,0H ,1
43103555 ,PHOENIX TRINITY MANUFACTURING INC ,1883 SOUTHTOWN BLVD STE 102 ,DAYTON ,0H ,473
57304684 ,CAIN AND ABEL ENTERPRISES LLC ,9950- C E 55TH PLACE ,TULSA ,0K ,1
57304721 ,HAILEY ORDNANCE COMPANY ,1661 EXCHANGE AVE ,0KLAHOMA CITY ,0K ,18
57301293 ,SURGEON RIFLES LLC ,48955 MOCCASIN TRAIL RD ,PRAGUE ,0K ,678
99304223 ,A-TEAM ARMS LLC ,201 SE 10TH ST ,GRANTS PASS ,0R ,23
99302007 ,ARMS LLC ,25408 S HWY 99E ,AURORA ,0R ,15
99304226 ,"BULLARD'S MACHINE AND RIFLE WORKS, LLC ",1106 HIGHLANDS DRIVE ,EAGLE POINT ,0R ,1
99303685 ,"COLFAX TACTICAL, LLC ",1611 SW FIRST ST UNIT A ,REDMOND ,0R ,65
99304259 ,CRUSADER OPERATOR CORPORATION ,10500 SW REDCLOUD RD ,POWELL BUTTE ,0R ,41
99303200 ,DOUBLE TAP LLC ,2075 NE HWY 20 ,BEND ,0R ,10
99301728 ,HALO MANUFACTURING LLC ,3970 HAMPSHIRE LANE ,EUGENE ,0R ,38
99303636 ,"JONES, NATHAN WILLIAM & ASHLEY SAZANNE ",75398 FERN HILL RD ,RAINIER ,0R ,36
99303399 ,RESEARCH DEVELOPMENT LABORATORIES LLC ,3970 HAMPSHIRE LN ,EUGENE ,0R ,10
99304128 ,SMOS ARMS INC ,484 PLEASANT VALLEY RD ,MERLIN ,0R ,23
99337182 ,TNW FIREARMS INC ,55325 TIMBER RD ,VERNONIA ,0R ,18
99304129 ,VIPER NORTHWEST INC ,1216 JACKSON ST SE ,ALBANY ,0R ,1
99303509 ,VIPER TACTICAL ARMS LLC ,37367 REDWOOD HWY ,0' BRIEN ,0R ,7
99302088 ,"YEAMANS, MATTHEW B ",480 ROGUE RIVER PKWY ,TALENT ,0R ,61
82304603 ,ACCURATEGUNSHOP.COM LLC ,62 NORTH HIGH ST ,ARENDTSVILLE ,PA ,24
82300927 ,ARMAMENT SERVICES INTERNATIONAL INC (ASI) ,103 CAMARS DR ,WARMINSTER ,PA ,1
82303723 ,BLAK FORGE ARMOURY LLC ,1803 RT 287 ,MORRIS ,PA ,1
82338992 ,"BORDEN, JAMES F ",1325 SHELDON HILL ROAD ,SPRINGVILLE ,PA ,285
82305603 ,COLLINGWOOD ENTERPRISES LLC ,2807 PERKIOMEN AVE ,READING ,PA ,14
82504565 ,FRANKLIN ARMS CO ,5479 MAIN ST ,MARION ,PA ,4
82304234 ,LANCER SYSTEMS LP ,2800 MILFORD SQUARE PKE ,QUAKERTOWN ,PA ,1014
82303888 ,LANCO TACTICAL LLC ,498 WEST HIGH STREET ,ELIZABETHTOWN ,PA ,225
82305099 ,ROWE TACTICAL INC ,2229 SANATOGA STATION RD ,POTTSTOWN ,PA ,192
82502168 ,"SWATSWORTH, WILLIAM JOHN ",156 BAKER RD ,DU BOIS ,PA ,60
82305930 ,WARWICK TACTICAL LLC ,1917 MCFARLAND DR ,LANDISVILLE ,PA ,212
82303130 ,WELLS CUSTOM GUNMAKERS LLC ,1750 MALONEY HILL RD ,NICHOLSON ,PA ,18
82502999 ,XTREME MACHINING LLC ,6506 KYLERTOWN DRIFTING HWY ,DRIFTING ,PA ,600


