Table
,,,,STREET ,CITY ,ST ,RIFLE MFG 
LLC ,,,,5504 N HUNTERS RIDGE ,STILLWATER ,OK ,1 
,,,,3928 E 60TH ST ,TULSA ,OK ,1 
ARMORY LLC ,,,,49351 E 43 RD ,PAWNEE ,OK ,3 
,,,,301 WORLEY ST ,STILWELL ,OK ,4 
LLC ,,,,8604 NW 155 PL ,EDMOND ,OK ,4 
D ,,,,6644 QUAIL RIDGE RD ,BARTLESVILLE ,OK ,25 
LLC ,,,,17 OAK POND ,SHAWNEE ,OK ,3 
A ,,,,1520 N HARRISON ,SHAWNEE ,OK ,1 
,,,,48955 MOCCASIN TRAIL RD ,PRAGUE ,OK ,210 
LLC ,,,,3921 S BRYANT ,OKLAHOMA CITY ,OK ,27 
JR ,,,,1510 N ELM AVE ,SHAWNEE ,OK ,26 
,,,,3840 SW 113TH ,OKLAHOMA CITY ,OK ,11 
,,,,1531 MIRACLE LANE ,MEDFORD ,OR ,1 
,,,,1851 CORDON RD SE ,SALEM ,OR ,149 
,,,,16187 MEADOWS RD ,WHITE CITY ,OR ,8 
WILLIAM ,,,,33256 SW EM WATTS ROAD ,SCAPPOOSE ,OR ,3 
SPORTING ARMS LLC ,,,,"4706 TABLE ROCK ROAD, UNIT F ",CENTRAL POINT ,OR ,4 
"AND RIFLE WORKS, ",,,LLC ,1106 HIGHLANDS DRIVE ,EAGLE POINT ,OR ,7 
SYSTEMS ,,,,1090 HEMLOCK ST ,ELGIN ,OR ,326 
RIFLESMITHING LLC ,,,,1100 SOUTH SECOND STREET ,UNION ,OR ,1 
,,,,923 N FREMONT LANE ,CORNELIUS ,OR ,10 
LLC ,,,,1611 SW FIRST ST UNIT A ,REDMOND ,OR ,14 
CORPORATION ,,,,10500 SW REDCLOUD RD ,POWELL BUTTE ,OR ,10 
ARMORY LLC ,,,,155 EAST OREGON AVE ,CRESWELL ,OR ,6 
,,,,607 E VIEWPOINT DR ,CULVER ,OR ,3 
"SOLUTIONS, LLC ",,,,10201 SW BEAVERTON-HILLSDALE HWY ,BEAVERTON ,OR ,1 
TACTICAL INC ,,,,56402 HAZEN RD ,WARREN ,OR ,97 
,,,,5896 NW COLUMBIA DR ,MADRAS ,OR ,2 
,,,,43 NW CHERRY LN STE 104 ,MADRAS ,OR ,5 
,,,,2606 SW 4TH STREET SUITE B ,REDMOND ,OR ,190 
INC ,,,,14134 S DONOVAN RD ,OREGON CITY ,OR ,2 
WORKS LLC ,,,,2795 ANDERSON AVENUE #35 ,KLAMATH FALLS ,OR ,51 
,,,,115 SW COLUMBIA STREET ,BEND ,OR ,1113 


