Table
RDS KEY ,LICENSE NAME ,STREET ,City ,ST ,RIFLE EXP
43505958 ,"LINDSEY, MI YONG & JAMES ",3527 WEST US 40 ,GREENFIELD ,IN ,20
46103520 ,WM C ANDERSON INC ,1743 ANDERSON BLVD ,HEBRON ,KY ,53
57204339 ,SPEC OPS DEFENSE SYSTEMS LLC ,1500 NEW NATCHITOCHES RD ,WEST MONROE ,LA ,3
60435456 ,"SAEILO, INC ",130 GODDARD MEMORIAL DR ,WORCESTER ,MA ,358
60433152 ,"SAVAGE ARMS, INC ",100 SPRINGDALE RD ,WESTFIELD ,MA ,59663
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,3833
60404099 ,TROY INDUSTRIES INC ,151D CAPITAL DR ,WEST SPRINGFIELD ,MA ,2
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,MD ,426
60101933 ,"CATHCART, JIM A ",1023 W BAY RD ,GOULDSBORO ,ME ,1
60101661 ,WINDHAM WEAPONRY INC ,999 ROOSEVELT TRAIL BUILDING #3 ,WINDHAM ,ME ,260
34103314 ,MAGNUM RESEARCH INC ,12602 33RD AVE SW ,PILLAGER ,MN ,286
34103584 ,REMINGTON ARMS COMPANY LLC ,3312 12TH ST SE ,SAINT CLOUD ,MN ,13
54310039 ,"BIXLER, CHRISTOPHER A ",213 MORGAN ST ,AUXVASSE ,MO ,4
54340140 ,"BORDSON, MARTIN J ",1209 SWIFT ST ,NORTH KANSAS CITY ,MO ,68
98133799 ,POWDER RIVER RIFLE CO INC ,201 CENTENNIAL DR ,BIG TIMBER ,MT ,8
98101151 ,MONTANA RIFLE COMPANY ,3178 MT HWY 35 ,KALISPELL ,MT ,202
98155388 ,C SHARPS ARMS CO INC ,100 CENTENNIAL DR ,BIG TIMBER ,MT ,3
98101384 ,"BENNETT, HECTOR E ",874 NORTH RIVER ROCK DR ,BELGRADE ,MT ,5
98101499 ,PROOF RESEARCH INC ,10 WESTERN VILLAGE LANE ,COLUMBIA FALLS ,MT ,1
15605761 ,"GRAHAM, JACK DONALDSON III ",132 S SCALES ST ,REIDSVILLE ,NC ,12
15609766 ,APPALACHIAN ARMS INCORPORATED ,48 WALDORF PLACE ,BRASSTOWN ,NC ,10
15609063 ,STURM RUGER & COMPANY INC ,271 CARDWELL RD ,MAYODAN ,NC ,6168
15605343 ,"GLOVER, DANIEL CARTER ",473 ROBBINS RD ,YOUNGSVILLE ,NC ,10
54701806 ,SKYLINE COMPANIES INC ,10915 HARRISON ST ,LAVISTA ,NE ,4
60200735 ,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST ,NEWPORT ,NH ,52668
60201816 ,SIG SAUER INC ,72 PEASE BLVD ,NEWINGTON ,NH ,4625
82200698 ,HENRY RAC HOLDING CORP ,59 E 1ST ST ,BAYONNE ,NJ ,20526
61334276 ,KIMBER MEG INC ,1 LAWTON ST ,YONKERS ,NY ,522
61300458 ,KIMBER MFG INC ,1120 SAW MILL RIVER RD ,YONKERS ,NY ,35
61602170 ,JUST RIGHT CARBINES LLC ,231 SALTONSTALL ST ,CANANDAIGUA ,NY ,1079
43404434 ,BEECH ARMAMENT LLC ,105 MARC DR ,CUYAHOGA FALLS ,0H ,10
43404492 ,HAMMERS TACTICAL LLC ,1220 CLINTON ST ,DEFIANCE ,0H ,3
43404517 ,AMERICAN TACTICAL CONCEPT INC ,1455 WOLF CREEK TRAIL ,SHARON CENTER ,0H ,8
43437065 ,KELBLY'S RIFLE RANGE INC ,7222 DALTON FOX LAKE RD ,NORTH LAWRENCE ,0H ,161
99301142 ,"NOSLER, INC ",115 SW COLUMBIA STREET ,BEND ,0R ,150
99304063 ,"MOA RIFLES, LLC ",2606 SW 4TH STREET SUITE B ,REDMOND ,0R ,4


