Table
RDS KEY ,LICENSE NAME ,SIREET ,CITY ,ST ,MISC FA MFG
93305168 ,SALT WORKS RIFLES LLC ,7042 SANTA FE AVE EAST UNIT C4 ,HESPERIA ,CA ,2
97703651 ,SELECT FIRE GROUP ,2547 N BUSINESS PARK AVE ,FRESNO ,CA ,30
93304827 ,TRIP WIRE LLC ,7960 SILVERTON AVE STE 105 ,SAN DIEGO ,CA ,2
97702945 ,"VON COLLN, JOHN ",3166 E THOUSAND OAKS BLVD ,THOUSAND OAKS ,CA ,86
58404254 ,COLORADO MOUNTAIN SALES LLC ,18887 E UNION DRIVE ,AURORA ,CO ,6
58403572 ,CURTIS ARMS LLC ,425 S BOWEN ST STE 3 ,LONGMONT ,CO ,2
58401869 ,GODDARD ENTERPRISES LLC ,8495 WELD COUNTY ROAD 2 ,BRIGHTON ,CO ,88
58403573 ,JB TACTICAL LLC ,4304 KIPLING ST ,WHEAT RIDGE ,CO ,3
58405752 ,PHOENIX WEAPONRY LLC ,1822 SKYWAY DR UNIT P ,LONGMONT ,CO ,23
58404810 ,PRECISION ARMAMENT ENGINEERING INC ,3730 NORWOOD DR ,LITTLETON ,CO ,5
58404495 ,TACTICAL ACOUSTICS LLC ,400 YOUNG CT UNIT 5 ,ERIE ,CO ,25
58405707 ,"VITAGLIANO, MICHAEL JEREMY ",14111 CR 240 ,DURANGO ,CO ,1
58404859 ,WELLINGTON ARMS LLC ,8900 W 1ST ST ,WELLINGTON ,CO ,53
60601926 ,GRAHAM TOOL & MACHINE LLC ,9 CONTAINER DRIVE ,TERRYVILLE ,CT ,1
15905746 ,"AMERICAN VINTAGE GUN AND PAWN, INC ",4920 LENA RD UNIT 102 ,BRADENTON ,FL ,11
15905536 ,ANZIO IRONWORKS CORP ,3800 7TH AVE S ,SAINT PETERSBURG ,FL ,7
15907991 ,ARES DEFENSE SYSTEMS INC ,295 NORTH DRIVE SUITE H ,MELBOURNE ,FL ,52
15930118 ,ARTICLE II FIREARMS LLC ,25430 NW 8TH LN STE 100 ,NEWBERRY ,FL ,3
15931644 ,BLACK CREEK PRECISION LLC ,4949 SUNBEAM ROAD #8 ,JACKSONVILLE ,FL ,4
15909552 ,GOOD TIME OUTDOORS INC ,4600 W HIGHWAY 326 ,0CALA ,FL ,2566
15918839 ,GPI MANUFACTURING LLC ,4949 SUNBEAM ROAD #8 ,JACKSONVILLE ,FL ,626
15930521 ,HEADWATERS MANUFACTURING COMPANY LLC ,1231 STIRLING RD STE 105 ,DANIA BEACH ,FL ,16
15923284 ,JERICHO SERVICES LLC ,6354 49TH STREET NORTH ,PINELLAS PARK ,FL ,17
15946787 ,SERBU FIREARMS INC ,5902 JOHNS RD ,TAMPA ,FL ,35
15912014 ,"SPARKMAN, JOHN B, III ",26001 S DIXIE HWY ,NARANJA ,FL ,
15908014 ,"TACTICAL MACHINING, LLC ",1270 BISCAYNE BLVD ,DELAND ,FL ,1950
15911971 ,TACTICAL SUPERIORITY INC ,2825 BUSINESS CENTER BLVD SUITE C-6 ,MELBOURNE ,FL ,119
15931061 ,TITAN IND LLC ,107 ALLGOOD CIRCLE UNIT 1 ,ST AUGUSTINE ,FL ,1
15808613 ,CAMP CREEK GUNWORKS LLC ,3467 COLLEGE ST ,COLLEGE PARK ,GA ,3
15806454 ,DEFENSE RESEARCH & DEVELOPMENT LLC ,268 CADILLAC PKWY STE 104 ,DALLAS ,GA ,449
15806917 ,DELTA THREE TACTICAL LLC ,115 SEATTLE SLEW WALK ,JEFFERSON ,GA ,31
15810030 ,"JARRARD, JOHN GEORGE ",3587 E PAULDING DR STE 204 ,DALLAS ,GA ,2
15808177 ,RAIDER ARMS LLC ,999 SUNNY FIELD LN ,LAWRENCEVILLE ,GA ,21
15809754 ,SKYJACKER DEFENSE LLC ,399 LIVELY AVE STE 100 ,NORCROSS ,GA ,723
15810914 ,TACTICAL FIREARMS SOLUTIONS LLC ,397 ROLLINS INDUSTRIAL CT ,RINGGOLD ,GA ,84


