Table
,,,,,CITY ,UT ,15 
COMPANY ,,,,ONE BROWNING PLACE ,MORGAN ,UT ,6 
,,,,,,UT ,34 
,,,,,,UT ,16 
LLC ,,,,9470 SOUTH 560 WEST ,SANDY ,UT ,27 
,,,,,GROVE ,UT ,2 
LLC ,,,,1010 W KERSHAW ,OGDEN ,UT ,42 
,,,,,,UT ,4 
,,,,98 WEST 300 SOUTH ,MILLVILLE ,UT ,2 
COMPANY ,,,,98 WEST 300 SOUTH - UNIT #25 ,MILLVILLE ,UT ,2 
,,,,1995 WEST ALEXANDER STREET ,WEST VALLEY CITY ,UT ,1368 
,,,,,,UT ,18 
,,,,,,UT ,5 
,,,,,,UT ,2 
,,,,,,UT ,11 
,,,,,,UT ,1 
FIREARMS LLC ,,,,387 N 300 W ,CEDAR CITY ,UT ,49 
"DEAN & JENKINS, CORY ",,,,DEWAIN 1635 S 500 WEST ,WOODS CROSS ,UT ,1 
,,,,,,UT ,10 
LLC ,,,,545 W 9460 S ,SANDY ,UT ,18 
AARON ,,,,352 NORTH 400 EAST ,LEHI ,UT ,5 
,,,,,,UT ,40 
GUNSMITHING LLC ,,,,3518 W BARN FIELD WAY ,WEST VALLEY CITY ,UT ,4 
,,,,,,UT ,3 
,,,,,,UT ,29 
,,,,,,UT ,41 
,,,,610 NO INDUSTRIAL RD ,ST GEORGE ,UT ,2 
,,,,3621 A SOUTH 4700 WEST ,WEST HAVEN ,UT ,2 
LLC ,,,,1669 NW HENEFER ROAD ,HENEFER ,UT ,18 
,,,,,,UT ,1 
,,,,,,UT ,10 
,,,,,,UT ,1344 


Table
98702208 ,BRETHREN ARMAMENT LLC ,2156 W PRINTERS ROW ,WEST VALLEY 
98701005 ,BROWNING ARMS ,,
98701875 ,BULLSEYE PRECISION LLC ,2590 COMMERCE WAY UNIT E ,OGDEN 
98700716 ,"CHILD, LELAND VERL ",4175 SOUTH 4300 WEST ,WEST HAVEN 
98701806 ,CITIZENS ACADEMY ,,
98702458 ,CONDOR CUSTOM LLC ,509 E 200 S ,PLEASANT 
98701532 ,CROSS CANYON ARMS ,,
98702353 ,CROSSHILL TECHNOLOGIES LLC ,564 WEST 9320 S ,SANDY 
98700550 ,D'ARCY ECHOLS ,,
98700554 ,D'ARCY ECHOLS & ,,
98701385 ,DESERT TECH LLC ,,
98702294 ,DYNAMIC BALANCE MACHINE LLC ,2500 S DECKER LAKE BLVD STE 6 ,WEST VALLEY 
98702507 ,"FERRERO, PETER GARY ",716 WEST BULLION ST ,MURRAY 
98701371 ,"GURR, BRANDT R ",3928 N 2800 W ,FARR WEST 
98702410 ,HAIR TRIGGER LLC ,491 E 2650 N ,NORTH LOGAN 
98701565 ,"HORAN, JOHN DENNIS ",5141 W 11100 N ,HIGHLAND 
98702334 ,IRON MOUNTAIN ,,
98700807 ,"JENKINS, CURTIS ",,
98701641 ,"JEPPSON, BRIAN COLE ",5408 W 10180 N ,HIGHLAND 
98701922 ,MACHINE GUN ARMORY ,,
98702284 ,"MORRILL, MARTY ",,
98701245 ,MOUTAIN VIEW MACHINE AND WELDING INC ,2485 SOUTH 1350 WEST ,LOGAN 
98702216 ,NO QUARTER ,,
98701000 ,"PAWELEC, RICHARD S ",512 NORTH MAIN ST ,KANARRAVILLE 
98701853 ,"PRATT, STEPHEN D & JONI ",12441 S 4380 W ,PAYSON 
98701606 ,RED ROCK PRECISION LLC ,181 N COMMERCIAL ST ,MORGAN 
98702336 ,ROWDY'S LLC ,,
98700383 ,"STAIR, BRAD S ",,
98701886 ,SUB MOA FIREARMS ,,
98701589 ,SUMMIT PRECISION ARMS LLC ,481 NORTH 100 WEST ,HYDE PARK 
98701839 ,TACK DRIVERS ,12650 W 150 N ,ALTAMONT 
98734710 ,TDJ INC ,"550 NORTH CEMETERY ROAD, BUILDING #1 ",GUNNISON 
98702291 ,WEIGH OF THE BULLET LLC ,163 SOUTH CENTER ST ,WELLSVILLE 


