Table
RDS KEY ,LICENSE NAME ,,SIREEI ,CITY ,ST ,MISC FA MFG
54203229 ,CREATIVE ARMS LLC ,,1430 EAST FLEMING AVE ,DES MOINES ,IA ,62
54200689 ,JARD INC ,,3149 NEST AVE ,SHELDON ,IA ,338
54201706 ,LES BAER CUSTOM INC ,,1804 IOWA DR ,LE CLAIRE ,IA ,1686
54201889 ,V CUSTOM INC ,,24276 240TH ST ,CARROLL ,IA ,355
98235032 ,BAT MACHINE CO INC ,,11550 N-BRUSS RD ,RATHDRUM ,ID ,615
98200317 ,"CDQ SOLUTIONS, LLC ",,2772 S VICTORY VIEW WAY ,BOISE ,ID ,555
98202181 ,"IDAHO DEFENSE LOGISTICS, LLC ",,"2791 S. VICTORY VIEW WAY, SUITE #200 ",BOISE ,ID ,15
98200759 ,"JENNINGS, WILLIAM ",,3025 LEADVILLE ,BOISE ,ID ,3
98201213 ,LONE WOLF R & D LLC ,,57 SHEPARD RD ,0LDTOWN ,ID ,545
98202111 ,MILTAC INDUSTRIES LLC ,,"719 N PRINCIPLE PLACE, SUITE 130 ",MERIDIAN ,ID ,109
98200569 ,TACTICAL INNOVATIONS INC ,,345 SUNRISE RD ,BONNERS FERRY ,ID ,1802
98202164 ,TACTICAL SOLUTIONS INC ,,2772 S VICTORY VIEW WAY ,BOISE ,ID ,372
33636039 ,ARMALITE INC ,,745 S HANFORD ST ,GENESEO ,IL ,3468
33703779 ,DECO MANUFACTURING COMPANY ,,5054 CUNDIFF CT ,DECATUR ,IL ,16
33637390 ,DS ARMS INC ,,27W990 INDUSTRIAL AVE ,LAKE BARRINGTON ,IL ,3302
33637243 ,LEWIS MACHINE & TOOL CO ,,1305 W 11TH ST ,MILAN ,IL ,4265
33603459 ,0DIN ARMS LLC ,,415 W JACKSON AVE ,NAPERVILLE ,IL ,44
33601205 ,SPORTSWEREUS INC ,,855 COMMERCE PARKWAY ,CARPENTERSVILLE ,IL ,13679
43504873 ,ACME FIREARMS MEG LLC ,,800 E TIPTON ST ,SEYMOUR ,IN ,251
43504966 ,FOSTECH MFG LLC ,,8620 N US HWY 31 ,SEYMOUR ,IN ,2000
43504392 ,FTW TECHONOLOGY INC ,,14552 MAIN ST ,MOORES HILL ,IN ,3
43501191 ,"HAVERKAMP, THOMAS J ",,4850 N 13TH ST ,TERRE HAUTE ,IN ,29
43503958 ,HIS & HERS TARGET SPORTS LLC ,,408 SOUTH MAIN ST ,SHERIDAN ,IN ,1
43504848 ,PC & R FREEDOM ENTERPRISES LLC ,,426 N MURPHY AVE ,BRAZIL ,IN ,5
43503322 ,REO ENGINEERING INC ,,1252 N UNION ST ,KOKOMO ,IN ,76
43505022 ,TMG TACTICAL CORP ,,7902 NORTH 100 WEST ,PERRYSVILLE ,IN ,1
43505457 ,VISION ARMORY LLC ,,304 N MAIN ST STE B ,MIDDLEBURY ,IN ,393
54802605 ,"BOWKER, SHAUN PAUL ",,2360 BLVD T ,ROLLA ,KS ,54
54803022 ,SEED95 ENTERPRISES ,,7327 MEADOWSWEET LN ,SHAWNEE ,KS ,40
54802798 ,SENTINEL ARMS LLC ,,104 SOUTH MAIN ST ,MORGANVILLE ,KS ,12
46100511 ,DOUBLE STAR CORP ,,5600 BYBEE RD ,WINCHESTER ,KY ,7760
57203729 ,GLOBAL DEFENSE ARMS LLC ,,9519 MAURICE AVE ,MAURICE ,LA ,26
60407147 ,B&R MACHINE INC ,,290 MOODY ST ,LUDLOW ,MA ,6
60403820 ,POLYMER CORPORATION ,,0NE THIRD ST ,PALMER ,MA ,45
60400915 ,REMSPORT MFG LLC ,,566 HOLYOKE STREET ,LUDLOW ,MA ,574


