Table
STREET ,CITY ,ST ,RIFLE MFG
BUILDING ,LAWRENCEVILLE ,GA ,6477
,CATAULA ,GA ,1
,JEFFERSON ,GA ,27
1720 GOLDMINE RD ,DAWSONVILLE ,GA ,1
D ,DEMOREST ,GA ,22
,DULUTH ,GA ,14
,WOODBINE ,GA ,4
6936 OLD WHELCHEL RD ,DAHLONEGA ,GA ,45
,ROCK SPRING ,GA ,11
4236 NEWTON RD SOUTH ,MILLEN ,GA ,30
,HOMER ,GA ,32
268 CADILLAC PKWY STE 104 ,DALLAS ,GA ,787
115 SEATTLE SLEW WALK ,JEFFERSON ,GA ,31
,DAWSON ,GA ,3
439 RIVERBEND DR ,MACON ,GA ,360
,COMER ,GA ,1338
3309 EAST 1ST ST ,VIDALIA ,GA ,5
,LAWRENCEVILLE ,GA ,18
,JACKSON ,GA ,2
6116 HWY 515 NORTH STE D ,ELLIJAY ,GA ,21
250 KELLER RD ,ROSSVILLE ,GA ,3
,SHILOH ,GA ,12
,FRANKLIN ,GA ,87
1205 WASHINGTON STREET ,JEFFERSON ,GA ,44
,NASHVILLE ,GA ,12
,VIDALIA ,GA ,75
208 MEADOW CREEK WAY ,WOODSTOCK ,GA ,2
,TRION ,GA ,2
220 BAY BERRY LANE ,RINCON ,GA ,1
,CALHOUN ,GA ,6
,KINGSTON ,GA ,1
,GRAY ,GA ,7


Table
15806236 ,ADVANCED ARMAMENT CORP LLC ,2408 TECH CENTER PARKWAY H SUITE 150
15808553 ,ALANS ARMORY LLC ,35 MACON DR
15805214 ,"AMERICAN PRECISION ARMS, LLC ",55 LYLE FIELD ROAD
15809523 ,APPALACHIAN ARMORY INC ,
15805926 ,BLACK FOREST GUNWURKS LLC ,101 DEMOREST SQUARE UNIT
15802643 ,BP FIREARMS COMPANY LLC ,1685 BOGGS ROAD SUITE 300
15807676 ,"CAPT JERRY'S WEAPON WORKS, LLC ",178 HIGH POINT RD
15808264 ,CHESTATEE FIREARMS LLC ,
15806316 ,"CHRISTIAN, JAMES ISSAC III ",240 PINEWOOD DR
15806154 ,COLLIER RIFLES LLC ,
15808273 ,COUNTRY BOY ENTERPRISES INC ,783 CAUDELL RD
15806454 ,DEFENSE RESEARCH & DEVELOPMENT LLC ,
15806917 ,DELTA THREE TACTICAL LLC ,
15806176 ,"DRUMMOND, ROBERT LAVON ",7055 FLORIDA SHORT ROUTE
15804577 ,"DULONG, RONALD STEVENS ",
15805433 ,ENGINEERING & CYCLE CO INC ,4904 HWY 98
15807840 ,FLATLINE CUSTOM GUNS LLC ,
15807891 ,FORT DANIEL INC ,910 CRIPPLE CREEK DR
15808709 ,GRUMPPY'S GUN WORKS INC ,186 TINGLE RD
15807319 ,"GUN PRO SHOPS LLC, THE ",
15800115 ,"HERITAGE CUSTOM ARMS, LLC ",
15808210 ,"HILDERBRAND, MONROE C JR ",1606 N MAIN ST
15801270 ,HISTORIC ARMS LLC ,1486 CHERRY RD
15807443 ,"INTEGRITY ARMS & SURVIVAL, LLC ",
15803294 ,J WHIDDEN RIFLEWORKS LLC ,2282 MARK WATSON ROAD
15806481 ,KAVOD CUSTOM LLC ,110 E MEADOWS ST
15807905 ,KINETIC FIREARMS LLC ,
15808126 ,KING RIFLE COMPANY LLC ,2452 HALLS VALLEY DR
15807857 ,LIFE ABUNDANTLY LLC ,
15808622 ,LONG CREEK FIREARMS INVESTMENTS LLC ,216 GREYSTONE DR SE
15805361 ,"MARCH, DAVID ALAN ",234 AMBERWOOD TRAIL
15808029 ,"MCGARITY, ROBERT B ",239 DEER CREEK CIRCLE


