Table
KEY ,LICENSE NAME ,STREET ,CITY ,ST ,REVOLVERS
,COLT'S MANUFACTURING CO LLC ,545 NEW PARK AVE ,WEST HARTFORD ,CT ,4
,MEGGITT TRAINING SYSTEMS INC ,296 BROGDON RD ,SUWANEE ,GA ,46
,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,14668
,MAGNUM RESEARCH INC ,12602 33RD AVE SW ,PILLAGER ,MN ,83
,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST ,NEWPORT ,NH ,5789
,0HIO ORDNANCE WORKS INC ,305 AND 310 PARK DR ,CHARDON ,0H ,1
,H S PRECISION INC ,1301 TURBINE DR ,RAPID CITY ,SD ,56
,NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,589
,"JOHNSON, VALERIE ANNE ",75B ABBOTT RD ,ELMA ,WA ,


