Table
57233690 ,CLARK CUSTOM GUNS INC ,,336 SHOOTOUT LN ,,PRINCETON ,LA ,
60435945 ,BALLOU; SMITH; FOUNTAIN; ,BERNS ,90 LAFAYETTE RD ,,SALISBURY ,MA ,2 
60434429 ,H & R 1871 INC ,NEW E ,60 INDUSTRIAL ROWE ,,GARDNER ,MA ,29462 
60436544 ,LOU ALESSANDRI & SON INC ,,380 WINTHROP ST ,,REHOBOTH ,MA ,1 
60433152 ,"SAVAGE ARMS, INC ",,100 SPRINGDALE RD ,,WESTFIELD ,MA ,80894 
60436463 ,"ZITTA, ALLAN P ",,RT 5 & 10 ,,BERNARDSTON ,MA ,50 
85234826 ,ARMSCORP USA INC ,,4424 JOHN AVE ,,BALTIMORE ,MD ,204 
85207699 ,BERETTA U S A CORPORATION ,,17601 BERETTA DR ,,ACCOKEEK ,MD ,171 
85233969 ,"BURNS, ROBERT LEE ",,117 LAKE SHORE DR ,,PASADENA ,MD ,1 
85211500 ,"MC KEE, INC ",,8725 BOLLMAN PLACE #1 ,,SAVAGE ,MD ,1 
60134465 ,BUSHMASTER FIREARMS ,BFI/Q ,999 ROOSEVELT TRAIL ,BLDG ,WINDHAM ,ME ,25610 
43842898 ,"GARBARINO, GARY M ",,14236 BARNES RD ,,BYRON ,MI ,1 
34136671 ,"ACROMETAL COMPANIES, INC ",,210 NE 10TH AVE ,,BRAINERD ,MN ,5524 
34134590 ,"BROWN, EBEN A ",,3404 PAWNEE DR ,,ALEXANDRIA ,MN ,25 
34134714 ,"CAMMACK, DAVID JAMES ",,215 OHIO ST ,,ST PAUL ,MN ,25 
34135232 ,DEFENSE PROCUREMENT MFG ,SERVI ,13983 INDUSTRY AVE ,,BECKER ,MN ,3711 
34136294 ,HESSE LTD ,,9487 INVER GROVE TRAIL ,,INVER GROVE HEI ,MN ,138 
34136974 ,JP ENTERPRISES INC ,,222 STARKY ST ,,SAINT PAUL ,MN ,24 
34136841 ,"MAKI, LON J. ",,HCR BOX 20A ,,GOODLAND ,MN ,3 
34136407 ,TERRITORIAL GUNSMITHS LTD ,,733 6TH AVE S ,,HOPKINS ,MN ,6 
54336452 ,"HAHN, LLOYD ",,3101 SUSSEX ,,ST CHARLES ,MO ,2 
54339980 ,"POWELL, WILLIAM & ",POWEL ,JUNCTION HWY 17 & 42 ,,IBERIA ,MO ,2 
54339630 ,RH MACHINE & CONSULTING ,INC ,2913 ENGLISH RD ,,PACIFIC ,MO ,30 
98155388 ,C SHARPS ARMS CO INC ,,100 CENTENNIAL DR ,,BIG TIMBER ,MT ,381 
98133560 ,COOPER FIREARMS INC ,,4004 HIGHWAY 93 N ,,STEVENSVILLE ,MT ,147 
98135432 ,COOPER FIREARMS OF ,MONTA ,4004 GWY 93 N ,,STEVENSVILLE ,MT ,342 


