Table
NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL
SMALL ARMS INC ,1742 FERRO DR ,NEW LENOX ,IL ,0 ,246 ,0 ,0 ,0 ,0 ,246
RIVER ARMS INC ,1042 CLEVELAND RD ,COLONA ,IL ,0 ,506 ,0 ,2 ,31 ,36 ,575
INC ,140 N WESTERN AVE STE B ,CARPENTERSVI LLE ,IL ,0 ,0 ,0 ,0 ,0 ,3 ,3
INC ,420 W MAIN ST ,GENESEO ,IL ,0 ,0 ,0 ,0 ,3513 ,12592 ,16105
INC ,16335 BUILDING #5 LIMA ROAD ,HUNTERTOWN ,IN ,0 ,0 ,2 ,0 ,0 ,2 ,4
INC ,3610 FOCUS DR ,FORT WAYNE ,IN ,0 ,0 ,0 ,0 ,0 ,2 ,2
MICHAEL DAVID ,5606 JOHNSON DR ,MISSION ,KS ,0 ,0 ,1 ,0 ,0 ,1 ,2
GREG ,3686 272ND RD ,ARKANSAS CITY ,KS ,0 ,0 ,0 ,0 ,0 ,3 ,3
CHRISTOPHER LEE ,833 E 10TH ST ,CONCORDIA ,KS ,2 ,0 ,0 ,0 ,0 ,0 ,2
CREEK OUTFITTING LLC ,111 E MAIN ,HARPER ,KS ,0 ,0 ,0 ,0 ,0 ,1 ,1
HAROLD G JR ,503 SOUTH H ST ,WELLINGTON ,KS ,2 ,0 ,0 ,0 ,0 ,0 ,2
,,,,,,,,,,
STAR CORP ,5600 BYBEE RD ,WINCHESTER ,KY ,0 ,0 ,0 ,0 ,0 ,76 ,76
CUSTOMS LLC ,717 BOTKINS ROAD ,FRANKFORT ,KY ,0 ,0 ,0 ,0 ,0 ,3 ,3
ORDNANCE LLC ,222 QUARRY RIDGE COURT EAST ,ELIZABETHTOW N ,KY ,0 ,0 ,0 ,0 ,0 ,49 ,49
INC ,130 GODDARD MEMORIAL DR ,WORCESTER ,MA ,0 ,0 ,0 ,12577 ,23090 ,14799 ,50466
WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,0 ,0 ,0 ,49595 ,106486 ,134128 ,290209
U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,MD ,36970 ,1970 ,19391 ,0 ,69613 ,5453 ,133397
INTERNATIONAL LLC ,815 CHESAPEAKE DRIVE ,CAMBRIDGE ,MD ,205 ,0 ,0 ,0 ,0 ,0 ,205
FIREARMS LLC ,999 ROOSEVELT TRL ,WINDHAM ,ME ,0 ,98 ,0 ,0 ,5 ,0 ,103
WESSON CORP ,19 AVIATION DR ,HOULTON ,ME ,33438 ,0 ,698 ,18725 ,576 ,9323 ,62760
LLC ,34 RAINMAKER DR STE 3 ,PORTLAND ,ME ,0 ,0 ,0 ,0 ,1 ,0 ,1
INC THE ,150 LANGE ,TROY ,MI ,0 ,0 ,0 ,0 ,0 ,13 ,13
CUSTOM GUNWORKS ,3300 WARNER RD ,HOWELL ,MI ,0 ,0 ,0 ,0 ,1 ,1 ,2
JOSEPH FRANK ,8495 RONDA DRIVE ,CANTON ,MI ,0 ,0 ,0 ,0 ,38 ,0 ,38
INC ,2033 105TH AVE N E ,BLAINE ,MN ,0 ,0 ,0 ,0 ,0 ,31 ,31
COUNTRY ARCHERY INC ,32981 COUNTY RD 24 ,STARBUCK ,MN ,0 ,11 ,0 ,0 ,0 ,0 ,11
BROWN CO INC ,4088 COUNTY ROAD 40 NW ,GARFIELD ,MN ,4 ,0 ,5 ,0 ,2 ,0 ,11
TECHNICAL COLLEGE ,900 4TH ST SE ,PINE CITY ,MN ,0 ,0 ,0 ,0 ,0 ,1 ,1
LLC ,6315 RICE LAKE ROAD ,DULUTH ,MN ,0 ,0 ,0 ,0 ,0 ,366 ,366
RICHARD LAWRENCE ,400 SUNSET DR ,APPLETON CITY ,MO ,16 ,1 ,0 ,2 ,10 ,3 ,32


