RDS KEY,LICENSE NAME,STREET,CITY,ST,MISC FA MFG
99201212,"BRADY, ANDREW SCOTT",3609 SILVERLEAF AVE,NORTH POLE,AK,104
16337359,"ELLIS, JEFFERY OWEN",17943 GROUND HOG RD,ADGER,AL,36
57102287,LAKESIDE MACHINE LLC,1213 INDUSTRIAL ST,HORSESHOE BEND,AR,11
98600962,"ABRAMS AIRBORNE MFG, INC.",3735 N ROMERO RD,TUCSON,AZ,40
98602346,AGP ARMS INC,1930 E THIRD ST STE #12,TEMPE,AZ,378
98602530,"ARIZONA ARMORY, LLC",2114 W FILLMORE,PHOENIX,AZ,106
98600122,CAVALRY ARMS CORP,723 WEST COMMERCE SUITE A,GILBERT,AZ,1803
98601582,DOUBLE DIAMOND LAW ENFORCEMENT SUPPLY LLC,745 N VIA ROMA,TUCSON,AZ,46
98638187,"DUNLYON R & D, INC",52151 HWY 60,MIAMI,AZ,2
98603321,"MCINERNEY, EDWARD A III",1725 KIOWA AVE #B,LAKE HAVASU CITY,AZ,642
98603069,ROYBAL ARMS LLC,2500 NORTH SUMMERSON ROAD,KINGMAN,AZ,12
98602748,"SHEPHARD, TERRY KEITH",816 W GILA BEND HWY STE A3,CASA GRANDE,AZ,641
98637956,YOUNG MANUFACTURING INC,3613 N 35TH AVE,PHOENIX,AZ,14
98603237,ZIMMERMAN ARMS LLC,540 SIXTH ST # F,PRESCOTT,AZ,77
97701370,"AIRCRAFT ARMAMENTS, INC",18205 LAVERNE DR,LOS GATOS,CA,3
93302123,"DENOME, JESSE P & OLSEN, GREGORY J",4031 PACIFIC HWY,SAN DIEGO,CA,5163
93302989,J D MACHINE TECH INC,4029 PACIFIC HWY,SAN DIEGO,CA,1025
96802197,"JENSEN, JONATHAN J & VALENTINE, MATTHEW C",10 N N EAST ST STE 211,WOODLAND,CA,14
96802086,"TOLEDO, ARIS",1405 GEORGIA ST STE D,VALLEJO,CA,3
96801864,UNIVERSAL PROPULSION CO ( UPCO),3530 BRANSCOMBE RD,FAIRFIELD,CA,137
60636014,"ALVAREZ, SAMUEL W & KUBALA, THOMAS",1223 MOUNT VERNON RD,SOUTHINGTON,CT,30
60601442,DEVON ARMORY LLC,282 WOODMONT RD UNIT 38,MILFORD,CT,299
15908060,"ALLEN, JEFFREY THOMAS",1852 UNIVERSITY PKWY,SARASOTA,FL,3
15943009,ANZIO IRONWORKS CORP,1905 16TH ST N,SAINT PETERSBURG,FL,1
15908443,PROJECT GUNS LLC,1707 NW ARCADIA WAY,BOCA RATON,FL,307
15952429,R/M EQUIPMENT INC,6975-79 NW 43RD ST,MIAMI,FL,275
15909083,SABER TACTICAL INC,9635 NW 80 AVE,HIALEAH GARDENS,FL,48
15908014,"TACTICAL MACHINING, LLC",1584 OLD DAYTONA CIRCLE,DELAND,FL,3547
15805404,BALLISTIC SOUNDS TACTICAL SUPPLY LLC,337 S MILLEDGE AVE STE 208,ATHENS,GA,126
15800675,DANIEL DEFENSE INC,101 WARFIGHTER WAY,BLACK CREEK,GA,62
15805425,GT VIRTUAL CONCEPTS LLC,535 PINE RD STE 205,NEWNAN,GA,1
98201392,"SEEKINS, GLEN DALE",1708 6TH AVE N STE D,LEWISTON,ID,350
98201222,STARK AUTO ORDINANCE LLC,4209 EVERETT ST,CALDWELL,ID,3
98200569,TACTICAL INNOVATIONS INC,345 SUNRISE RD,BONNERS FERRY,ID,6187
98200317,TACTICAL SOLUTIONS LLC,2181 COMMERCE AVE,BOISE,ID,722
33601491,AIRTRONIC USA INC,1860 JARVIS AVENUE,ELK GROVE VLG,IL,3
33734827,"DYER, TERRY E",9698 BUCKS RD,HEYWORTH,IL,1
