RDS KEY,LICENSE NAME,STREET,CITY,ST,SHOTGUN MFG
57134716,WILSONS GUN SHOP INC,2234 CR 719,BERRYVILLE,AR,464
97738092,ROGUE RIV RIFLEWORKS INC/JOHN RIBGY & CO,500 LINNE RD STE D,PASO ROBLES,CA,1
58401007,"MAZURKIEWICZ, OLIVER",202 GRANT ST,LONGMONT,CO,4
60634862,CONNECTICUT SHOTGUN MANUFACTURING CO,100 BURRITT STREET,NEW BRITAIN,CT,352
60601132,"CRAMER, JOEL IRA",190 NORTH PLAINS INDUSTRIAL,WALLINGFORD,CT,6
60600773,O F MOSSBERG & SONS INC,7 GRASSO AVE,NORTH HAVEN,CT,225909
15939794,B & K DIVING SYSTEMS INC,1328 CLEMENTS WOODS LN,JACKSONVILLE,FL,1
15840899,"CLYDE, ANDREW SCOTT",165 BEN BURTON RD #D,BOGART,GA,1
15840168,FATS INC,7340 MCGINNIS FERRY RD,SUWANEE,GA,11
98235063,"HOENIG, GEORGE",4357 FROZEN DOG RD,EMMETT,ID,1
98200437,"JANOUSEK, JASON LEE",2804 N COLE RD,BOISE,ID,2
33600873,RESEARCH AND TESTING WORX INC,1 EAST ROUTE 64,MT MORRIS,IL,1
54800246,VERNEY-CARRON USA INC,320 COURT ST,CLAY CENTER,KS,3185
60400253,"H&R 1871, LLC",60 INDUSTRIAL ROWE,GARDNER,MA,87268
60433152,"SAVAGE ARMS, INC",100 SPRINGDALE RD,WESTFIELD,MA,1118
85234687,AIM INC,19200 MIDDLETOWN RD,PARKTON,MD,90
85207699,BERETTA U S A CORPORATION,17601 BERETTA DR,ACCOKEEK,MD,4019
54338023,ALFERMANN USA INC,1482 POTTERY RD,WASHINGTON,MO,18
98100366,LAWTON MACHINE LLC,580 1/2 NORTH MONTANA STREET,DILLON,MT,8
15603066,APPALACHIAN GUNSMITHING INC,8 SNAPFINGER DR,WEAVERVILLE,NC,14
15600510,"EHINGER, MICHAEL JEROME",1634 STEDMAN CEDAR CREEK RD,STEDMAN,NC,1
54700082,"HINELINE, DAVID CARL",724 E 15TH ST,SOUTH SIOUX CITY,NE,2
54733288,"TANK, JON",1777 COUNTY RD 20,FREMONT,NE,1
60201484,"STURM, RUGER & COMPANY, INC",411 SUNAPEE ST,NEWPORT,NH,5202
98800913,LEGACY SPORTS INTERNATIONAL LLC,4750 LONGLEY LN STE 208,RENO,NV,8831
61600727,REMINGTON ARMS CO INC,14 HOEFLER AVE,ILION,NY,294167
43401757,"ITHACA GUNS USA, LLC",420 N WARPOLE ST,UPPER SANDUSKY,OH,202
99300756,"CELESTE, TIMOTHY MATTHEW",548 MENLO DR N,KEIZER,OR,11
99335096,COLE ARMS INC,2225 PINEHURST DR,MCMINNVILLE,OR,2
99300194,"PERSONAL DEFENSE SYSTEMS, LLC",6635 NORTH BALTIMORE ST SUITE 206-M,PORTLAND,OR,1
82333855,TAR HUNT CUSTOM RIFLES INC,101 DOGTOWN RD,BLOOMSBURG,PA,48
82501196,TWO CLCS INC,280 GALECREST LANE,SOMERSET,PA,2
34600307,"DAKOTA ARMS, INC",1310 INDUSTRY RD,STURGIS,SD,109
34600181,NIP MANUFACTURING INC,3541 MAYER AVENUE,STURGIS,SD,23
16238654,LEINAD INC,221 HWY 68 N,DUCKTOWN,TN,300
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,82744
57501654,"RODGERS, JIMMY E & ROGERS, TERESE B",21852 FM 449 SUITE A,LONGVIEW,TX,2
15402741,UNITED ARMAMENT LLC,425 SOUTHLAKE BLVD SUITE 3B,RICHMOND,VA,5
99100752,PAINE FIELD INSTRUMENTS INC,8223 44TH AVENUE WEST SUITE A,MUKILTEO,WA,1
33933175,US COMPETITION ARMS INC,1925 ROOSEVELT AVE,RACINE,WI,490
45536010,PRECISION WEAPONS CORP,112 SURPLUS LN,BRADLEY,WV,1
