RDS KEY,LICENSE NAME,STREET,CITY,ST,SHOTGUN MFG
57134716,WILSONS GUN SHOP INC,2234 CR 719,BERRYVILLE,AR,779
98636542,"ROBAR COMPANIES, INC",21438 N 7TH AVE SUITE B,PHOENIX,AZ,4
99536443,BOB GIBBONS & SON INC,2911 WINONA AVE,BURBANK,CA,1
97738092,ROGUE RIV RIFLEWORKS INC/JOHN RIBGY & CO,500 LINNE RD STE D,PASO ROBLES,CA,2
60634862,CONNECTICUT SHOTGUN MANUFACTURING CO,35 WOODLAND ST,NEW BRITAIN,CT,83
60600773,O F MOSSBERG & SONS INC,7 GRASSO AVE,NORTH HAVEN,CT,192802
60636056,US REPEATING ARMS COMPANY,344 WINCHESTER AVE,NEW HAVEN,CT,49674
15948218,"BLAKLEY, BRIAN A","8440 ULMERTON ROAD, #522",LARGO,FL,2
98235063,"HOENIG, GEORGE",6521 MORTON DR,BOISE,ID,8
33635798,SPRINGFIELD INC,420 W MAIN ST,GENESEO,IL,2266
54816298,"MCGILL, ROBERT TIMOTHY",630 E DOUGLAS,WICHITA,KS,1
54800246,VERNEY-CARRON USA INC,320 COURT ST,CLAY CENTER,KS,3275
60400253,"H & R 1871, LLC",60 INDUSTRIAL ROWE,GARDNER,MA,120676
60433152,"SAVAGE ARMS, INC",100 SPRINGDALE RD,WESTFIELD,MA,3087
85207699,BERETTA U S A CORPORATION,17601 BERETTA DR,ACCOKEEK,MD,333
85200632,"PLATT, BRIAN THOMAS",29756 SKYVIEW DR,MECHANICSVILLE,MD,2
60100265,"LAUZE, WILLIAM SCOTT",65 EVERETT ROAD,POLAND,ME,3
34134823,"LINDE, BRIAN B",15013 COUNTY RD 7 NW,CLEARWATER,MN,1
34137154,"TOMAIDES, MILOS",4227 WINNETKA AVE N,NEW HOPE,MN,1
15640900,"HODGE, DONALD AARON JR",3801B AUBURN KNIGHTDALE RD,RALEIGH,NC,1
60201484,STURM RUGER & CO INC,411 SUNAPEE ST,NEWPORT,NH,5505
61635833,ITHACA GUN PARTS & SERVICE CORPORATION,891 ROUTE 34B,KINGS FERRY,NY,3739
61635527,"REMINGTON ARMS CO, INC",14 HOEFLER AVE,ILION,NY,298603
43437827,"RAIFFE, DAVID M",8389 MAYFIELD DR,CHESTERLAND,OH,1
99335096,COLE ARMS INC,2225 PINEHURST DR,MCMINNVILLE,OR,2
82333855,TAR HUNT CUSTOM RIFLES INC,101 DOGTOWN RD,BLOOMSBURG,PA,55
34606531,DAKOTA ARMS INC,1310 INDUSTRY RD,STURGIS,SD,6
34633475,H S PRECISION INC,1301 TURBINE DR,RAPID CITY,SD,54
16200523,LEINAD INC,221 HWY 68 N,DUCKTOWN,TN,640
57438715,ENGEL BALLISTIC RESEARCH INC,544A ALUM CREEK RD,SMITHVILLE,TX,1
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,59422
33900697,"LAUER, STEVEN MICHAEL",3601 129TH ST,CHIPPEWA FALLS,WI,3
33933175,US COMPETITION ARMS INC,1925 ROOSEVELT AVE,RACINE,WI,293
