Table
15604372 ,RIFLEMAN CONSULTING LLC ,201 REMINGTON LANE ,CARTHAGE ,NC ,46
15610984 ,RILEY DEFENSE INC ,2975 INTERSTATE ST ,CHARLOTTE ,NC ,58
15608729 ,RTD PRECISION LLC ,1333 LOOP RD ,BUNNLEVEL ,NC ,2
15611120 ,SANDHILL MACHINING INC ,1626 SCOTT TOWN RD ,NEW BERN ,NC ,5
15609181 ,"ERIG,SCOTT ROBERT ",2704 TOWNES DRIVE ,GREENVILLE ,NC ,5
15609334 ,SF ARMORY INC ,750 JIM GRANT AVE ,SNEADS FERRY ,NC ,1
15610522 ,"STICKLE, WILLIAM ROBERT ",1402 TIMBER LANE ,ASHEBORO ,NC ,42
15609063 ,STURM RUGER & COMPANY INC ,271 CARDWELL RD ,MAYODAN ,NC ,254448
15606057 ,SURF CITY GUNS & AMMO LLC ,103 ATKINSON POINT RD ,SURF CITY ,NC ,462
15611687 ,SWIFT CREEK RIFLES LLC ,323 BALD HEAD ISLAND DR ,GARNER ,NC ,3
15610295 ,"TAUNTON, SCOTT WAYNE ",214 N LONG DRIVE ,ROCKINGHAM ,NC ,5
15607560 ,TMW ENTERPRISES LLC ,3520 GILLEY DR ,JONESVILLE ,NC ,14
15604740 ,TOOLEY CUSTOM RIFLES LLC ,479B TAR CREEK RD ,0RIENTAL ,NC ,14
15610412 ,TRAILBLAZER FIREARMS LLC ,388 CANE CREEK RD ,FLETCHER ,NC ,30
15604887 ,USA TACTICAL FIREARMS LLC ,933 MEACHAM RD ,STATESVILLE ,NC ,18
15609947 ,VADUM INC ,601 HUTTON ST SUITE 109 ,RALEIGH ,NC ,11
15607491 ,W LEE SIMMONS INC ,185 NORTH GIFFORD LN ,RICHFIELD ,NC ,1
15605539 ,WAR SPORT INDUSTRIES LLC ,13117 HWY 24/27 ,ROBBINS ,NC ,126
15607228 ,WEST BACKUP LLC ,5304 GRAYCLIFF DR ,GREENSBORO ,NC ,1
15604165 ,"WHEELER, ROBBIE DAVID ",2390 LEES UNION CHURCH RD ,FOUR OAKS ,NC ,1
15604367 ,WILLIAM LEWIS CORLEY ,710 COVINGTON CT ,HUBERT ,NC ,2
34500555 ,NODAK ARMS INC ,601 104TH STREET SE ,MINOT ,ND ,184
34500790 ,0NE OF A KIND LLC ,14413 59TH ST NE ,PISEK ,ND ,1
54702081 ,"BEEKMAN, BRIAN & NANCY ",567 GOLF RD ,SOUTH SIOUX CITY ,NE ,5
54701905 ,CHAMBERS CUSTOM LLC ,1226 COUNTY ROAD 2250 ,WILBER ,NE ,1
54701183 ,FCW LLC ,5370 HWY 77 ,CORTLAND ,NE ,5
54701811 ,HATCHER GUN COMPANY LLC ,76650 RD 342 ,ELSIE ,NE ,11
54701615 ,0MAHA TACTICAL RANGE AND SUPPLY INC ,6481 1/2 S 86TH CIRCLE ,RALSTON ,NE ,33
54701048 ,"OWENS, MATTHEW ANTHONY ",107 E A ST ,MC COOK ,NE ,2
54702023 ,PEAK BATTLE SYSTEMS MANUFACTURING LLC ,2118 WOODFORD ST ,ARCHER ,NE ,2
54701179 ,PERFECT TURNING INC ,218 E THIRD STREET ,KIMBALL ,NE ,19
54701739 ,RUN N IRON LLC ,10116 RD 744 ,BERTRAND ,NE ,3


