Table
RDS KEY ,LICENSE NAME ,SIREET ,CITY ,ST ,MISC FA MFG
57204834 ,AKLYS DEFENSE LLC ,9683 MAMMOTH AVE ,BATON ROUGE ,LA ,33
57203852 ,MW PRODUCTIONS LLC ,8173 S LAKESHORE DRIVE ,SHREVEPORT ,LA ,6
60405614 ,B&R MACHINE INC ,305 A MOODY ST ,LUDLOW ,MA ,1642
60407147 ,B&R MACHINE INC ,290 MOODY ST ,LUDLOW ,MA ,111984
60412012 ,PRECISION METAL FABRICATORS LLC ,842 UPPER UNION ST STE 7 ,FRANKLIN ,MA ,14
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,11252
60404099 ,TROY INDUSTRIES INC ,151D CAPITAL DR ,WEST SPRINGFIELD ,MA ,256
85202358 ,LWRC INTERNATIONAL ,815 CHESAPEAKE DRIVE ,CAMBRIDGE ,MD ,177
85211500 ,"MC KEE, INC ",8725 BOLLMAN PLACE #1 ,SAVAGE ,MD ,1278
85212226 ,TOMKAT AMMUNITION LLC ,18 CESSNA COURT ,GAITHERSBURG ,MD ,1
60101448 ,"BOUCHARD, THOMAS PHILIP ",2743 RIVERSIDE DR ,VASSALBORO ,ME ,14
43807226 ,BLACK SWAMP FIREARMS LLC ,5255 CONSEAR RD ,0TTAWA LAKE ,MI ,104
43804997 ,CENTRAL SCREW PRODUCTS CO INC ,1070 MAPLELAWN ,TROY ,MI ,479
43807485 ,CLASSIC METAL FINISHING INC ,2500 WEST ARGYLE ST ,JACKSON ,MI ,116
43808928 ,FIRST TO FIGHT TACTICAL SOLUTIONS LLC ,10210 WACOUSTA RD ,DEWITT ,MI ,22
43807837 ,J&D ARMAMENT LLC ,5921 HOLLOW CORNERS RD ,DRYDEN ,MI ,7
43801522 ,"KNECHT, SCOTT ALDEN ",276 NORTH MAIN ,CEDAR SPRINGS ,MI ,
43805353 ,LOGAN ARMS LLC ,1099 NORTH GATEWAY BLVD ,NORTON SHORES ,MI ,9
43808216 ,NEXT LEVEL ARMAMENT LLC ,6778 18TH AVE ,JENISON ,MI ,713
43808452 ,0UTLAW PRECISION WEAPONRY LLC ,3755 VAN DYKE RD ,ALMONT ,MI ,41
43807721 ,PERFORMANCE MACHINING INC ,919 MICHIGAN STREET ,NILES ,MI ,90
43808716 ,RIFENBARK ARMORY LLC ,745 E NEWBERG RD ,PINCONNING ,MI ,27
43807825 ,SHERWOOD ARMORY LLC ,71 WEST SHERWOOD ROAD ,0KEMOS ,MI ,295
34104185 ,ALEXANDRIA PRO FAB CO INC ,8210 STATE HWY 29 NORTH ,ALEXANDRIA ,MN ,8455
34104884 ,BARRELS AND ARROWS LLC ,3041 US HWY 59 ,MARSHALL ,MN ,4
34105138 ,BATTLE CREEK ARMORY LLC ,6969 S WASHINGTON AVE ,EDINA ,MN ,22
34102861 ,COONAN INC ,4501 103RD CT NE # 120 ,BLAINE ,MN ,372
34103165 ,DEER COUNTRY ARCHERY INC ,32981 COUNTY RD 24 ,STARBUCK ,MN ,473
34101144 ,FLITSCH RONALD EUGENE ,12156 COUNTY RD 31 NW ,PINE ISLAND ,MN ,3
34104167 ,ISLAND TOOL & DIE INC ,292 3RD STREET NE ,PINE ISLAND ,MN ,6
34103846 ,JAKL MACHINE LLC ,212 3RD ST W ,JASPER ,MN ,401
34101861 ,NODAK SPUD LLC ,7683 WASHINGTON AVE S ,EDINA ,MN ,3477
34104344 ,NORTHERN RIFLEMAN LLC ,6043 HUDSON RD STE 140H ,WOODBURY ,MN ,30
34104145 ,PA ENTERPRISES ,3152 COUNTRY DR ,LITTLE CANADA ,MN ,89
34102652 ,SLR15 RIFLES INC ,7689 MAIN ST ,FRIDLEY ,MN ,95


