Table
RDS KEY ,LICENSE NAME ,SIREET ,CITY ,ST ,MISC FA MFG
93305455 ,WEST COAST GUN WORKS INC ,11360 WESTERN AVE ,STANTON ,CA ,
93304459 ,WILDE BUILT TACTICAL LLC ,6045 LAKE MURRAY BLVD ,LA MESA ,CA ,24
99501701 ,WORLDWIDE AEROS CORP ,1734 AEROS WAY ,MONTEBELLO ,CA ,100
97702995 ,"YATES, LYNDON ",3332 SANTA FE STREET ,RIVERBANK ,CA ,100
97701795 ,ZEV TECHNOLOGIES INC ,1051 YARNELL PLACE ,0XNARD ,CA ,5
58401869 ,GODDARD ENTERPRISES LLC ,8495 WELD COUNTY ROAD 2 ,BRIGHTON ,CO ,4
58401680 ,HERITAGE ARMS INC ,1631 P ROAD ,LOMA ,CO ,121
58403573 ,JB TACTICAL LLC ,4304 KIPLING ST ,WHEAT RIDGE ,CO ,67
58406824 ,KEPPDEZIN LLC ,1932 BROOKWOOD DR ,COLORADO SPRINGS ,CO ,4
58402371 ,"LIPPARD, KARL ",3259 ELECTRA DR SO ,COLORADO SPRINGS ,CO ,2
58405752 ,PHOENIX WEAPONRY LLC ,1822 SKYWAY DR UNIT P ,LONGMONT ,CO ,303
58404215 ,PURSUIT-AIR-CRAFTERS LLC ,113 N MILL ST UNIT A ,SILVER CLIFF ,CO ,85
58405517 ,REAPER INNOVATIVE PRECISION LLC ,1227 WALNUT ST ,WINDSOR ,CO ,15
58404996 ,ROCKY MOUNTAIN GUNS INC ,647 SOUTH OSWEGO CT ,AURORA ,CO ,27
58404495 ,TACTICAL ACOUSTICS LLC ,400 YOUNG CT UNIT 5 ,ERIE ,CO ,6
58404859 ,WELLINGTON ARMS LLC ,8900 W 1ST ST ,WELLINGTON ,CO ,26
60602917 ,CLASSIC CARBINES AND FIREARMS INC ,91 TECHNOLOGY PARK DRIVE ,TORRINGTON ,CT ,20
60602599 ,DELTA ARSENAL LLC ,342 QUINNIPIAC ST BLD 8 ,WALLINGFORD ,CT ,25
60601926 ,GRAHAM TOOL & MACHINE LLC ,9 CONTAINER DRIVE ,TERRYVILLE ,CT ,3
60603213 ,METALLURGICAL PROCESSING INC ,68 ARTHUR ST ,NEW BRITAIN ,CT ,130
15912791 ,ADEQ FIREARMS COMPANY ,4921 WEST CYPRESS STREET ,TAMPA ,FL ,26
15905746 ,"AMERICAN VINTAGE GUN AND PAWN, INC ",4920 LENA RD UNIT 102 & 103 ,BRADENTON ,FL ,271
15926564 ,AMTEC LESS LETHAL SYSTEMS INC ,4700 PROVIDENCE RD ,PERRY ,FL ,66
15907991 ,ARES DEFENSE SYSTEMS INC ,295 NORTH DRIVE SUITE H ,MELBOURNE ,FL ,19
15923126 ,ARTEMIS ENTERPRISES OF ORANGE COUNTY LLC ,6367 ALL AMERICAN BLVD ,0RLANDO ,FL ,25
15949231 ,BRIGADE MANUFACTURING INC ,7312 NW 46 ST ,MIAMI ,FL ,1
15948882 ,BUIS INC ,1201 HAMLET AVE ,CLEARWATER ,FL ,12
15932347 ,CODE JOCKEYS LLC ,1502 RAIL HEAD BLVD ,NAPLES ,FL ,52
15932299 ,FUSION PRECISION ENGINEERING LLC ,200 RICH STREET ,VENICE ,FL ,12
15930984 ,GFT ARMS LLC ,6690 COLUMBIA PARK DR STE 2 ,JACKSONVILLE ,FL ,5
15931364 ,GHOST FIREARMS LLC ,828 S NOVA ROAD ,DAYTONA BEACH ,FL ,929
15932796 ,GO2 WEAPONS INC ,6995 TICO RD ,TITUSVILLE ,FL ,41
15904057 ,"HOFFMAN, RICHARD C ",145 SHERIDAN AVE ,LONGWOOD ,FL ,9
15923284 ,JERICHO SERVICES LLC ,6354 49TH STREET NORTH ,PINELLAS PARK ,FL ,95
15940998 ,KNIGHTS MANUFACTURING CO ,701 COLUMBIA BLVD ,TITUSVILLE ,FL ,469


