Table
,,STREET ,CITY ,ST ,RIFLE MFG
"E & RODGERS, TERESE B ",,21852 FM 449 SUITE A ,LONGVIEW ,TX ,3
LLC ,,1376 COUNTY RD 4165 ,QUITMAN ,TX ,37
INC ,,2001 CENTRAL CIRCLE STE 100 ,MCKINNEY ,TX ,41
LLC ,,3822 PLEASANTON RD ,SAN ANTONIO ,TX ,130
RUSSELL ,,1009 BLACK DIAMOND CT ,PORTLAND ,TX ,1
LLC ,,2858 CEDAR HOLLOW RD ,GEORGETOWN ,TX ,1
LLC ,,11210 W HWY 290 SUITE A-150 ,AUSTIN ,TX ,37
ENTERPRISES LLC ,,2311 MCKEEVER RD ,ROSHARON ,TX ,2
PRECISION LLC ,,16256 COUNTY ROAD U ,LIPSCOMB ,TX ,1
,,1033 CR 4380 ,DECATUR ,TX ,120
AND MFG LLC ,,14395 FM 365 ,BEAUMONT ,TX ,9
FIREARMS INC ,,5840 E US HWY 287 ,MIDLOTHIAN ,TX ,47
ENTERPRISES ,,3201 W AIRPORT FREEWAY SUITE 109 ,IRVING ,TX ,1
ELITE LLC ,,4520 DONIPHAN DR ,EL PASO ,TX ,11
,,211 A S CROCKETT ST ,AMARILLO ,TX ,13
FIREARMS LLC ,,16642 HOUSE HAHL RD UNIT 1911 ,CYPRESS ,TX ,21
JOE JR ,,13677 FM 314 ,BROWNSBORO ,TX ,2
TACTICAL SOLUTIONS LLC ,,901 BIGHORN DRIVE ,EDINBURG ,"SELECTED, TX ",10
TECHNIQUES INC ,,1545 BLALOCK RD ,HOUSTON ,"SELECTED, TX ",2
LLC ,,5407 LOUETTA RD STE H ,SPRING ,TX ,6
OF TEXAS LLC ,,14395 FM 365 ,BEAUMONT ,TX ,13
PROFESSIONALS INC ,,35100 N STATE HWY 108 ,MINGUS ,TX ,48
,,11555 HWY 380 W STE B202 ,KRUM ,TX ,21
STATION LC ,,119 NORTH 19TH ST ,TEMPLE ,TX ,2
LLC ,,244 WOODBINE DRIVE ,BURLESON ,TX ,13
ARMS LLC ,,50 BRIAR CROWN ,UVALDE ,TX ,3
BUILDERS LLC ,,1321 E BELTLINE RD ,WILMER ,TX ,1
ARMORY LLC ,,4902 WELLS RD ,BRAZORIA ,TX ,1
,,636 S MASON RD ,KATY ,TX ,1
LLC ,,4920 BURT RD ,BRYAN ,TX ,5
GREGE ,,1511 INDIAN SHORES RD ,CROSBY ,TX ,3
,,105 BEAR TRACE ,FLORESVILLE ,TX ,7
LLC ,,137 E 13TH AVE ,BELTON ,TX ,56


