Table
RDS KEY ,LICENSE NAME ,STREEI ,CITY ,ST ,MISC FA MFG
43103555 ,PHOENIX TRINITY MANUFACTURING INC ,1883 SOUTHTOWN BLVD STE 102 ,DAYTON ,0H ,709
43104596 ,PRECISION DEFENSE LLC ,1858 CEDAR HILL RD ,LANCASTER ,0H ,174
43404591 ,TWISTED RIVER TACTICAL LLC ,4564 ROHRDALE AVE NW ,CANAL FULTON ,0H ,140
43403472 ,"WASHINGTON, CHRISTOPHER A ",785 KOOGLE RD ,MANSFIELD ,0H ,8
57305807 ,ETCHED ORDNANCE LLC ,26387 E 115TH PL S ,COWETA ,0K ,3
57304721 ,HAILEY ORDNANCE COMPANY ,1661 EXCHANGE AVE ,0KLAHOMA CITY ,0K ,86
57304666 ,0KLAHOMA MACHINE GUNS LLC ,615 W WILSHIRE STE 1400 ,0KLAHOMA CITY ,0K ,1
57305924 ,STRATEGIC ARMORY CORPS LLC ,48955 MOCCASIN TRAIL RD ,PRAGUE ,0K ,1041
57305225 ,TAPE MATICS INC ,1539 INDUSTRIAL LN ,TISHOMINGO ,0K ,737
99303685 ,"COLFAX TACTICAL, LLC ",1611 SW FIRST ST UNIT A ,REDMOND ,0R ,153
99301728 ,HALO MANUFACTURING LLC ,3970 HAMPSHIRE LANE ,EUGENE ,0R ,27
99303496 ,HH ARMAMENT LLC ,17804 SHANK RD NE UNIT 23 ,HUBBARD ,0R ,152
99304087 ,"HX2 ARMS, LLC ",3835 TRAILBLAZER PL ,SALEM ,0R ,42
99304737 ,INTEGRATED 3D LLC ,3525 CRATES WAY SUITE C ,THE DALLES ,0R ,7
99303636 ,"JONES, NATHAN WILLIAM & ASHLEY SAZANNE ",75398 FERN HILL RD ,RAINIER ,0R ,30
99302896 ,RAPID FIRE ARMS LLC ,39110 PROCTOR BLVD SUITE B ,SANDY ,0R ,3
99303260 ,"RHEINSCHMIDT MFG, LLC ",5590 SW 195TH AVE ,BEAVERTON ,0R ,15
99304653 ,"RICHARDSON, ROBERT LEROY JR ",2163 NE SPALDING AVE STE 14 ,GRANTS PASS ,0R ,105
99304128 ,SMOS ARMS INC ,484 PLEASANT VALLEY RD ,MERLIN ,0R ,1074
99302881 ,STS ARMS LLC ,5766 HWY 101 N UNIT 2 ,YACHATS ,0R ,1
99304557 ,THUNDER TECHNOLOGIES LLC ,144 SE109TH AVE ,PORTLAND ,0R ,226
99302088 ,"YEAMANS, MATTHEW B ",480 ROGUE RIVER PKWY ,TALENT ,0R ,42
82300927 ,ARMAMENT SERVICES INTERNATIONAL INC (ASI) ,103 CAMARS DR ,WARMINSTER ,PA ,24
82303723 ,BLAK FORGE ARMOURY LLC ,1803 RT 287 ,MORRIS ,PA ,6
82338992 ,"BORDEN, JAMES F ",1325 SHELDON HILL ROAD ,SPRINGVILLE ,PA ,270
82505590 ,"BORDEN, ROBERT FRANCIS ",111 HALL ST ,SHEFFIELD ,PA ,17
82308699 ,"CROSBY, CHRISTOPHER DAVID ",57 PARK LN ,HEGINS ,PA ,35
82507062 ,GIGLIOTTI RIFLEWORKS LLC ,5373 BIG RUN PRESCOTTVILLE RD ,REYNOLDSVILLE ,PA ,6
82308501 ,J & A MANUFACTURING LLC ,1898 N MARKET ST REAR ,ELIZABETHTOWN ,PA ,2
82305603 ,LAHR ENTERPRISES LLC ,2807 PERKIOMEN AVE ,READING ,PA ,25
82304234 ,LANCER SYSTEMS LP ,2800 MILFORD SQUARE PKE ,QUAKERTOWN ,PA ,104
82303888 ,LANCO TACTICAL LLC ,498 WEST HIGH STREET ,ELIZABETHTOWN ,PA ,20
82305497 ,REBEL ARMS CORP ,67 MILLCREEK RD ,EAST STROUDSBURG ,PA ,146
82306193 ,TAILORED ARMS SUPPLIERS LLC ,1826 ORWIG ROAD ,STEWARTSTOWN ,PA ,
82305930 ,WARWICK TACTICAL LLC ,1917 MCFARLAND DR ,LANDISVILLE ,PA ,41


