Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,SHOTGUN MEG
98701260 ,MONTGOMERY WARD & CO INC ,2345 WASHINGTON BLVD ,0GDEN ,UT ,
15415404 ,GUARDIAN FIREARMS LLC ,6126 S VIRGINIA LN ,KING GEORGE ,VA ,1
99105684 ,"AERO PRECISION, LLC ",2338 HOLGATE ST ,TACOMA ,WA ,1
99104284 ,LJUTIC LLC ,2401 W J STREET STE A ,YAKIMA ,WA ,17
33907081 ,"BELLING, DAVID A ",RT 1 ,IRMA ,WI ,
33907080 ,COAST TO COAST ,260 MAIN STREET ,REEDSBURG ,WI ,
33905169 ,ROTH CONCEPT INNOVATIONS LLC ,N9652 HIGHLINE RD UNIT NM ,KAUKAUNA ,WI ,14
33906931 ,U S COMPETITION ARMS INC ,1925 ROOSEVELT AVE ,RACINE ,WI ,308
45502685 ,THE CUSTOM GUN SHOP LLC ,5649 GEORGETOWN RD ,HORNER ,WV ,1
58300887 ,D SCHIMMEL LLC ,5 GREASEWOOD CT ,ROZET ,WY ,1
58301771 ,WILKINSON TACTICAL LLC ,1482 COMMERCE DR UNIT S & V ,LARAMIE ,WY ,8


