Table
RDS KEY ,LICENSE NAME ,STREET ,City ,ST ,RIFLE EXP 
98636542 ,"ROBAR COMPANIES, INC ",21438 N 7TH AVE SUITE B ,PHOENIX ,AZ ,12 
98614472 ,STURM RUGER & CO INC ,200 RUGER RD ,PRESCOTT ,AZ ,107 
98635726 ,"MCMILLAN BROS RIFLE CO, INC ",1638 W KNUDSON SUITE B ,PHOENIX ,AZ ,20 
98600112 ,"MENARD, RUSSELL ",19546 E WAGONTRAIN DR ,MAYER ,AZ ,1 
97738092 ,ROGUE RIV RIFLEWORKS INC/JOHN RIBGY & CO ,500 LINNE RD STE D ,PASO ROBLES ,CA ,13 
60600520 ,COLT DEFENSE LLC ,547 NEW PARK AVE ,WEST HARTFORD ,CT ,19 
60633345 ,COLT'S MANUFACTURING CO LLC ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,2865 
60636056 ,US REPEATING ARMS COMPANY ,344 WINCHESTER AVE ,NEW HAVEN ,CT ,3752 
60600252 ,"MARLIN FIREARMS COMPANY, THE ",100 KENNA DR ,NORTH HAVEN ,CT ,12689 
15943009 ,ANZIO IRONWORKS CORP ,1905 16TH ST N ,SAINT PETERSBURG ,FL ,1 
15917454 ,"KNIGHT, CHARLES REED JR ",7750 9TH ST SW ,VERO BEACH ,FL ,19 
15923596 ,TAURUS INTERNATIONAL MANUFACTURING INC ,16175 NW 49TH AVE ,MIAMI ,FL ,1 
54235453 ,DOUBLE DEUCE INC ,24276 240TH ST ,CARROLL ,IA ,847 
98233354 ,S D MEACHAM TOOL & HARDWARE CO INC ,37052 EBERHARDT RD ,PECK ,ID ,16 
98235211 ,"MCKENNA, WILLIAM ARTHUR ",751 KELSO LK RD ,ATHOL ,ID ,1 
33637390 ,DS ARMS INC ,27W990 INDUSTRIAL AVE ,LAKE BARRINGTON ,IL ,11 
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,75 
33636039 ,ARMALITE INC ,745 S HANFORD ST ,GENESEO ,IL ,317 
46137026 ,"REMINGTON ARMS COMPANY, INC ",22 RIFE TRAIL ,HICKORY ,KY ,8331 
60400253 ,"H & R 1871, LLC ",60 INDUSTRIAL ROWE ,GARDNER ,MA ,458 
60134465 ,BUSHMASTER FIREARMS BFI/QUALITY PARTS CO ,999 ROOSEVELT TRAIL BLDG 3 ,WINDHAM ,ME ,266 
34135232 ,DEFENSE PROCUREMENT MFG SERVICES INC ,3312 12TH ST SE ,SAINT CLOUD ,MN ,79 
34100669 ,"MAAS, BRIAN ",408 COUNTY ROAD 5 NW ,ISANTI ,MN ,1 
60201484 ,STURM RUGER & CO INC ,411 SUNAPEE ST ,NEWPORT ,NH ,14099 
60233754 ,THOMPSON CENTER ARMS CO INC ,FARMINGTON RD ,ROCHESTER ,NH ,214 
60200153 ,SIG ARMS INC ,18 INDUSTRIAL DR ,EXETER ,NH ,23 
61134915 ,ARGUS PUBLICATIONS INC ,110 8TH ST ,BROOKLYN ,NY ,1050 
61334276 ,KIMBER MFG INC ,1 LAWTON ST ,YONKERS ,NY ,76 
61635527 ,"REMINGTON ARMS CO, INC ",14 HOEFLER AVE ,ILION ,NY ,14755 
43436235 ,"JONES, JOHNDAVID ",590 WOODVUE LANE ,WINTERSVILLE ,OH ,1 
43437065 ,KELBLY'S RIFLE RANGE INC ,7222 DALTON FOX LAKE RD ,NORTH LAWRENCE ,OH ,24 
99337182 ,TNW FIRERMS INC ,55325 TIMBER RD BLDG A ,VERNONIA ,OR ,12 
82338992 ,"BORDEN, JAMES F ",RR 1 BOX 250BC ,SPRINGVILLE ,PA ,22 
34633933 ,"MAYER, LOUIS ",422 N MAIN ,ISABEL ,SD ,2 


