Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RVLR 22 ,RVLR 32 ,RVLR 357 ,RVLR 38 ,RVLR 44 ,RVLR 50 ,RVLR TOTL 
57100334 ,ULTIMATE ACCURACY INC ,1389 HWY 236 WEST ,LONOKE ,AR ,O ,O ,O ,O ,O ,35 ,35 
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE ,AR ,O ,O ,5 ,O ,O ,O ,5 
98638426 ,"REEDER, GARY NELSON ",2599 7TH AVE ,FLAGSTAFF ,AZ ,O ,O ,O ,O ,O ,10 ,10 
60635936 ,CHARCO 2000 ,273 CANAL ST ,HUNTINGTON ,CT ,409 ,O ,1066 ,8214 ,1802 ,0 ,11491 
60633345 ,COLT'S MANUFACTURING CO LLC ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,O ,O ,837 ,68 ,573 ,2792 ,4270 
60635732 ,UNITED STATES FIREARMS MANUFACTURING COMPANY ,55 VAN DYKE AVE ,HARTFORD ,CT ,O ,14 ,O ,130 ,23 ,1024 ,1191 
60635829 ,WILDEY F A INC ,45 ANGEVINE RD ,WARREN ,CT ,O ,O ,O ,O ,O ,49 ,49 
15900566 ,AWA INTERNATIONAL INC ,1450 SW 10 ST #3 B ,DELRAY BEACH ,FL ,O ,35 ,137 ,22 ,49 ,677 ,920 
15941170 ,HERITAGE MEG INC ,4600 NW 135TH ST ,OPA LOCKA ,FL ,33776 ,O ,O ,O ,O ,0 ,33776 
43500931 ,"YELTON, JEFFREY JOE ",32 EAST MAIN STREET SUITE 2 ,KNIGHTSTOWN ,IN ,O ,O ,O ,O ,O ,2 ,2 
60410395 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,7169 ,1176 ,48723 ,41715 ,15399 ,3865 ,118047 
34100093 ,CONTRACT MANUFACTURING INC ,1594 COLLEGE RD ,BAXTER ,MN ,73 ,2 ,O ,O ,O ,3247 ,3322 
60201484 ,STURM RUGER & CO INC ,411 SUNAPEE ST ,NEWPORT ,NH ,21224 ,16331 ,44639 ,1323 ,27865 ,36817 ,148199 
61636016 ,DAN WESSON CORP ,5169 ROUTE 12 SOUTH ,NORWICH ,NY ,30 ,41 ,71 ,O ,259 ,28 ,429 
34634039 ,D-MAX INC ,41428 - 15TH STREET ,SPRINGFIELD ,SD ,2 ,O ,O ,O ,5 ,72 ,79 
16200523 ,LEINAD INC ,221 HWY 68 N ,DUCKTOWN ,TN ,303 ,O ,O ,O ,O ,198 ,501 
98734026 ,NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,23667 ,O ,O ,O ,O ,O ,23667 
33937486 ,SUPER SIX LLC ,3806 W LISBON ,MILWAUKEE ,WI ,O ,O ,O ,O ,O ,3 ,3 
58300047 ,CASULL ARMS CORP ,87681 HWY 89 ,AFTON ,WY ,40 ,O ,O ,O ,O ,0 ,40 
58303091 ,FREEDOM ARMS INC ,314 HWY 239 ,FREEDOM ,WY ,113 ,O ,92 ,O ,105 ,724 ,1034 
,,,,,86806 ,17599 ,95570 ,51472 ,46080 ,49543 ,347070 


