Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
57100301 ,"COTTER, JASON ",115 COUNTY ROAD 546 ,MOUNTAIN HOME ,AR ,O ,O ,O ,O ,1 ,O ,1 
57101324 ,"GUNCRAFTER INDUSTRIES, LLC ",171 MADISON 1510 ,HUNTSVILLE ,AR ,O ,O ,O ,O ,O ,81 ,81 
57101188 ,NIGHTHAWK CUSTOM LLC ,1306 W TRIMBLE ,BERRYVILLE ,AR ,O ,O ,O ,O ,34 ,1167 ,1201 
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE ,AR ,1 ,O ,O ,O ,443 ,1895 ,2339 
98600947 ,BOBCAT WEAPONS INC ,2934 W WINDSOR AVE ,PHOENIX ,AZ ,O ,O ,O ,O ,31 ,0 ,31 
98602058 ,BUSHMASTER FIREARMS INTERNATIONAL LLC ,1070 METRIC DR ,LAKE HAVASU CITY ,AZ ,O ,971 ,O ,O ,64 ,O ,1035 
98601973 ,EXCELL MANUFACTURING INC ,2580 LANDON DR UNIT E ,BULLHEAD CITY ,AZ ,250 ,O ,O ,O ,O ,0 ,250 
98638243 ,"GRAHAM, T MARK ",16014 WEST REMUDA DR ,SURPRISE ,AZ ,O ,O ,1 ,O ,O ,O ,1 
98602030 ,JPS MANUFACTURING LLC ,15651 N 83RD WAY STE 3 ,SCOTTSDALE ,AZ ,O ,4 ,O ,O ,O ,0 ,4 
98633332 ,R & R SPORTING ARMS INC ,15481 N TWIN LAKES DR ,TUCSON ,AZ ,O ,1 ,1 ,2 ,1 ,O ,5 
98636542 ,"ROBAR COMPANIES, INC ",21438 N 7TH AVE SUITE B ,PHOENIX ,AZ ,O ,O ,O ,O ,O ,3 ,3 
98614472 ,"STURM, RUGER & COMPANY, INC ",200 RUGER RD ,PRESCOTT ,AZ ,74477 ,0 ,O ,O ,44221 ,21565 ,140263 
93300576 ,BAR-STO PRECISION MACHINE INC ,73377 SULLIVAN RD ,29 PALMS ,CA ,O ,0 ,0 ,0 ,3 ,25 ,28 
93340727 ,EXCEL INDUSTRIES INC ,4510 CARTER CT ,CHINO ,CA ,252 ,O ,O ,567 ,O ,0 ,819 
93301722 ,PEPPERBALL TECHNOLOGIES INC ,6142 NANCY RIDGE DR STE 101 ,SAN DIEGO ,CA ,0 ,0 ,0 ,O ,0 ,79 ,79 
93336988 ,PHOENIX ARMS ,4231 BRICKELL STREET ,ONTARIO ,CA ,8768 ,2232 ,0 ,O ,O ,0 ,11000 
58400906 ,ANDY'S CUSTOM GUNS INC ,14855 W 54TH AVE ,GOLDEN ,CO ,0 ,0 ,0 ,0 ,2 ,4 ,6 
58402122 ,JOSEPH BRAZIER LTD ,3259 ELECTRA DR SO ,COLORADO SPRINGS ,CO ,O ,O ,O ,O ,O ,1 ,1 
58401738 ,"POWELL, JAMES B ",6571 PFOST DRIVE ,PEYTON ,CO ,O ,O ,O ,O ,O ,14 ,14 
58401278 ,PRECISION SMALL ARMS INC ,ASPEN AIRPORT ,ASPEN ,CO ,O ,52 ,O ,O ,O ,O ,52 
,,BUSINESS CENTER BLDG 210 UNIT C ,,,,,,,,,
58434662 ,ROCKY MOUNTAIN ARMS INC ,1813 SUNSET PL #D ,LONGMONT ,CO ,0 ,0 ,O ,O ,0 ,1 ,1 
60633345 ,COLT'S MANUFACTURING CO LLC ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,O ,O ,O ,3287 ,0 ,14546 ,17833 
60601238 ,JOJOS GUNWORKS LLC ,122 SPRING ST D9 ,SOUTHINGTON ,CT ,O ,0 ,0 ,0 ,2 ,9 ,11 
60604862 ,L W SEECAMP CO INC ,280 ROCK LANE ,MILFORD ,CT ,O ,0 ,1267 ,250 ,0 ,0 ,1517 
60600482 ,US FIREARMS MFG CO ,445-453 LEDYARD ST ,HARTFORD ,CT ,O ,0 ,0 ,O ,180 ,450 ,630 
60635829 ,"WILDEY F A, INC ",45 ANGEVINE RD ,WARREN ,CT ,O ,0 ,O ,O ,O ,73 ,73 
15901002 ,GUN SMOKE ENTERPRISES INC ,506 NE 3RD ST ,OKEECHOBEE ,FL ,20 ,0 ,O ,0 ,0 ,O ,20 
15940806 ,KEL TEC CNC INDUSTRIES INC ,1475 COX ROAD ,COCOA ,FL ,5339 ,O ,17761 ,49841 ,30952 ,O ,103893 
15904849 ,"MERSDORF, ROY EDWARD ",40 OLD TOWN HAMMOCK LANE ,CRAWFORDVILL E ,FL ,O ,O ,1 ,O ,O ,0 ,1 


