Table
RDS KEY ,LICENSE NAME ,,STREET ,CITY ,ST ,PISTOLS
60201816 ,SIG SAUER INC ,,72 PEASE BLVD ,NEWINGTON ,NH ,177366
61601132 ,"AMCHAR WHOLESALE, INC ",,100 AIRPARK DR ,ROCHESTER ,NY ,36
61300458 ,KIMBER MFG INC ,,1120 SAW MILL RIVER RD ,YONKERS ,NY ,2605
99304160 ,PIONEER GUN WORKS INC ,,2460 HARVEST LANE ,SPRINGFIELD ,0R ,10
82506113 ,CABOT GUN COMPANY LLC ,,501 WINFIELD ROAD ,CABOT ,PA ,37
82506873 ,"SCHWEINBERG, CYRIL J ",,RD 1 SHERRETT RD ,COWANSVILLE ,PA ,
15702581 ,"FN AMERICA, LLC ",,797 OLD CLEMSON ROAD ,COLUMBIA ,SC ,636
16208339 ,BERETTA USA CORP ,,1399 GATEWAY DR ,GALLATIN ,TN ,4750
57503514 ,"MICHAEL, STEVEN C ",,1333 MIMOSA LN ,LEWISVILLE ,TX ,
57540601 ,STRAYER VOIGT INC ,,71229 INTERSTATE 20 ,GORDON ,TX ,159
57404908 ,"UNRUH, MATHEW WAYNE ",,1004 SOUTH GABRIEL DR ,LEANDER ,TX ,
57604892 ,INTERFOR USA GROUP INC ,,12515 MAXIM DR ,HOUSTON ,TX ,8
98704452 ,"MACKAY, BRYANT C ",,3805 SOUTH 4220 WEST ,GRANGER ,UT ,
98734026 ,NORTH AMERICAN ARMS INC ,,2150 S 950 E ,PROVO ,UT ,58
98734710 ,TDJ INC ,,"550 NORTH CEMETERY ROAD, BUILDING #1 ",GUNNISON ,UT ,2
98702489 ,WILSON PRECISION ARMS INC ,,204 PLAYA DELLA ROSITA STE #6 ,WASHINGTON ,UT ,1
15402925 ,"KRISS USA, INC ",,912 CORPORATE LANE ,CHESAPEAKE ,VA ,119
15416013 ,"JOHNSON, DONALD R ",,RT 1 BOX 318 C ,GLEN ALLEN ,VA ,
15409033 ,FERGUSON GLEN W ,,RT 1 BOX 1134 ,VIRGINIA BEACH ,VA ,
15402923 ,"SHAVER, HUBERT L ",,RT 29 S ,N GARDEN ,VA ,
99102421 ,RAINIER ARMS LLC ,,2504 AUBURN WAY N ,AUBURN ,WA ,166


