Table
LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL
BLACK STAR TRADING COMPANY LLC ,120 HEWES AVENUE ,CLARKSBURG ,WV ,1 ,0 ,0 ,2 ,11 ,3 ,17
BULLGATOR TACTICAL LLC ,4641 RIPLEY RD ,REEDY ,WV ,0 ,0 ,0 ,0 ,2 ,0 ,2
HARPERS FERRY ARMORY INC ,301 N MILDRED ST ,RANSON ,WV ,0 ,0 ,2 ,0 ,0 ,4 ,6
J W MANUFACTURING LLC ,703 MIDDLETOWN RD ,FAIRMONT ,WV ,1 ,0 ,0 ,0 ,6 ,4 ,11
J&S ENTERPRISES LLC ,1263 CLIFTON SALEM RD ,BRUCETON MILLS ,WV ,0 ,0 ,0 ,0 ,1 ,0 ,1
"PARRISKI, MICHAEL DAVID ",HC 37 BOX 58 ,MAXWELTON ,WV ,0 ,1 ,0 ,0 ,1 ,1 ,3
VIGILANT SECURITY SERVICES ,21150 BARBOUR ,PHILIPPI ,WV ,0 ,0 ,0 ,0 ,0 ,1 ,1
LLC VIQEN LLC ,COUNTY HWY 1781 PHILIPPI PIKE ,CLARKSBURG ,WV ,0 ,0 ,1 ,0 ,2 ,2 ,5
BOLT CARRIER GROUP LLC ,1754 S WILSON ST ,CASPER ,WY ,0 ,0 ,0 ,0 ,1 ,0 ,1
FREEDOM ARMS INC ,314 HWY 239 ,FREEDOM ,WY ,7 ,2 ,6 ,4 ,0 ,1 ,20
INSIGHT PRECISION ARMS LLC ,4105 RD 82 ,TORRINGTON ,WY ,2 ,0 ,0 ,0 ,0 ,0 ,2
"RUBY, JASON TYLER ",6501 ROBIN DR ,GILLETTE ,WY ,0 ,0 ,0 ,0 ,1 ,0 ,1
,,,,408705 ,11135 ,8152 ,848425 ,1756618 ,657971 ,3691010


