Table
KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
60603306 ,COLT'S MANUFACTURING COMPANY LLC ,545 NEW PARK AVE ,WEST HARTFORD ,CT ,1 ,0 ,O ,1613 ,4396 ,25977 ,31987 
60601848 ,HYDRO HONING LABORATORIES ,8 EASTERN PARK RD ,EAST HARTFORD ,CT ,0 ,0 ,0 ,O ,0 ,2 ,2 
60601238 ,JOJOS GUNWORKS LLC ,122 SPRING ST D9 ,SOUTHINGTON ,CT ,1 ,O ,O ,1 ,0 ,10 ,12 
60600006 ,P3LLC ,22 SUNRISE TERRACE ,WEATOGUE ,CT ,0 ,0 ,O ,O ,O ,11 ,11 
60601842 ,PADA HOYT TOOLS LLC ,524 WEST JOHNSON AVE ,CHESHIRE ,CT ,O ,O ,O ,O ,O ,1 ,1 
60603511 ,STAG ARMS LLC ,515 JOHN DOWNEY DR ,NEW BRITAIN ,CT ,O ,0 ,O ,O ,24 ,0 ,24 
60602196 ,STANDARD MANUFACTURING CO LLC ,100 BURRITT STREET ,NEW BRITAIN ,CT ,O ,O ,O ,O ,O ,231 ,231 
60600763 ,"STURM, RUGER & COMPANY, INC ",1 LACEY PL ,SOUTHPORT ,CT ,13 ,O ,O ,6 ,21 ,8 ,48 
60603402 ,USA FIREARMS CORP ,119 ROWLEY STREET ,WINSTED ,CT ,0 ,0 ,0 ,O ,0 ,31 ,31 
15949978 ,AAL HOLDINGS OF HIGHLANDS INC ,5810 STATE ROAD 66 ,SEBRING ,FL ,O ,O ,O ,1 ,0 ,O ,1 
15949404 ,ACCURATE DEFENSE GROUP LLC ,1220 PROSPECT AVENUE SUITE 204 ,MELBOURNE ,FL ,1 ,O ,O ,O ,0 ,0 ,1 
15918134 ,ADAMS ARMS LLC ,1551 GUNN HIGHWAY ,ODESSA ,FL ,78 ,0 ,0 ,O ,0 ,0 ,78 
15920987 ,AEGIS TACTICAL LLC ,4402 S TAMIAMI TRAIL UNIT 3 ,SARASOTA ,FL ,O ,2 ,1 ,O ,4 ,O ,7 
15905746 ,"AMERICAN VINTAGE GUN AND PAWN, INC ",4920 LENA RD UNIT 102 & 103 ,BRADENTON ,FL ,O ,1 ,0 ,O ,15 ,0 ,16 
15949483 ,ANTTACTICAL LLC ,249 SW CHELSEA TERR ,PORT SAINT LUCIE ,FL ,163 ,O ,23 ,0 ,12 ,0 ,198 
15907991 ,ARES DEFENSE SYSTEMS INC ,295 NORTH DRIVE SUITE H ,MELBOURNE ,FL ,200 ,O ,O ,O ,O ,0 ,200 
15932568 ,ARSENAL SUPPLY LLC ,12552 STARKEY RD ,LARGO ,FL ,1 ,0 ,0 ,O ,0 ,1 ,2 
15930118 ,ARTICLE II FIREARMS LLC ,25430 NW 8TH LN STE 100 ,NEWBERRY ,FL ,O ,0 ,O ,O ,4 ,1 ,5 
15920558 ,B HUEY SERVICES LLC ,1601 HERITAGE ESTATES TRACE ,JACKSONVILLE ,FL ,0 ,2 ,1 ,O ,0 ,0 ,3 
15949547 ,BLACK CREEK CUSTOM FIREARMS LLC ,369 BLANDING BLVD SUITE N12 ,ORANGE PARK ,FL ,8 ,O ,O ,O ,O ,0 ,8 
15916829 ,BLACKHAWK CUSTOM LLC ,5762 NW CONE ST ,PORT SAINT LUCIE ,FL ,O ,O ,O ,0 ,0 ,2 ,2 
15948882 ,BUIS INC ,1201 HAMLET AVE ,CLEARWATER ,FL ,0 ,0 ,2 ,0 ,0 ,0 ,2 
15931741 ,"BUNKER, BRANDAN ",1108 24TH AVE E UNIT #114 ,ELLENTON ,FL ,O ,O ,O ,O ,2 ,3 ,5 
15907948 ,CHARLES W JENKINS LLC ,977 18TH AVE SW ,VERO BEACH ,FL ,O ,O ,O ,O ,O ,6 ,6 
15931261 ,CPR TRAINING CENTER TAMPA LLC ,2550 LAND O LAKES BLVD UNIT 194 ,LAND O LAKES ,FL ,O ,O ,3 ,O ,0 ,0 ,3 
15915069 ,CSC ARMS LLC ,4747 SW 45TH STREET ,DAVIE ,FL ,O ,O ,O ,O ,8 ,1 ,9 
15949016 ,CW GUNWERKS LLC ,10705 SW 216TH ST UNIT 215 ,MIAMI ,FL ,0 ,0 ,0 ,O ,3 ,7 ,10 
15910123 ,DIAMONDBACK FIREARMS LLC ,3400 GRISSOM PKWY ,COCOA ,FL ,4706 ,O ,777 ,4115 ,14672 ,O ,24270 


