Table
RDS KEY ,LICENSE NAME ,SIREET ,CITY ,ST ,MISC FA MFG 
54702076 ,PRAIRIE TACTICAL LLC ,1920 9TH AVE ,KEARNEY ,NE ,1 
54701663 ,ZERMATT ARMS INC ,100 MONROE ST ,BENNET ,NE ,791 
60202008 ,HM MACHINE LLC ,44 VENTURE DRIVE ,DOVER ,NH ,38 
60201938 ,"HOOK, ANTHONY PAUL ",18 LAMY DR UNIT #5 ,GOFFSTOWN ,NH ,14 
60202715 ,MACPHERSON FIREARMS LLC ,87 ROUTE 27 ,BRENTWOOD ,NH ,40 
60201012 ,MATRIX AEROSPACE CORPORATION ,421 RIVER ROAD ,CLAREMONT ,NH ,337 
60201484 ,"STURM, RUGER & COMPANY, INC ",411 SUNAPEE ST ,NEWPORT ,NH ,2 
82201446 ,FABER PRECISION INC ,198 GREEN POND RD UNIT D ,ROCKAWAY ,NJ ,1 
82201650 ,JERSEY ELITE MANUFACTURING LLC ,198 GREEN POND RD ,ROCKAWAY ,NJ ,3 
82201393 ,SABRE GLOBAL SERVICES LLC ,94 EAST DEWEY AVE UNIT 3 ,WHARTON ,NJ ,9 
58502074 ,"FIREBIRD PRECISION FIREARMS, LLC ",16 HIDDEN VALLEY ROAD ,JEMEZ SPRINGS ,NM ,46 
98803399 ,CBE INC ,2241 D PARK PLACE ,MINDEN ,NV ,65 
98801240 ,KRAMER CARTRIDGE AND CARBINE LLC ,7495 WEST AZURE DR SUITE #240 ,LAS VEGAS ,NV ,2 
98802240 ,NEW FRONTIER ARMORY LLC ,2844 SYNERGY STREET ,NORTH LAS VEGAS ,NV ,7070 
98804314 ,RED ROCK RIFLEWORKS LLC ,101 W BROOKS AVE UNIT K & H ,NORTH LAS VEGAS ,NV ,19 
98804130 ,WESTSIDE ARMORY LTD ,7345 S DURANGO DR STE 106 ,LAS VEGAS ,NV ,28 
61602828 ,AX TACTICAL LLC ,4947 COMMERCIAL DR STE 2 ,YORKVILLE ,NY ,50 
61603144 ,BLUE TUNA GUNSMITHING LLC ,870 ONTARIO ST EXT ,KENMORE ,NY ,208 
61603663 ,"CROWLEY, DAVID E ",2411 COUNTY RT 12 ,CENTRAL SQUARE ,NY ,1 
61101081 ,DARK STORM INDUSTRIES LLC ,4116 AND 4122 SUNRISE HIGHWAY ,OAKDALE ,NY ,1455 
61603781 ,FIREPOWER INDUSTRY LLC ,999 UPPER MOUNTAIN RD ,LEWISTON ,NY ,12 
61402045 ,HEMMALAH INCORPORATED ,834 MOUNTAIN RD ,PORT JERVIS ,NY ,20 
61603957 ,HYPERION ARMS AND AMMO LLC ,3 OSSIAN ST STE 102 ,DANSVILLE ,NY ,21 
61100308 ,LRB OF LONG ISLAND INC ,96 CHERRY LANE ,FLORAL PARK ,NY ,72 
61401950 ,"MACLEOD, RICHARD EBURNE JR ",602 RT 45 ,EARLTON ,NY ,5 
61602475 ,REMINGTON ARMS COMPANY LLC ,14 HOEFLER AVE ,ILION ,NY ,400 
61101292 ,TIGER SHARK TACTICAL LLC ,1575 RT 112 ,PORT JEFFERSON STATION ,NY ,150 
43404741 ,ADVANCED INNOVATION & MFG INC ,326 PEARL ST NE ,NEW PHILADELPHIA ,OH ,2 
43404636 ,AMERICAN MUSKET'S LLC ,7250 COMMERCE DRIVE UNIT K ,MENTOR ,OH ,3 
43105124 ,"ANDERSON, BARRY ",146 CHAPEL RD ,AMELIA ,OH ,1 
43403691 ,AQUA GRAPHIX LLC ,3829 HAMILTON AVE STE 200 ,CLEVELAND ,OH ,461 
43404791 ,ARTEMIS ARMS LLC ,50 JACKSON ST ,PORT CLINTON ,OH ,26 
43104897 ,CQMD LLC ,2766 LYNDLEY CT ,HILLIARD ,OH ,19 
43104234 ,FAXON FIREARMS LLC ,11101 ADWOOD DR ,CINCINNATI ,OH ,15 
43105984 ,INNOVATIVE MACHINING SOLUTIONS LLC ,127 W SYCAMORE ST BLDG 63 SUITE 49 ,COLDWATER ,OH ,3 


