Table
NAME ,STREET ,CITY ,ST ,RIFLE MFG
COATINGS LLC ,2 INDUSTRIAL DR STE G ,KEYPORT ,NJ ,48
RAC HOLDING CORP ,59 E 1ST ST ,BAYONNE ,NJ ,235037
ELITE MANUFACTURING LLC ,198 GREEN POND RD ,ROCKAWAY ,NJ ,4
PANELCRAFT INC ,105 W DEWEY AVE BUILD C UNIT 16 ,WHARTON ,NJ ,3
EGO FIREARMS LLC ,550 ESPERANZA DR ,BOSQUE FARMS ,NM ,4
TO THE BONE MUZZLELOADERS AND ACCESSORIES LLC ,4620 WHISPERING PINES LN ,LAS CRUCES ,NM ,1
"BEDEAUX, ROY ",8203 GUADALUPE TRL NW UNIT A ,LOS RANCHOS ,NM ,5
BEAR ENTERPRISES LLC ,11520 SAN BERNARDINO DR NE ,ALBUQUERQUE ,NM ,6
BLACKBRIAR INC ,2700 GIRARD BLVD NE STE #A ,ALBUQUERQUE ,NM ,8
GUN SHOP LTD CO ,444 NIAGARA N E ,ALBUQUERQUE ,NM ,1
RIFLES LLC ,206 FLETCHER RD ,ARTESIA ,NM ,68
SUPPRESSORS LLC ,206 FLETCHER RD ,ARTESIA ,NM ,15
CROOKED HORN FIREARMS LLC ,2703 JOHNSON ROAD ,ARTESIA ,NM ,3
T SQUARED FIREARMS LLC ,14317 MEL SMITH CT NE ,ALBUQUERQUE ,NM ,1
"PRECISION FIREARMS, LLC ",16 HIDDEN VALLEY ROAD ,JEMEZ SPRINGS ,NM ,4
"ARMS MANUFACTURING COMPANY, LLC ",3589 HIGHWAY 47 ,PERALTA ,NM ,4
GALLEGOS GROUP LLC ,6301 RIVERSIDE PLAZA LANE NW SUITE 3 ,ALBUQUERQUE ,NM ,1
WAYNE RUSSELL JR ,1008 AVENIDA DE LAS CAMPANAS ,SANTA FE ,NM ,1
DAVID A ,5603 RAVELLA DR ,FARMINGTON ,NM ,1
ARMS LLC ,11215 CENTRAL AVE NE ,ALBUQUERQUE ,NM ,9
DENNIS GLEN ,27854 HWY 70 E ,SAN PATRICIO ,NM ,14
ROBERT ,5940-A MIDWAY PARK BLVD ,ALBUQUERQUE ,NM ,1
SILENCER TECH LLC ,500A COUGAR DR ,LOGAN ,NM ,7
STRYKERS SHOOTING WORLD LLC ,415B S VALLEY DR ,LAS CRUCES ,NM ,6
INC ,4395 W POST RD UNIT 100 ,LAS VEGAS ,NV ,1521
TACTICAL LLC ,867 MAHOGANY DRIVE ,MINDEN ,NV ,148
ARMS DEVELOPMENT INC ,180 CASSIA WAY SUITE 510 ,HENDERSON ,NV ,30
ARMS DEVELOPMENT INC ,451 E SUNSET RD ,HENDERSON ,NV ,11
BORN ARMAMENT LLC ,1948 JANIE LANE ,ELKO ,NV ,1
RIFLE SYSTEMS LLC ,5070 SIGSTROM DR ,CARSON CITY ,NV ,8
BEARD RESEARCH & DEVELOPMENT LLC ,904 VISTA PARK DR ,CARSON CITY ,NV ,1
"BONANNO, GABRIEL ",17200 HWY 395 N ,RENO ,NV ,1
INC ,2241 D PARK PLACE ,MINDEN ,NV ,


