Table
,STREET ,CITY ,ST ,RIFLE MFG
,3409 MAYHEW LAKE RD NE ,SAUK RAPIDS ,MN ,2
FIREARMS TRANING LLC ,25 RIVERSIDE AVE NW ,MELROSE ,MN ,1
DEAN ,21 VALHALLA RD ,SLAYTON ,MN ,4
INC ,15125 FRANCESCA AVENUE ,HUGO ,MN ,1614
LLC ,241 MAIN STREET UNIT 1 ,MILTONA ,MN ,13
GUNSMITHING LLC ,816 8TH AVE ,MADISON ,MN ,8
RESEARCH INC ,12602 33RD AVE SW ,PILLAGER ,MN ,1483
ENTERPRISES LLC ,2535 PILOT KNOB ROAD SUITE 117 ,MENDOTA HEIGHTS ,MN ,4
,324 KNOPP VALLEY DR ,WINONA ,MN ,1
COMPONENTS INC ,79 EAST 8TH STREET ,WACONIA ,MN ,391
"DESIGN, INC ",18125 INGRAM WAY ,EDEN PRAIRIE ,MN ,1
,3152 COUNTRY DR ,LITTLE CANADA ,MN ,15
COMPANY LLC ,2239 HWY 12 ,TWO HARBORS ,MN ,1
INC ,7689 MAIN ST ,FRIDLEY ,MN ,2
,6315 RICE LAKE ROAD ,DULUTH ,MN ,957
SHOOTERS SUPPLY LLC ,5637 DOUGLAS FIR ,JOPLIN ,MO ,3
INDUSTRIES LLC ,6606 NE ANTIOCH RD ,GLADSTONE ,MO ,5
LLC ,805 NASHUA RD ,LIBERTY ,MO ,44
TACTICAL LLC ,3126 WEST CLAY ,SAINT CHARLES ,MO ,143
LLC ,1160 CLOCK TOWER PLAZA ,WASHINGTON ,MO ,6
CHRISTOPHER A ,213 MORGAN ST ,AUXVASSE ,MO ,1
MANUFACTURING & COATING ,LLC 1511 N OHIO AVE ,SEDALIA ,MO ,37
ORDNANCE INC ,11633 IRIS ROAD ,NEOSHO ,MO ,2291
OUTFITTERS LLC ,9435 HWY N STE A ,MOUNTAIN GROVE ,MO ,1
"BULLETS, LLC ",18850 RIDGEVIEW DR ,DEXTER ,MO ,1
ENTERPRISES LLC ,330 EVERGREEN DR ,SULLIVAN ,MO ,4
PAUL E ,727 E BOONESLICK RD ,TRUESDALE ,MO ,1
"TACTICAL, LLC ",3519 CEDAR FALLS ROAD SUITE A ,BONNE TERRE ,MO ,41
,10816 EWING ,KANSAS CITY ,MO ,1
BATEMAN LLC ,2103 PRAIRIE CREEK DR ,KEARNEY ,MO ,1
FIREARMS LLC ,1500 W COLLEGE ,SPRINGFIELD ,MO ,79
,2301 BOONSLICK DR ,BOONVILLE ,MO ,2369
EDGE GUN WORKS LLC ,17154 CR 180 ,BOGARD ,MO ,1


