Table
STREET ,CITY ,ST ,RIFLE MFG
4880 ROBB ST UNIT 12 ,WHEAT RIDGE ,CO ,15
,,CO ,11
818 SUNDANCE DR ,LIVERMORE ,CO ,1
36207 WCR 65 ,GALETON ,CO ,1
,,CO ,18
549 BOGART LANE ,GRAND JUNCTION ,CO ,1
,,CO ,2
,,CO ,3
,,CO ,1
1631 P ROAD ,LOMA ,CO ,10
,,CO ,4
411 B TIA JUANA ,COLORADO SPRINGS ,CO ,2
,,CO ,6
,,CO ,4
1432 S NUCLA ST ,AURORA ,CO ,1
11919 W I-70 FRONTAGE RD N SUITE 127 ,WHEAT RIDGE ,CO ,8
,,CO ,1
,,CO ,4
3259 ELECTRA DR SO ,COLORADO SPRINGS ,CO ,6
,,CO ,288
,,CO ,1
24415 CR 40 ,AKRON ,CO ,3
1523 W HIGHWAY 34 ,LOVELAND ,CO ,1
,,CO ,37
,,CO ,36
,,CO ,23
145 VALLEY LN ,WOODLAND PARK ,CO ,19
377 CORONADO DRIVE ,SEDALIA ,CO ,12
,,CO ,3
545 31 RD ,GRAND JUNCTION ,CO ,1
,,CO ,29
615 VIRGINIA CT ,CANON CITY ,CO ,8
,,,


Table
58406011 ,CUSTOM MECHANICAL SOLUTIONS LLC ,,
58405862 ,DAMAGE FACTORY LLC ,6806 SOUTH DALLAS WAY ,GREENWOOD VILLAGE
58407018 ,DISTINCTIVE RAILINGS LLC ,,
58403916 ,DK FAMILY HOLDINGS LLC ,,
58407289 ,DOLORES RIVER RIFLES LLC ,446 RIVERSIDE AVE ,MANCOS
58405564 ,DTCC INC ,,
58404833 ,"GRAY, HAROLD F ",6590 RD 21 ,CORTEZ
58403287 ,GRE-TAN RIFLES LLC ,24005 HWY 13 ,MEEKER
58407407 ,GUNSMITH AT LARGE LLC ,4750 S SANTA FE CIR UNIT 2 ,ENGLEWOOD
58401680 ,HERITAGE ARMS INC ,,
58404451 ,HERITAGE GUN WORKS INC ,1473 S TELLER ST ,LAKEWOOD
58404875 ,HICKMAN RIFLES LLC ,,
58404227 ,HIGH TECH CUSTOMS INC ,3109 N CASCADE AVE STE 103 ,COLORADO SPRINGS
58407571 ,HIGHER LEVEL DEFENSE LLC ,2209 20TH ST RD ,GREELEY
58402313 ,"HOGAN, THEODORE KENNETH ",,
58407161 ,JB TACTICAL LLC ,,
58406824 ,KEPPDEZIN LLC ,1932 BROOKWOOD DR ,COLORADO SPRINGS
58406632 ,KOVAN MATCH RIFLES LLC ,8165 W 48TH AVE ,WHEAT RIDGE
58402371 ,"LIPPARD, KARL ",,
58402309 ,M+M INC ,10909 IRMA DRIVE ,NORTHGLENN
58404547 ,"MANTHEI, ROBERT D ",4641 S COLE WAY ,MORRISON
58404693 ,"MCCAFFREY, ANTHONY JAY ",,
58400531 ,MCKINNEY RICHARD PHILLIP ,,
58407796 ,MESA PRECISION ARMS INC ,2297 TALL GRASS DR UNIT G ,GRAND JUNCTION
58405850 ,MILE HIGH SHOOTING ACCESSORIES LLC ,3731 MONARCH ST ,ERIE
58405752 ,PHOENIX WEAPONRY LLC ,1822 SKYWAY DR UNIT P ,LONGMONT
58406045 ,"PODEMSKI, MICHAEL CHESTER JR ",,
58407114 ,PRECISION ARMAMENT ENGINEERING INC ,,
58404219 ,PTC ENTERPRISES LLC ,2803 JUNCTION ST ,DURANGO
58405726 ,ROCKY MOUNTAIN GUN CLUB LLC ,,
58407038 ,ROCKY MOUNTAIN PECISION RIFFLES INC ,385 MIRA SOL DR ,DURANGO


