Table
RDS KEY ,LIC NAME ,STREET ,CITY ,ST FL ,RIFLEM 1 
15943009 ,ANZIO IRONWORKS CORP ,1905 16TH. ST N ,SAINT PETERSBUR ,,
i 15939794 ,B & K DIVING SYSTEMS INC ,1328 CLEMENTS WOODS LN ,JACKSONVILLE ,FL ,2 
15940806 ,KEL TEC CNC INDUS ,1485 COX RD ,COCOA ,FL ,1273 
15940998 ,KNIGHTS MANUFACTURING CO ,7750 9TH ST SW ,VERO BEACH ,FL ,474 
15937076 ,S A A R MFG CORP ,801 w 49TH ST #111 ,HIALEAH ,FL ,4 
15946669 ,"SMITH, TIMOTHY E ",3761 RECKER HWY ,WINTER HAVEN ,FL ,10 
15939954 ,"WEAVER, JOHN R JR ",1401 S RIDGEWOOD AVE #4 ,EDGEWATER ,FL ,17 
15840170 ,"MCWHORTER, WILLIAM T ",1549 HOWELL RD ,DOERUN ,GA ,18 
15814830 ,"NELSON, JOHN THOMAS JOE ",RT #5 BOX 412C ,CARROLLTON ,GA ,1 
15840160 ,SHAWNEE RIFLE CO INC ,323-A CARL VINSON PKWY ,WARNER ROBINS ,GA ,8 
15814839 ,"SKALLA, SOL ALAN ",1604 GAIL AVE ,ALBANY ,GA ,1 
54235539 ,MODERN MUZZLELOADING INC ,234 AIRPORT RD ,CENTERVILLE ,IA ,10965 
98235032 ,BAT MACHINE CO INC ,11570 N BRUSS RD ,RATHDRUM ,ID ,2 
98235118 ,EVOLUTION INC ,RT 2 BOX 763-L ,GRANGEVILLE ,ID ,3 
98233354 ,S D MEACHAM TOOL & HARDW ,1070 ANGEL RIDGE RD ,PECK ,ID ,32 
33636039 ,ARMALITE INC ,745 S HANFORD ST ,GENESEO ,IL ,6605 
33637390 ,DS ARMS INC ,27W990 INDUSTRIAL AVE ,LAKE BARRINGTON ,IL ,72 
33612807 ,FEDERAL ENGINEERING CORP ,316 MEYER RD ,BENSENVILLE ,IL ,12 
33733384 ,OGLESBY & OGLESBY GUNMA ,744 W ANDREW RD ,SPRINGFIELD ,IL ,1 
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,5982 
54835636 ,"HARRISON, STEVEN W ",2750 SE 60TH ST ,COLUMBUS ,KS ,1 
54835175 ,"SMITH, RAY V ",10778 WESTGATE RD ,OVERLAND PARK ,KS ,1 
54834186 ,"TERNING, AARON ",250 RD 12 ,SEDAN ,KS ,3 
54833096 ,WICHITA ARMS INC ,923 E GILBERT ,WICHITA ,KS ,57 
46136888 ,COMPASSECO INC ,151 ATKINSON HILL AVE ,BARDSTOWN ,KY ,507 
46137026 ,REMINGTON ARMS COMPA ,22 RIFE TRAIL ,HICKORY ,KY ,77501 


