Table
818 ,818 ,0 ,0 ,0 ,O ,0 ,LA ,And ANVISI ,LS NIHHGHd ONI ,ILNI ,WVHONIH sadINOS 
ZE9I ,7E9I ,0 ,0 ,0 ,O ,0 ,LA ,HOIMHVH ,JLS NINW HLHON tI ,,ALI SWHV NVIdSVO 
I ,I ,O ,0 ,0 ,0 ,0 ,VA ,VAdVSHO ,HAV XVMOIIVO 0001 D ,NOIHHGAH ,'HOIISHHONVA 
0L79 ,0 ,O ,0 ,0L79 ,0 ,O ,Ln ,ONONd ,a 056 S OSIZ ,ONI swdV ,NVOIdAWV HLHON 
ISI ,ISI ,0 ,O ,0 ,O ,0 ,L ,Nvador LSEM ,Ad WVd LSAM EEIt ,ONI ,DNIDOLOVAONYW 
8610Z ,0 ,0 ,0 ,0 ,0 ,86107 ,LO ,ID VI LTVS ,MOH SHOLOAHIA 6LLZ ,ONI ,ADOIONHDHL 
ZZZI ,EV0I ,6LI ,0 ,0 ,0 ,0 ,XL ,aIdedd ANYdD ,007# anIg HHO XOH SEVE ,ONI ,LDIOA HHAVHLS 
C ,C ,0 ,O ,0 ,0 ,O ,XL ,NOLSOOH ,a ALS IVIHOWAW SNWALAA 6ZEEI ,,XHLOWIL LIVLS 
6L07 ,6L0Z ,O ,O ,0 ,0 ,0 ,XJL ,NMOL35HOAD ,nOD HVWIWH tII ,ONI ,'TVNOILVNHALNI 
SOI ,O ,0 ,0 ,0 ,,IOI ,XL ,HLHOM LO ,AMHA dr DNIX HCHLNI NILHVW 8007 ONI ,,'SHILSNANI HASOLSHd 
6S ,0 ,O ,0 ,0 ,0 ,6S ,XL ,ATIIASNMONH ,D aLInS LS HLEI H $967 ,,ONI 'swav 
87 ,0 ,O ,0 ,0 ,0 ,687 ,XL ,NOLSOOH ,9II# AMH VALSdWaH 90901 ,,anNYW VNVLS 
T ,I ,0 ,O ,0 ,0 ,0 ,XL ,ATIIASALVE ,3-061 oh E LH ,NOLIHHS ,LLANVD 'LNVAD 
0v ,0f ,O ,0 ,0 ,O ,0 ,XL ,NOLSNOH ,vvI# LNOWANId S T09t ,LHHHOd ,awodar 'XAD4 
8L ,8L ,0 ,0 ,0 ,O ,0 ,XL ,VOVHONVW ,SOI ALS '9791 Wd M SILI ,ddoD ,HOIWHODOW 
EIEI ,8LII ,SE ,0 ,0 ,O ,0 ,XL ,AHNANVHS ,NI VHDIV 107 ,,ONI SWHV 
I ,0 ,0 ,0 ,T ,0 ,0 ,XL ,LVLS HDAIIOD ,S 9 XMH LS 99181 ,ONI '03 ,23 NVWASIM 
96 ,0 ,96 ,O ,O ,0 ,0 ,XL ,NOLSQOH ,LS NOLHINE EZIS ,ONI O3 ,DdW ILNI SYWHY 
L9IE ,IZSI ,S68 ,S9L ,E9E ,SI ,80I ,XJL ,ODVM ,dA AOVI N LZI ,dO3 ,HADNIHHA NHOIHAWV 
OI ,6 ,0 ,I ,0 ,0 ,0 ,NL ,ALID HIONAI ,da XHVd IVIHLSNANI 068S ,ONI ,ANIHOVW HXVI WHOLS 
ILOL ILSd ,OS ILSd ,WW6 ILSd ,08E ILSd ,ZE ILSd ,SZ ILSd ,ILSd ,LS ,XLIO ,LHAHLS ,,


