Table
57454185 ,"BILL WISEMAN & CO, INC ",18456 ST HWY 6 S ,,COLLEGE STATION ,TX ,22 
57634159 ,BRILEY MANUFACTURING INC ,1230 LUMPKIN ,,HOUSTON ,TX ,5 
57540686 ,C A M III CORPORATION ,CO RD 410 ,,OZONA ,TX ,1 
57602824 ,"FREY, JEROME ROBERT ",4601 S PINEMONT #144 ,,HOUSTON ,TX ,92 
57633722 ,HARBORTHS GUN REPAIR INC ,1026 HORACE MANN ,,ROSENBERG ,TX ,2 
57637564 ,LONE STAR RIFLE CO INC ,11231 ROSE ROAD ,,CONROE ,TX ,33 
57537674 ,"PASTUSEK INDUSTRIES, INC ",2008 MARTIN LUTHER KING ,JR FR ,FORT WORTH ,TX ,436 
57637646 ,"SHARPE, RICHARD E JR ",8011 GLEN FOREST CT ,,HOUSTON ,TX ,1 
57540358 ,TURBO SPECIALTIES & MACH CO IN ,4301 W CO RD ,,ODESSA ,TX ,42 
98706281 ,LAR MANUFACTURING INC ,4133 WEST FARM RD ,,WEST JORDAN ,UT ,153 
15440040 ,ANTHONY W GILKES INC ,26574 HILLMAN HWY ,,MEADOWVIEW ,VA ,29 
15439942 ,"HERRING, GEOFFREY A ",408 MT TABOR RD ,,BLACKSBURG ,VA ,6 
15439177 ,"ROBINSON, CHARLOTTE L ",442 S 15TH AVE ,,HOPEWELL ,VA ,9 
99138062 ,ARNOLD ARMS COMPANY INC ,19007 61ST AVE NE #1 ,,ARLINGTON ,WA ,79 
99136693 ,NESIKA BAY PRECISION INC ,6112 NE MINNER RD #8 ,,POULSBO ,WA ,178 
99114520 ,OLYMPIC ARMS INC ,620-626 OLD PACIFIC ,HWY S ,OLYMPIA ,WA ,4481 
33910305 ,"HORSTKAMP, KLAUS ",806 S DIVISION ST ,,WAUNAKEE ,WI ,321 
45509942 ,"ULTRA LIGHT ARMS, INC ",214 PRICE STREET ,,GRANVILLE ,WV ,135 
58334359 ,BALLARD RIFLE AND CARTR ,113 W YELLOWSTONE ,,CODY ,WY ,38 
58334071 ,"BARKER, DONALD R ",113 W YELLOWSTONE AVE ,,CODY ,WY ,13 


