Table
6L ,ZS ,EI ,O ,0 ,0 ,fI ,VI ,NOLHONIHd ,NI LOOLOOHS 9EE 
9S ,9S ,O ,O ,0 ,O ,0 ,SH ,OASANAD ,A aAH SISZ 
T ,0 ,0 ,0 ,0 ,0 ,T ,NI ,NOSHHANV ,Ad ITIIOVODId 019 
SOOII ,$0L0I ,707 ,66 ,O ,0 ,O ,II ,oasaNas ,LS NIVW M 07 
ZL ,0 ,IL ,I ,0 ,0 ,O ,II ,ANVIAID ,LS AIHON TOI 
8E6I ,II8I ,971 ,O ,O ,0 ,TI ,II ,AIVOSIIIH ,N HAV HLVE 10967 
8 ,E ,E ,C ,0 ,0 ,O ,II ,SIIIH NONHHA ,dA 350a LSAHOH 0$6 
186 ,O ,0 ,0 ,186 ,O ,O ,VO ,NOLIIOHAVO ,ad MOHEWONH SIZ 
078LI ,0 ,O ,0 ,0 ,$609 ,9ZLII ,I4 ,IWVIW ,aAV HL6% MN SLI9I 
$69SI ,18E ,S'szt ,98 ,0 ,LV8 ,988I ,IH ,IWHIW ,LS HLOEI MS SOVZI 
68761 ,S957 ,1L991 ,0 ,0 ,0 ,0 ,IH ,1O3OO ,Ad XOO $8%1 
I ,0 ,I ,0 ,O ,0 ,0 ,IH ,ATIIANOSYOVT ,NI SAOOM SLNAWAIO 8ZEI ONI 
L6 ,L6 ,0 ,O ,0 ,0 ,0 ,LO ,NaddVm ,Ad ANIAASNV SV 
LVZZ ,0 ,0 ,0 ,LVzZ ,0 ,0 ,LO ,HOHIIW ,DAIH THIHLSNONI Ad HALSMAHH TOE 
LSLZ9 ,VE0EV ,8L0I ,LEISI ,O ,0 ,80SE ,LO ,HOALHVH LSAM ,HAH XHVMaN Svs 
E ,E ,0 ,O ,0 ,0 ,0 ,03 ,HLISAW ,OVNOHOD 00I 
6s61 ,0 ,0 ,0 ,0 ,ES6I ,I ,VO ,VIONAIVA ,dONHLS HAV M E9ISZ 
E ,E ,0 ,0 ,0 ,0 ,0 ,HO ,d NINALNAML ,ad NHAITINS LLEEL 
LS8 ,LS8 ,O ,0 ,O ,0 ,O ,HO ,ONIHO ,NI HLINOH VHddIS L9ISI 
,,,,,,,,,
ILOL ILSd ,OS ILSd ,WW6 ILSd ,088 ILSd ,ZE ILSd ,9Z ILSd ,E7 ILSd ,LS ,ALID ,LHAdLS 


