Table
KEY ,NAME ,STREET ,CITY ,STATE ,RVLRX 
98636542 ,ROBAR COMPANIES INC ,21438 N 7TH AVE SUITE B ,PHOENIX ,AZ ,13 
60633345 ,COLT'S MANUFACTURING ,CO IN 545 NEWPARK AVE ,WEST HARTFORD ,CT ,4329 
60434429 ,H & R 1871 INC ,NEW E 60 INDUSTRIAL ROWE ,GARDNER ,MA ,140 
60201484 ,"STURM, RUGER & CO INC ",411 SUNAPEE ST ,NEWPORT ,NH ,7178 
57541407 ,"PRUITT, WILLIAM F ",852 JERRY LN ,BEDFORD ,TX ,4 
98734026 ,NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,4122 
58303091 ,FREEDOM ARMS INC ,1 1/2 MI E OF PO ,FREEDOM ,WY ,2 


