Table
,,,,STREET ,CITY ,ST ,RIFLE MFG 
,,,,1396 NATHAN HALE DR ,PHOENIXVILLE ,PA ,1 
H ,,,,415 GREENWAY ,RED LION ,PA ,4 
,,,,1091 MILLION DOLLAR HWY ,ST MARYS ,PA ,4 
,,,,155 SODOM RD ,MILTON ,PA ,45463 
,,,,238 NOTCH RD ,DUNCANNON ,PA ,1 
,,,,58 VILLAGE RD ,ETTERS ,PA ,11 
,,,,311 WALTON STREET ,PHILIPSBURG ,PA ,1 
,,,,"1630 CALIFORNIA AVE, REAR ",WHITE OAK ,PA ,9 
,,,,5731 SMITHFIELD ST ,MC KEESPORT ,PA ,5 
INC ,,,,222 ROESCH AVE ,ORELAND ,PA ,1 
,,,,7013 DOGWOOD CIRCLE ,SLATINGTON ,PA ,9 
,,,,401 MONTGOMERY ST ,NESCOPECK ,PA ,8 
,,,,861 RIDGE RD ,WAYNESBURG ,PA ,3 
,,,,125 FRYTOWN RD ,CARLISLE ,PA ,5 
,,,,175 MAPLE GLEN DR ,HARMONY ,PA ,2 
,,,,RR 2 BOX 1012 ,DINGMANS FERRY ,PA ,46 
,,,,134 SOUTH 9TH ST ,AKRON ,PA ,3 
JOHN ,,,,156 BAKER RD ,DU BOIS ,PA ,33 
,,,,121 VALLEY VIEW DR ,EPHRATA ,PA ,25 
,,,,6506 KYLERTOWN DRIFTING HWY ,DRIFTING ,PA ,214 
,,,,500 COOPER AV ,GRASSFLAT ,PA ,214 
,,,,692 BROUGHTON ST SE ,ORANGEBURG ,SC ,2 
,,,,797 OLD CLEMSON ROAD ,COLUMBIA ,SC ,21878 
III ,,,,1105 BAILEY TOWN RD ,UNION ,SC ,1 
,,,,2A CUSTOM MILL CT ,GREENVILLE ,SC ,1 
,,,,383 BROWN RD ,JACKSON ,SC ,73 
,,,,1117 BELLREIVE DR ,AlKEN ,SC ,28 
SOLUTIONS LLC ,,,,353 SANDIFER RD ,YORK ,SC ,1 
,,,,1350 NEVA WAY ,RAPID CITY ,SD ,2 
,,,,1310 INDUSTRY RD ,STURGIS ,SD ,99 
,,,,905 WEST 41ST STREET ,SIOUX FALLS ,SD ,2 
,,,,1301 TURBINE DR ,RAPID CITY ,SD ,613 


Table
82301232 ,HALO ARMS LLC 
82339102 ,"HAMMONDS, CLARENCE "
82502688 ,HI VELOCITY INC 
82302834 ,KEYSTONE SPORTING ARMS LLC 
82304013 ,"KING, MARK S "
82302810 ,M & B CUSTOM FIREARMS INC 
82503096 ,MASTERPIECE FENCE & DECK CO 
82500420 ,"MCCAW, JOHN ROBERT "
82502687 ,PENNSYLVANIA DEFENSE CONSULTANTS LLC 
82304026 ,PHILADELPHIA ORDNANCE 
82338061 ,PRECISION ARMAMENTS INC 
82311979 ,ROBERT HART & SON INC 
82503101 ,ROBINSON CUSTOM GUNS LLC 
82303573 ,ROUSH ARMS LLC 
82502716 ,"SAYTI, DENNIS G "
82300267 ,SINGLE SHOT RIFLES INC 
82303517 ,"STEMPLINGER, BERNARD A "
82502168 ,"SWATSWORTH, WILLIAM "
82303270 ,U S ARMAMENT CORP 
82502999 ,XTREME MACHINING LLC 
82501703 ,"ZELENKY, ROBERT A "
15701554 ,"CHANG, BILLY WILLS "
15702581 ,"FN MANUFACTURING, LLC "
15702180 ,"GARNER, JOHNSON HAROLD "
15702231 ,GORDON SPECIALTY ARMS LLC 
15701803 ,JARRETT RIFLES INC 
15736279 ,ON TARGET INC 
15702223 ,TURN-KEY TACTICAL 
34600713 ,"AKERS, ROBERT WESLEY "
34600742 ,DA ACQUISITIONS LLC 
34600493 ,GGS 3 
34633475 ,H S PRECISION INC 
34633933 ,LOUIS 


