Table
"GUN AND PAWN, ",INC ,,,,,4920 LENA RD UNIT 102 & 103 ,BRADENTON ,FL ,6 
LLC ,,,,,,1556 S STATE ROAD 53 ,MADISON ,FL ,108 
,,,,,,249 SW CHELSEA TERR ,PORT SAINT LUCIE ,FL ,19 
CORP ,,,,,,14605 49TH STREET NORTH UNIT #8 ,CLEARWATER ,FL ,46 
,,,,,,203 NW 3RD AVE ,HALLANDALE ,FL ,63 
INC ,,,,,,295 NORTH DRIVE SUITE H ,MELBOURNE ,FL ,514 
,,,,,,2150 WHITFIELD AVE ,SARASOTA ,FL ,2 
,,,,,,12552 STARKEY RD ,LARGO ,FL ,11 
,,,,,,1601 HERITAGE ESTATES TRACE ,JACKSONVILLE ,FL ,14 
,,,,,,201 21ST AVE WEST ,BRADENTON ,FL ,1 
LLC ,,,,,,2516 JMT INDUSTRIAL DR UNITS 106-110 ,APOPKA ,FL ,6 
LLC ,,,,,,700 SOUTH JOHN RODES BLVD UNIT D-4 ,MELBOURNE ,FL ,8 
FIREARMS LLC ,,,,,,369 BLANDING BLVD SUITE N12 ,ORANGE PARK ,FL ,12 
LLC ,,,,,,"5151 SUNBEAM ROAD SUITE 9,10,11 ",JACKSONVILLE ,FL ,4 
LLC ,,,,,,5762 NW CONE ST ,PORT SAINT LUCIE ,FL ,13 
INC ,,,,,,2725 CENTER PLACE ,MELBOURNE ,FL ,4 
INC ,,,,,,7312 NW 46 ST ,MIAMI ,FL ,5 
,,,,,,6835 NARCOOSSEE RD UNIT 19 ,ORLANDO ,FL ,13 
,,,,,,1201 HAMLET AVE ,CLEARWATER ,FL ,7 
LLC ,,,,,,123 N ORCHARD ST BLDG 6 UNIT C ,ORMOND BEACH ,FL ,18 
LLC ,,,,,,977 18TH AVE SW ,VERO BEACH ,FL ,4 
LLC ,,,,,,2200 FORSYTH RD UNIT 110 ,ORLANDO ,FL ,1 
,,,,,,1502 RAIL HEAD BLVD ,NAPLES ,FL ,6 
,,,,,,4747 SW 45TH STREET ,DAVIE ,FL ,25 
,,,,,,10705 SW 216TH ST UNIT 215 ,MIAMI ,FL ,5 
SUPPLY LLC ,,,,,,10711 SW 216 ST STE 213 ,MIAMI ,FL ,1 
LLC ,,,,,,3400 GRISSOM PKWY ,COCOA ,FL ,26960 
TACTICAL LLC ,,,,,,925 WALKER RD ,WILDWOOD ,FL ,21 
,,,,,,863 PIERCE RD ,WAUCHULA ,FL ,3 
LLC ,,,,,,794 N COUNTY HWY 393 STE G ,SANTA ROSA BEACH ,FL ,1 
,,,,,,6684 COLUMBIA PARK DR S ,JACKSONVILLE ,FL ,17 
,,,,,,18210 PAULSON DRIVE UNIT B6 ,PORT CHARLOTTE ,FL ,11 


