Table
RDS KEY ,LICENSE NAME ,SIREET ,CITY ,ST ,MISC FA MFG 
98703191 ,RIOT LLC ,353 WEST 200 SOUTH SUITE 101 ,SALT LAKE CITY ,UT ,1 
98702471 ,RK ENTERPRISES LLC ,49 W MAIN ST ,MT PLEASANT ,UT ,20 
98701056 ,"SILENCERCO, LLC ",5511 SOUTH 6055 WEST ,WEST VALLEY CITY ,UT ,73 
98703258 ,STS MANUFACTURING LLC ,673 WEST 1ST ST BLDG 4A BAY 5 ,OGDEN ,UT ,183 
98702121 ,TEGRA ARMS INC ,523 S COMMERCE RD ,OREM ,UT ,1078 
98703241 ,VUDOO LABS INC ,4012 SOUTH RIVER ROAD UNIT 4F ,SAINT GEORGE ,UT ,89 
15423671 ,AGF DEFCOM INC ,604 GREEN TREE RD STE C&D ,CHESAPEAKE ,VA ,6 
15412412 ,APPALACHIAN GUN WORKS LLC ,4568 BLUE RIDGE BLVD ,BLUE RIDGE ,VA ,254 
15413728 ,BACKGROUNDS UNLIMITED INC ,2309 LEE HWY ,MOUNT SIDNEY ,VA ,2 
15440133 ,CCF/SWISS INC ,313 BERWICKSHIRE DR ,RICHMOND ,VA ,39 
15416091 ,DEFCON ONE LLC ,1001 B SPARROW RD ,CHESAPEAKE ,VA ,1 
15410353 ,DIORIO MANUFACTURING COMPANY LLC ,32 SILVER LAKE RD ,HARRISONBURG ,VA ,35 
15423758 ,DREGHAN DEFENSE LLC ,141 SYKES AVE UNIT #141 ,VIRGINIA BEACH ,VA ,4 
15424072 ,ECHO 3 WHISKEY ARMS LLC ,1108 COOLBROOK RD ,BEDFORD ,VA ,30 
15416746 ,EDC TACTICAL LLC ,1100 ATHENS AVE STE D ,RICHMOND ,VA ,1490 
15409033 ,"FERGUSON, GLEN W ",RT 1 BOX 1134 ,VIRGINIA BEACH ,VA ,
15416013 ,"JOHNSON, DONALD R ",RT 1 BOX 318 C ,GLEN ALLEN ,VA ,
15405293 ,SAMS CUSTOM GUNWORKS LLC ,254 COLUMBIA RD ,CARTERSVILLE ,VA ,2 
15402923 ,"SHAVER, HUBERT L ",RT 29 S ,N GARDEN ,VA ,
15410619 ,"SODAN ARMAMENT, LLC ",3300A NEW KENT HWY ,QUINTON ,VA ,6 
15402667 ,SPECIAL TACTICAL SERVICES LLC ,5725 ARROWHEAD DR ,VIRGINIA BEACH ,VA ,1 
15406989 ,STERLING ARSENAL WORKS & TACTICAL SUPPLY LLC ,201 DAVIS DRIVE UNIT FF ,STERLING ,VA ,2 
15416454 ,STONEWALL ARMORY LLC ,101 TUCKER ST ,LEXINGTON ,VA ,3 
15415731 ,TRIUNE ARMS LLC ,571 FROST AVE ,WARRENTON ,VA ,5 
60300549 ,"AMRICK, DANIEL ",1114 RT 30 ,BOMOSEEN ,VT ,19 
60333217 ,CENTURY ARMS INC ,236 BRYCE BLVD ,GEORGIA ,VT ,16163 
60300696 ,"PIKE, RANDALL S ",181 SPRAGUE RD ,WEST HALIFAX ,VT ,31 
60300917 ,ST MICHAEL'S DEFENSE LLC ,132 FACTORY ST STE 2 ,SAINT JOHNSBURY ,VT ,20 
99107250 ,AERO PRECISION LLC ,2320 COMMERCE STREET ,TACOMA ,WA ,62575 
99105684 ,AERO PRECISION LLC ,2340 S HOLGATE ST ,TACOMA ,WA ,15458 
99104649 ,"AREA 53 RESEARCH & DEVELOPMENT, LLC ",1407 E CHATTAROY RD ,COLBERT ,WA ,35 
99103916 ,BROTHERS N ARMS LLC ,2060 VANTAGE HIGHWAY STE 38 ,ELLENSBURG ,WA ,49 
99105925 ,"GREY GHOST PRECISION, LLC ",2916 107TH ST S ,LAKEWOOD ,WA ,304 
99106894 ,JONES ARMS LLC ,63 HOOKER RD ,SEQUIM ,WA ,24 
99106076 ,LIQUID TRANSFORMATIONS LLC ,1707 E HOLYOKE AVE ,SPOKANE ,WA ,5 


