Table
,,,,8643 ANIMAS PL NW ,ALBUQUERQUE ,NM ,6 
,,,,,ALBUQUERQUE ,NM ,4 
LLC ,,,,206 FLETCHER RD ,ARTESIA ,NM ,36 
,,,,,RIO RANCHO ,NM ,32 
FIREARMS LLC ,,,,2703 JOHNSON ROAD ,ARTESIA ,NM ,1 
,,,,662 HIDDEN VALLEY RD ,JEMEZ SPRINGS ,NM ,3 
,,,,,SAN ANTONIO ,NM ,1 
RUSSELL JR ,,,,1008 AVENIDA DE LAS CAMPANAS ,SANTA FE ,NM ,2 
,,,,,ALBUQUERQUE ,NM ,3 
GLEN ,,,,27854 HWY 70 E ,SAN PATRICIO ,NM ,23 
,,,,,ALBUQUERQUE ,NM ,30 
LLC ,,,,500A COUGAR DR ,LOGAN ,NM ,12 
EDWARD ,,,,105 AUTUMN SAGE LN ,CHAPARRAL ,NM ,4 
,,,,,LAS VEGAS ,NV ,55 
LLC ,,,,867 MAHOGANY DRIVE ,MINDEN ,NV ,32 
,,,,,HENDERSON ,NV ,33 
DEVELOPMENT INC ,,,,180 CASSIA WAY SUITE 510 ,HENDERSON ,NV ,20 
,,,,,CARSON CITY ,NV ,16 
,,,,,GARDNERVILLE ,NV ,1 
TACTICAL K-9 & FIREARMS ,,,,4120 EFFINGER LN ,PAHRUMP ,NV ,1 
,,,,,MINDEN ,NV ,152 
,,,,,MCCARRAN ,NV ,40 
,,,,,LAS VEGAS ,NV ,1501 
,,,,,MINDEN ,NV ,387 
KENNETH ,,,,1361 GEOFREY ST ,PAHRUMP ,NV ,6 
,,,,,GARDNERVILLE ,NV ,24 
LLC ,,,,3855 E PATRICK LN UNIT 120-130 ,LAS VEGAS ,NV ,430 
,,,,,LAS VEGAS ,NV ,108 
LLC ,,,,3455 S POLARIS STE 5 ,LAS VEGAS ,NV ,8 
,,,,,HENDERSON ,NV ,4 
,,,,,N LAS VEGAS ,NV ,116 
,,,,2325 MARKET ST ,RENO ,NV ,1 


Table
58501969 ,BLACKBRIAR INC ,
58501479 ,C & R GUN SHOP LTD CO ,444 NIAGARA N E 
58502372 ,CGS SUPPRESSORS ,
58502819 ,COMPOSITE SUPPLIES LLC ,5101 RAE CT NE 
58502148 ,CROOKED HORN ,
58501401 ,G & R GUNS LLC ,
58502501 ,JK GUNSMITHING LLC ,16 ZANJA ROAD 
58502502 ,"MAUCK, WAYNE ",
58501837 ,OMNI ARMS LLC ,11215 CENTRAL AVE NE 
58501474 ,"POWELL, DENNIS ",
58501585 ,"ROY, ROBERT ",5940-A MIDWAY PARK BLVD 
58501546 ,SILENCER TECH ,
58502766 ,"WALKER, CHARLES ",
98800094 ,ARSENAL INC ,4395 W POST RD UNIT 100 
98804219 ,AXELSON TACTICAL ,
98803415 ,BATTLE ARMS DEVELOPMENT INC ,451 E SUNSET RD 
98804820 ,BATTLE ARMS ,
98803103 ,BILLET RIFLE SYSTEMS LLC ,5070 SIGSTROM DR 
98804908 ,"BITTMAN, DONALD JAMES ",961 ARROWHEAD DR 
98805289 ,BLACK WOLF ,
98803399 ,TRAINING LLC CBE INC ,2241 D PARK PLACE 
98801121 ,DESERT ORDNANCE LLC ,300 SYDNEY DRIVE #102 
98802773 ,FIME GROUP LLC ,4395 WEST POST RD UNIT 200 
98804841 ,"FRANKLIN ARMORY, INC. ",2246 PARK PLACE SUITE B 
98804993 ,"GEVAS, MICHAEL ",
98804211 ,GUNS N ARROWS INC ,1321 HWY 395 #A 
98804965 ,IMPACT SPECIALTIES ,
98804341 ,IMPACT SPECIALTIES LLC ,3855 E PATRICK LANE #120-130 
98803253 ,M-13 INDUSTRIES ,
98804972 ,MIG MFG LLC ,1525 SPICED WINE AVE UNIT 17104 
98804742 ,NEW FRONTIER ARMORY LLC ,55 W MAYFLOWER AVE 
98804226 ,RENO GUNS INC ,
,SALIENT ARMS INTERNATIONAL ,6713 S EASTERN AVE 


