Table
RDS KEY ,LICENSE NAME ,SIREET ,CITY ,ST ,MISC FA MFG 
15609063 ,STURM RUGER & COMPANY INC ,271 CARDWELL RD ,MAYODAN ,NC ,8084 
15611464 ,TRAPHILL ENTERPRISES LLC ,972 WOLLETT MILL RD ,BATTLEBORO ,NC ,1 
15610908 ,TURNER ARMAMENT LLC ,1287 RIPKEN DR ,HICKORY ,NC ,12 
15612880 ,"ZRODELTA, LLC ",100 BEIERSDORF DR ,RUTHERFORD COLLEGE ,NC ,104 
34500555 ,NODAK ARMS INC ,601 104TH STREET SE ,MINOT ,ND ,171 
34501059 ,ROUGHRIDER ARMS LLC ,5201 GATEWAY DR UNIT 2 ,GRAND FORKS ,ND ,1 
54701179 ,PERFECT TURNING INC ,218 E THIRD STREET ,KIMBALL ,NE ,1 
54702171 ,SUREFIRE INDUSTRIES LLC ,2600 KIMCO PLACE ,LINCOLN ,NE ,11 
54702100 ,TACTICAL SOLUTIONS GEAR LLC ,2220 N YAGER RD SUITE A ,FREMONT ,NE ,50 
54701663 ,ZERMATT ARMS INC ,100 MONROE ST ,BENNET ,NE ,1659 
60204276 ,2A TACTICAL LLC ,99 TOLEND RD ,BARRINGTON ,NH ,111 
60202008 ,HM MACHINE LLC ,44 VENTURE DRIVE ,DOVER ,NH ,4134 
60203445 ,HMC PRECISION MANUFACTURING LLC ,208 DEAN RD ,DANBURY ,NH ,5 
60201938 ,"HOOK, ANTHONY PAUL ",18 LAMY DR UNIT #5 ,GOFFSTOWN ,NH ,42 
60202715 ,MACPHERSON FIREARMS LLC ,87 ROUTE 27 ,BRENTWOOD ,NH ,225 
60201012 ,MATRIX AEROSPACE CORPORATION ,421 RIVER ROAD ,CLAREMONT ,NH ,1666 
60202981 ,NH GUNS AND AMMO LLC ,130 B ROCKINGHAM RD ,LONDONDERRY ,NH ,2 
60202671 ,"ROBERTS, RAYMOND WALLACE III ",17 HALE RD ,WINCHESTER ,NH ,5 
60201484 ,"STURM, RUGER & COMPANY, INC ",411 SUNAPEE ST ,NEWPORT ,NH ,2 
82201702 ,"COBRA ONE TACTICAL, LLC ",330A RT 46 ,GREAT MEADOWS ,NJ ,11 
82201446 ,FABER PRECISION INC ,198 GREEN POND RD UNIT D ,ROCKAWAY ,NJ ,7 
82201527 ,GSD COATINGS LLC ,2 INDUSTRIAL DR STE G ,KEYPORT ,NJ ,10 
82201393 ,SABRE GLOBAL SERVICES LLC ,94 EAST DEWEY AVE UNIT 3 ,WHARTON ,NJ ,413 
58502642 ,BAD TO THE BONE MUZZLELOADERS AND ACCESSORIES LLC ,885 TROJAN LOOP ,LAS CRUCES ,NM ,9 
58502819 ,COMPOSITE SUPPLIES LLC ,5101 RAE CT NE ,RIO RANCHO ,NM ,5 
98803399 ,CBE INC ,2241 D PARK PLACE ,MINDEN ,NV ,15 
98804841 ,"FRANKLIN ARMORY, INC. ",2246 PARK PLACE SUITE B ,MINDEN ,NV ,23 
98801240 ,KRAMER CARTRIDGE AND CARBINE LLC ,7495 WEST AZURE DR SUITE #240 ,LAS VEGAS ,NV ,5 
98802240 ,NEW FRONTIER ARMORY LLC ,2844 SYNERGY STREET ,NORTH LAS VEGAS ,NV ,5559 
98804314 ,RED ROCK RIFLEWORKS LLC ,101 W BROOKS AVE UNIT K & H ,NORTH LAS VEGAS ,NV ,11 
98803073 ,VEGAS ARMORY LLC ,55 W MAYFLOWER AVE ,NORTH LAS VEGAS ,NV ,9 
98804938 ,VEGAS ORDNANCE DEVELOPMENT LLC ,4676 S VALLEY VIEW BLVD ,LAS VEGAS ,NV ,5 
61602828 ,AX TACTICAL LLC ,4947 COMMERCIAL DR STE 2 ,YORKVILLE ,NY ,95 
61604410 ,BAXTER & SONS ARMORY LTD ,43 NORTH 2ND ST ,ALLEGANY ,NY ,6 
61603144 ,BLUE TUNA GUNSMITHING LLC ,870 ONTARIO ST EXT ,KENMORE ,NY ,275 


