Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOLS 
15611271 ,"BULLINS, ODELL WILLIAM & DENNIS, RAY ",RT 3 HWY 89 & 311 ,WALNUT COVER ,NC ,
15609451 ,ANGSTADT ARMS LLC ,701 E ATANDO AVE ,CHARLOTTE ,NC ,469 
15609063 ,STURM RUGER & COMPANY INC ,271 CARDWELL RD ,MAYODAN ,NC ,1675 
15611854 ,"FLORES, FRIEDRICH MICHAEL CHAVARRIA GONZOLAS ",142 HARVEST MOON DR ,RICHLANDS ,NC ,1 
54701811 ,HATCHER GUN COMPANY LLC ,76650 RD 342 ,ELSIE ,NE ,5 
60202899 ,CARACAL USA LLC ,33 PISCATAQUA DR ,NEWINGTON ,NH ,4 
60201816 ,SIG SAUER INC ,72 PEASE BLVD ,NEWINGTON ,NH ,167851 
60200735 ,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST ,NEWPORT ,NH ,245 
82200698 ,HENRY RAC HOLDING CORP ,59 E 1ST ST ,BAYONNE ,NJ ,720 
61300458 ,KIMBER MFG INC ,1120 SAW MILL RIVER RD ,YONKERS ,NY ,2225 
61601132 ,"AMCHAR WHOLESALE, INC ",100 AIRPARK DR ,ROCHESTER ,NY ,19 
61604450 ,SON OF A GUN LLC ,60 SYRACUSE ST ,BALDWINSVILLE ,NY ,1 
43405924 ,"RONIN DEFENSE FIREARMS, LLC ",7267 FOREST COVE LANE APT C ,NORTHFIELD ,OH ,1 
82502681 ,EVANS MACHINING SERVICE INC ,314 STATE STREET ,CLAIRTON ,PA ,5 
82305930 ,WARWICK TACTICAL LLC ,1917 MCFARLAND DR ,LANDISVILLE ,PA ,7 
82506113 ,CABOT GUN COMPANY LLC ,501 WINFIELD ROAD ,CABOT ,PA ,51 
82307692 ,"PRITTS, WESTON LEE & BURIAN, ANTHONY WILLIAM ",100 W SECOND ST UNIT 7 ,HUMMELSTOWN ,PA ,20 
15703889 ,JACOB GREY FIREARMS LLC ,125A QUEEN PKWY ,WEST COLUMBIA ,SC ,4 
15702581 ,"FN AMERICA, LLC ",797 OLD CLEMSON ROAD ,COLUMBIA ,SC ,2377 
16236907 ,BARRETT FIREARMS MFG INC ,5926 MILLER LANE ,MURFREESBORO ,TN ,6 
16208339 ,BERETTA USA CORP ,1399 GATEWAY DR ,GALLATIN ,TN ,5145 
57409332 ,SW TEXAS SECURITY LLC ,2011 E MAIN ,UVALDE ,TX ,12 
57540601 ,STRAYER VOIGT INC ,71229 INTERSTATE 20 ,GORDON ,TX ,170 
57514406 ,STRAYER-VOIGT LLC ,71229 INTERSTATE 20 ,GORDON ,TX ,81 
57408496 ,STI FIREARMS LLC ,103 HALMAR COVE ,GEORGETOWN ,TX ,1048 
57408497 ,STI FIREARMS LLC ,114 HALMAR COVE ,GEORGETOWN ,TX ,1048 
98703573 ,SILENCERCO LLC ,5511 S 6055 W ,WEST VALLEY CITY ,UT ,
98734724 ,"ZDF IMPORT/EXPORT, LLC ",925 W 100 N SUITE A ,NORTH SALT LAKE ,UT ,1 
98734026 ,NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,24 
98734710 ,TDJ INC ,"550 NORTH CEMETERY ROAD, BUILDING #1 ",GUNNISON ,UT ,2 
15416343 ,"GOODWIN, GEORGE TYLER ",MAIN & FERRY STS PO BOX 356 ,SCOTTSVILLE ,VA ,
15402925 ,"KRISS USA, INC ",912 CORPORATE LANE ,CHESAPEAKE ,VA ,197 
15423672 ,"ZENITH FIREARMS, INC ",10517 CRITZER SHOP RD ,AFTON ,VA ,2 


