RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RIFLE MFG
58437579 ,AWI LLC ,600 OAK AVE ,EATON ,CO ,511
58400433 ,,1419 WOOLSEY HEIGHTS ,COLORADO SPRINGS ,CO ,5
58400531 ,,1523A BIG THOMPSON CANYON RD ,LOVELAND ,CO ,4
60600520 ,COLT DEFENSE LLC ,547 NEW PARK AVE ,WEST HARTFORD ,CT ,2210
60634862 ,CONNECTICUT SHOTGUN MANUFACTURING CO ,100 BURRITT STREET ,NEW BRITAIN ,CT ,4
60636035 ,J L D ENTERPRISES INC ,1451 NEW BRITAIN AVE ,FARMINGTON ,CT ,1636
60600252 ,,100 KENNA DR ,NORTH HAVEN ,CT ,205479
60600449 ,,116A RESEARCH DR ,MILFORD ,CT ,1
60600773 ,0 F MOSSBERG & SONS INC ,7 GRASSO AVE ,NORTH HAVEN ,CT ,27005
60600729 ,STAG ARMS LLC ,515 JOHN DOWNEY DR ,NEW BRITAIN ,CT ,7848
60636056 ,US REPEATING ARMS COMPANY ,344 WINCHESTER AVE ,NEW HAVEN ,CT ,88743
15901343 ,AK-USA MANUFACTURING INC ,3112-1 PALM AVENUE ,FORT MYERS ,FL ,42
15903577 ,ANZIO IRONWORKS CORP ,8222 118 AVE N UNIT 610 ,LARGO ,FL ,65
15943009 ,ANZIO IRONWORKS CORP ,1905 16TH ST N ,SAINT PETERSBURG ,FL ,115
15902938 ,AW TRADING AND INVESTMENTS INC ,6701 PARK BLVD ,PINELLAS PARK ,FL ,5
15939794 ,B & K DIVING SYSTEMS INC ,1328 CLEMENTS WOODS LN ,JACKSONVILLE ,FL ,6
15900115 ,,S WEST 1ST AVE BOX D ,JASPER ,FL ,20
15901002 ,GUN SMOKE ENTERPRISES INC ,506 NE 3RD ST ,0KEECHOBEE ,FL ,12
15940806 ,KEL TEC CNC INDUSTRIES INC ,1475 COX ROAD ,COCOA ,FL ,9561
15940998 ,KNIGHTS MANUFACTURING CO ,701 COLUMBIA BLVD ,TITUSVILLE ,FL ,212
15902094 ,,2005-B MURCOTT DRIVE ,SAINT CLOUD ,FL ,58
15903131 ,,1411 NW 33RD DR ,POMPANO BEACH ,FL ,40
15902132 ,,1556 SOUTH SR53 ,MADISON ,FL ,68
15947048 ,,3112-3 PALM AVE ,FORT MYERS ,FL ,2
15903855 ,SAFETY HARBOR FIREARMS INC ,915 HARBOR LAKE DRIVE UNIT D ,SAFETY HARBOR ,FL ,9
15946787 ,SERBU FIREARMS INC ,6001 JOHNS RD #144 ,TAMPA ,FL ,127
15946669 ,,3761 RECKER HWY ,WINTER HAVEN ,FL ,6
15904524 ,SPIKE'S TACTICAL LLC ,2593 CLARK ST STE 103 ,APOPKA ,FL ,47
15900881 ,,719 WHITE DR ,ALFORD ,FL ,27
15902773 ,,302 MISSOURI AVE ,LYNN HAVEN ,FL ,2
15801213 ,,387 DOUBLE BRIDGE RD ,MOUNT AIRY ,GA ,1
15801567 ,COBB MANUFACTURING INC ,268 CADILLAC PKWY STE 104 ,DALLAS ,GA ,10


