Table
CITY ,ST ,SHOTGUN EXP 
BERRYVILLE ,AR ,29 
PASO ROBLES ,CA ,178 
NORTH HAVEN ,CT ,166 
NEW HAVEN ,CT ,2058 
NORTH HAVEN ,CT ,10296 
TITUSVILLE ,FL ,12 
SUWANEE ,GA ,1 
GARDNER ,MA ,3198 
WESTFIELD ,MA ,82 
ACCOKEEK ,MD ,14 
NEWPORT ,NH ,129 
ILION ,NY ,17399 
EAGLE PASS ,TX ,12497 
OGDEN ,UT ,70 
,,
,,


Table
RDS KEY ,LICENSE NAME 
57134716 ,WILSONS GUN SHOP INC 
97737552 ,WEATHERBY INC 
60600252 ,"MARLIN FIREARMS COMPANY, THE "
60636056 ,US REPEATING ARMS COMPANY 
60600773 ,O F MOSSBERG & SONS INC 
15940998 ,KNIGHTS MANUFACTURING CO 
15840168 ,FATS INC 
60400253 ,"H&R 1871, LLC "
60433152 ,"SAVAGE ARMS, INC "
85207699 ,BERETTA U S A CORPORATION 
60201484 ,"STURM, RUGER & COMPANY, INC "
61600727 ,REMINGTON ARMS CO INC 
57434208 ,"MAVERICK ARMS, INC "
98734761 ,"SHADOW VALLEY ARMS CO, LLC "


