Table
RDS KEY ,LICENSE NAME ,STREEI ,CITY ,ST ,MISC FA MFG
61101081 ,DARK STORM INDUSTRIES LLC ,4116 AND 4122 SUNRISE HIGHWAY ,0AKDALE ,NY ,1045
61603781 ,FIREPOWER INDUSTRY LLC ,999 UPPER MOUNTAIN RD ,LEWISTON ,NY ,1
61402045 ,HEMMALAH INCORPORATED ,834 MOUNTAIN RD ,PORT JERVIS ,NY ,10
61100308 ,LRB OF LONG ISLAND INC ,96 CHERRY LANE ,FLORAL PARK ,NY ,20
61603465 ,PERFORMANCE PAINTBALL INC ,1250 SCOTTSVILLE RD SUITE 30A ,ROCHESTER ,NY ,10
61602475 ,REMINGTON ARMS COMPANY LLC ,14 HOEFLER AVE ,ILION ,NY ,820
43404636 ,AMERICAN MUSKET'S LLC ,7250 COMMERCE DRIVE UNIT K ,MENTOR ,0H ,1
43105124 ,"ANDERSON, BARRY ",146 CHAPEL RD ,AMELIA ,0H ,1
43403691 ,AQUA GRAPHIX LLC ,3829 HAMILTON AVE STE 200 ,CLEVELAND ,0H ,413
43404791 ,ARTEMIS ARMS LLC ,50 JACKSON ST ,PORT CLINTON ,0H ,17
43404950 ,BDSI INC ,12117 BEREA RD ,CLEVELAND ,0H ,117
43104897 ,CQMD LLC ,2766 LYNDLEY CT ,HILLIARD ,0H ,20
43404700 ,DARK TOWER LLC ,5940 CEDAR POINT RD ,0REGON ,0H ,4
43104590 ,DECK TEK ARMS LLC ,3309 WYOMING DR ,XENIA ,0H ,5
43106635 ,FAXON FIREARMS LLC ,11101 ADWOOD DR ,CINCINNATI ,0H ,16
43405385 ,JLV PRODUCTIONS LLC ,106 W 58TH ST ,ASHTABULA ,0H ,4
43405676 ,KCIN ARMS LLC ,2151 ATKINS AVENUE ,LAKEWOOD ,0H ,29
43401968 ,"KMP CLASSIC ARMS, INC ",556 CALDWELL AVE ,MANSFIELD ,0H ,104
43104596 ,PRECISION DEFENSE LLC ,1858 CEDAR HILL RD ,LANCASTER ,0H ,17
43103816 ,PRECISION REFLEX INC ,710 STREINE DR ,NEW BREMEN ,0H ,22
43104418 ,STEALTH ARMS LLC ,4930 KITTLE RD ,CELINA ,0H ,1
43405567 ,TOP TIER ARMAMENT LLC ,2196 ALLENTOWN ROAD ,LIMA ,0H ,1
43404591 ,TWISTED RIVER TACTICAL LLC ,4564 ROHRDALE AVE NW ,CANAL FULTON ,0H ,48
57306485 ,ADVANCED COMBAT LLC ,4753 S UNION AVE ,TULSA ,0K ,454
57304684 ,CAIN AND ABEL ENTERPRISES LLC ,9950- C E 55TH PLACE ,TULSA ,0K ,8
57305617 ,GENERAL PRODUCTS & SERVICES LLC ,107 E MAIN ST ,WESTVILLE ,0K ,13
57304721 ,HAILEY ORDNANCE COMPANY ,1661 EXCHANGE AVE ,0KLAHOMA CITY ,0K ,24
57306929 ,"JERCZYNSKA, SYLWIA MARIA ",1310 SEQUOYAH AVE ,MOORE ,0K ,1
57306448 ,RED ROCK FIREARMS LLC ,6226 E LAKE HELLUMS RD ,ENID ,0K ,60
57304976 ,RISE ARMAMENT LLC ,1605 E IOLA ST ,BROKEN ARROW ,0K ,556
57306883 ,SMITH PRECISION RIFLES LLC ,1201 STATE HIGHWAY 9A ,EUFAULA ,0K ,7
57305924 ,STRATEGIC ARMORY CORPS LLC ,48955 MOCCASIN TRAIL RD ,PRAGUE ,0K ,1
57305225 ,TAPE MATICS INC ,1539 INDUSTRIAL LN ,TISHOMINGO ,0K ,682
57306380 ,TULSA TACTICAL LLC ,25185 S HACKAMORE RD W ,CLAREMORE ,0K ,8
57306647 ,UF ENTERPRISES LLC ,1509 VAIL DR ,EDMOND ,0K ,2


