Table
,,STREET ,CITY ,ST ,RIFLE MFG
INCORPORATED ,,1025 A ORTEGA WAY / 1005 ORTEGA WAY ,PLACENTIA ,CA ,2075
JOHN ,,3222 N DEMAREE ST STE D ,VISALIA ,CA ,1
ENTERPRISES LLC ,,15748 CHELMSFORD CIRCLE ,TRUCKEE ,CA ,11
,,12210 MICHIGAN ST STE H ,GRAND TERRACE ,CA ,13
SPORTS INC ,,1160 LOZANOS RD ,NEWCASTLE ,CA ,49
"TACTICAL, LLC ",,7190 MIRAMAR RD #115 ,SAN DIEGO ,CA ,30
"ACCESSORIES, INC ",,11324 GREENWOOD WAY ,0NTARIO ,CA ,9
SUPPLY LLC ,,2558 B OLD FIRST ST ,LIVERMORE ,CA ,8
SCOTT ,,277 PEBBLE BEACH DR ,BRENTWOOD ,CA ,1
,,12260 CROSTHWAITE CIR ,POWAY ,CA ,1
LLC ,,15810 CAJON BLVD ,SAN BERNARDINO ,CA ,4
"FIREARMS, INC ",,1063 BROOKHAVEN DR #107 ,CLOVIS ,CA ,6
INC ,,330 N LANTANA ST #1025 ,CAMARILLO ,CA ,19
TERRY ,,8744 WOODLAND HEIGHTS LN ,SALINAS ,CA ,8
SHOP LLC ,,14158 LAMBERT ROAD ,WHITTIER ,CA ,5
JOHN ,,82 WEST PALO ALTO AVE ,CLOVIS ,CA ,1
,,3016 MILDRED LANE ,BAKERSFIELD ,CA ,23
DANIEL ,,3501 REDWOOD DR ,REDWAY ,CA ,17
SCOTT ,,13607 E SHEPHERD AVE ,CLOVIS ,CA ,1
INC ,,15979 S PIUMA AVE ,CERRITOS ,CA ,4
CORP ,,5785 THORNWOOD DR ,GOLETA ,CA ,24
,,664 BROOKLINE PL ,FULLERTON ,CA ,1
,,7256 GARDEN GROVE BLVD ,WESTMINSTER ,CA ,66
LLC ,,2500 HUNSAKER DR #C ,RUNNING SPRINGS ,CA ,3
GROUP INC ,,16755 VON KARMAN AVE SUITE 200 ,IRVINE ,CA ,3
"FELIPE & STRICKROTH, DAVID ",,40 N CENTRAL AVE ,UPLAND ,CA ,4
,,5200 WHEELER CANYON RD ,SANTA PAULA ,CA ,7
TODD ,,1984 NATIONAL AVE ,HAYWARD ,CA ,9
,,16371 GOTHARD ST UNIT G ,HUNTINGTON BEACH ,CA ,18
,,3476 SHASTA DR ,ANDERSON ,CA ,25
MICHAEL WAYNE ,,2541 LARKSPUR LANE ,REDDING ,CA ,9
CORP ,,1408 N CARPENTER RD STE 1 ,MODESTO ,CA ,8


