Table
RDS KEY ,LICENSE NAME ,STREETI ,CITY ,ST ,MISC FA MFG
54204205 ,"MAN O' WAR PRECISION ARM, LLC ",12403 M AVE ,PERRY ,IA ,13
54203954 ,MCF CUSTOM FIREARMS LLC ,526 CLOVER CIR ,FREDERICKSBURG ,IA ,16
54204389 ,TMC TECHNOLOGIES LLC ,2047 INDUSTRIAL PARK ROAD ,CARROLL ,IA ,50
54204537 ,VOLQUARTSEN FIREARMS INC ,24276 240TH STREET ,CARROLL ,IA ,199
98201444 ,2A ARMAMENT LLC ,7545 S. EISENMAN RD ,BOISE ,ID ,656
98203265 ,AXIAL PRECISON LLC ,94 E 49TH ST STE D ,GARDEN CITY ,ID ,1
98203175 ,"COLLINS, KENNETH LEE ",504 PORPHYRY STREET ,SALMON ,ID ,2
98203463 ,"FECHER, BLAKE HENRY ",6306 SOUTH PAPER BIRCH ,BOISE ,ID ,27
98202826 ,G-TECH DEFENSE LLC ,136 S STATE ST ,SHELLEY ,ID ,9
98203216 ,LETHAL DUCK FIREARMS LLC ,445 LIBERTY LANE SUITE #5 ,JEROME ,ID ,6
98202586 ,LONE WOLF R&D LLC ,106 SHANNON LN STE B ,PRIEST RIVER ,ID ,1403
98202583 ,METAL CRAFT MANUFACTURING LLC ,1251 N MIDLAND BLVD ,NAMPA ,ID ,7
98202543 ,SEEKINS PRECISION LLC ,159 AMERICAN WAY ,LEWISTON ,ID ,1285
98200569 ,TACTICAL INNOVATIONS INC ,345 SUNRISE RD ,BONNERS FERRY ,ID ,354
98202164 ,TACTICAL SOLUTIONS INC ,2772 S VICTORY VIEW WAY ,BOISE ,ID ,1681
98203050 ,WILKINSON ARMS LLC ,14754 MURPHY FLAT ROAD ,MURPHY ,ID ,1
33705374 ,"CAVANAH, JOHN EDWARD ",1856 E 100 N RD ,BEECHER CITY ,IL ,1
33703779 ,DECO MANUFACTURING COMPANY ,5054 CUNDIFF CT ,DECATUR ,IL ,1
33602009 ,DS ARMS INC ,985 LIVELY BLVD ,ELK GROVE VILLAGE ,IL ,294
33637390 ,DS ARMS INC ,27990/27996 W INDUSTRIAL AVE ,LAKE BARRINGTON ,IL ,1325
33603644 ,IMPERIAL ARMS CO ,8176 OLD RIDGE RD ,PLAINFIELD ,IL ,23
33637243 ,LEWIS MACHINE & TOOL CO ,1305 W 11TH ST ,MILAN ,IL ,2585
33604340 ,"PAWLOWSKI, MATTHEW ALAN ",9520 PAULING RD ,MONEE ,IL ,15
33605213 ,STRATEGIC ARMORY CORPS LLC ,745 HANFORD ST ,GENESEO ,IL ,95
43505109 ,BCI DEFENSE LLC ,545 N BOWEN AVE ,BREMEN ,IN ,1632
43506696 ,BOBCAT ARMAMENT & MANUFACTURING LLC ,1640-A EAST STATE ROAD 44 ,SHELBYVILLE ,IN ,8
43505665 ,BURBET IMPORTS ,PO BOX 1683 ,HIGHLAND ,IN ,
43505002 ,DEPUTY BIG SHOT LLC ,10214 W DEPUTY PIKE RD ,DEPUTY ,IN ,13
43507290 ,FOSTECH INC ,320 MYERS STREET ,SEYMOUR ,IN ,1288
43508097 ,HAVERKAMP PRECISION LLC ,4850 N 13TH ST ,TERRE HAUTE ,IN ,8
43504670 ,WARRIOR ARMS LLC ,389 E US HWY 30 ,VALPARAISO ,IN ,44
54804345 ,"CARTY, TIMOTHY ALLEN ",1905 HIGHWAY #75 ,BURLINGTON ,KS ,1
54803746 ,"CORBET, WILLIAM A JR ",1304 LAWRENCE AVE ,LEAVENWORTH ,KS ,2
54804005 ,FREE STATE ARMAMENT LLC ,108 MAIN STREET ,0ZAWKIE ,KS ,4
54804546 ,GRIMM FIREARMS LLC ,200 N 2ND ST ,LEAVENWORTH ,KS ,1


