Table
RDS KEY ,LICENSE NAME ,STREETI ,CITY ,ST ,MISC FA MFG
33909358 ,11 BRAVO GUNSMITHING AND FIREARMS LLC ,W11067 DEER RUN DR ,LODI ,WI ,1
33908009 ,BADGER STATE ORDNANCE LLC ,17 1/2 WILSON AVE ,WESTON ,WI ,2
33908953 ,HIGH VOLTAGE CUSTOM LLC ,417 E ROSENLUND ST ,WOODVILLE ,WI ,1
33909004 ,JBF INDUSTRIES LLC ,W1389 TEN EYCK ROAD ,BRODHEAD ,WI ,15
33909285 ,MUKWA TACTICAL LLC ,N3341 EBERT ROAD ,NEW LONDON ,WI ,4
33906684 ,0EM TECHNOLOGIES LLC ,2927 ROEMER RD ,APPLETON ,WI ,3
33908485 ,ROARING CREEK ARMS LLC ,W11235 SPAULDING RD ,BLACK RIVER FALLS ,WI ,33
33905169 ,ROTH CONCEPT INNOVATIONS LLC ,N9652 HIGHLINE RD UNIT NM ,KAUKAUNA ,WI ,58
33904639 ,SCOTSMAN ARMS LLC ,320 PUTNAM STREET SUITE 7 ,EAU CLAIRE ,WI ,109
33907761 ,TRIPWIRE WEAPON SYSTEMS LLC ,W9076 HWY A ,DELAVAN ,WI ,1
33907955 ,TYCOR DEFENSE MANUFACTURING LLC ,6643 W SPOKANE ST ,MILWAUKEE ,WI ,34
33907594 ,WORKS ARMAMENT LLC ,1 TAUNTON CIRCLE ,MADISON ,WI ,14
45503901 ,FOLEY DEFENSE LLC ,2563 RITTER DR ,SHADY SPRING ,WV ,5
45503183 ,HARPERS FERRY ARMORY INC ,301 N MILDRED ST ,RANSON ,WV ,36
45502891 ,"HOSTETTER, MARK A ",74 DUPONT RD SUITE A ,MARTINSBURG ,WV ,123
45502547 ,J W MANUFACTURING LLC ,703 MIDDLETOWN RD ,FAIRMONT ,WV ,309
45503844 ,MOUNTAINEER ARMORY LLC ,559 STANAFORD RD ,BECKLEY ,WV ,110
45502425 ,"SNYDER, KURT DWAYNE ",128 OLEN AVE ,PRINCETON ,WV ,11
58302003 ,"EPPLER, DANIEL JAMES ",118 TWO VALLEY ROAD ,RIVERTON ,WY ,6
58300591 ,GUNWERKS LLC ,2301 LIEUTENANT CHILDERS ST ,CODY ,WY ,146
58301302 ,PERFORMANCE OIL TOOLS INC ,3420 BIG HORN AVE ,CODY ,WY ,7
58301472 ,WYO ARMS LLC ,6503 CROSSBOW TRAIL ,CHEYENNE ,WY ,15


