Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,SHOTGUN MEG
57507235 ,TACTICAL PROFESSIONALS INC ,35100 N STATE HWY 108 ,MINGUS ,TX ,2
57408906 ,THE ARMORY OF VICTORIA LLC ,3001 N NAVARRO ST ,VICTORIA ,TX ,70
57408451 ,WRIGHT METAL FINISHING LLC ,106 WILDWOOD RANCH ROAD ,ADKINS ,TX ,4
98702757 ,F5 DEFENSE INC ,1280 WEST 300 SOUTH ,LINDON ,UT ,8
98702747 ,0SS SUPPRESSORS LLC ,280 W CENTRAL AVE ,MILLCREEK ,UT ,2
98703127 ,"SEELY, JORDAN JAMES ",3194 NORTH MOUNTAINVILLE RD ,MOUNT PLEASANT ,UT ,2
98703573 ,SILENCERCO LLC ,5511 S 6055 W ,WEST VALLEY CITY ,UT ,
98701886 ,SUB MOA FIREARMS LLC ,1669 NW HENEFER ROAD ,HENEFER ,UT ,1
98701861 ,WASATCH ARMS LLC ,286 EAST EAGLERIDGE DR ,NORTH SALT LAKE ,UT ,1
15417776 ,BATTLEWARE TECHNOLOGIES INC ,11263 AIRPARK RD BLDG B4 ,ASHLAND ,VA ,1
15416108 ,E GIUFFRE INC ,400 GREYSTONE DR ,WIRTZ ,VA ,2
15416343 ,"GOODWIN, GEORGE TYLER ",MAIN & FERRY STS PO BOX 356 ,SCOTTSVILLE ,VA ,
15424121 ,"MCQUILLEN, GARY ELWOOD ",7535 GUINEA ROAD ,HAYES ,VA ,1
15414812 ,SSG NFA 2 INC ,610 WESTWOOD OFFICE PARK ,FREDERICKSBURG ,VA ,1
15406989 ,STERLING ARSENAL WORKS & TACTICAL SUPPLY LLC ,201 DAVIS DRIVE UNIT FF ,STERLING ,VA ,2
15424177 ,"SUMMERS, BRIAN PAUL SR ",3114 BRADFORD WOOD CT ,0AKTON ,VA ,1
15407323 ,VERTU CORP ,680C INDUSTRIAL RD ,WARRENTON ,VA ,100
99107167 ,E M INDUSTRIES LLC ,22427 92ND ST E ,BUCKLEY ,WA ,1
99104284 ,LJUTIC LLC ,2401 W J STREET STE A ,YAKIMA ,WA ,12
33906480 ,"BACON, FRANK LOUIS JR ",143101 CR FF ,MERRILL ,WI ,1
33901982 ,GARY'S GUNS INC ,W 226 N 1455 NORTH AVENUE ,WAUKESHA ,WI ,2
33903022 ,HENRY WISCONSIN LLC ,107 W COLEMAN ,RICE LAKE ,WI ,14439
33905169 ,ROTH CONCEPT INNOVATIONS LLC ,N9652 HIGHLINE RD UNIT NM ,KAUKAUNA ,WI ,8
33906931 ,U S COMPETITION ARMS INC ,1925 ROOSEVELT AVE ,RACINE ,WI ,109
33909606 ,VIKING ARMS INC ,5424 W 6MILE RD HWY G ,CALEDONIA ,WI ,1
33907594 ,WORKS ARMAMENT LLC ,1 TAUNTON CIRCLE ,MADISON ,WI ,1
45502685 ,THE CUSTOM GUN SHOP LLC ,5649 GEORGETOWN RD ,HORNER ,WV ,2
58301081 ,BEST OF THE WEST PRODUCTIONS LLC ,115 W YELLOWSTONE AVE ,CODY ,WY ,6
58301112 ,"LAW, RICK J ",5203 RAVEN STREET ,GILLETTE ,WY ,1
58301479 ,"WHITE, NICOLAS R & JENNIFER ANN ",411 PALOMINO ,BEAR RIVER ,WY ,1


