Table
,,STREET ,CITY ,ST ,RIFLE MFG 
,,3014 CAPE BLANCO ,MISSOURI CITY ,TX ,1 
PRECISION RIFLES LLC ,,1602 LA VALLIERE ST ,VICTORIA ,TX ,13 
,,LOOP 289 ,LUBBOCK ,TX ,4 
LLC ,,401 BALL AIRPORT ROAD ,VICTORIA ,TX ,20 
,,RANCIER AVE ,KILLEEN ,TX ,9 
COMPUTERS LLC ,,6415 FM 2920 STE 6415 ,SPRING ,TX ,110 
,,7680 N US HWY 69 ,ALBA ,TX ,1 
JAY BYRON ,,168 CR3672 ,SPRINGTOWN ,TX ,1 
,,HAYDEN RANCH RD ,FREDERICKSBURG ,TX ,2 
CY ,,11740 THOUSAND PINES CIRCLE ,FRANKSTON ,TX ,1 
,,FM 1541 ,AMARILLO ,TX ,3 
,,FRISCO AVE ,MENARD ,TX ,6 
,,LOOP 410 ,SAN ANTONIO ,TX ,11 
LLC ,,1407 VANDER WILT LN ,KATY ,TX ,25 
,,4196D ,HENDERSON ,TX ,3 
A ,,7502 BRYAN LANE ,MONTGOMERY ,TX ,6 
,,WHEATLEY ST ,HOUSTON ,TX ,5 
,,17711 WEST STRACK DRIVE ,SPRING ,"SELECTED, TX ",2 
,,AMESBURY CT ,SOUTHLAKE ,TX ,2 
,,ST ,HOUSTON ,TX ,1 
,,1506 SE 10TH STREET ,AMARILLO ,TX ,43 
,,MAIN #3B ,BAYTOWN ,TX ,36 
,,1960 STE 3 ,HUMBLE ,TX ,4 
LLC ,,2028 FARRINGTON ST ,DALLAS ,TX ,15 
LLC ,,26 LOU STROUP DRIVE ,UVALDE ,TX ,1 
,,2920 RD ,SPRING ,TX ,601 
WEAPONS SYSTEMS LLC ,,1051 MEADOW WEST DR ,EL PASO ,TX ,8 
,,RUNNEBURG RD ,CROSBY ,TX ,21 
,,612 S. FRAZIER ST ,CONROE ,TX ,2 
,,1701 OSPREY CT ,CORINTH ,TX ,2 
,,MITCHELLDALE DR STE F22 ,HOUSTON ,TX ,4 
,,22075 ADAMS ST ,PORTER ,TX ,42 


Table
57408922 ,CROSSROADS ,,,,
57511821 ,CSJB HOLDINGS INC ,521 NE ,,,
57409217 ,CSR INDUSTRIES ,,,,
57407994 ,CUSTOM DEFENSE FIREARMS LLC ,1911 E ,,,
57603079 ,CUSTOM DESIGNED ,,,,
57513839 ,CUSTOM SHOP LLC N ,HWY ,,69 ,
57508352 ,"DANIELSON, MITCHELL ",,,,
57403973 ,DAVID WHITING ,2843 ,,,
57513882 ,"DICKERSON, DAVID ",,,,
57512497 ,"DOBBINS, RICHARD, PAULA; KALEM ",14465 ,,S ,
57513657 ,DROPPIN BRASS LLC ,104 A ,,,
57406445 ,DURY'S GUN SHOP INC ,1039 ,,NE ,
57605664 ,DYNAMIC MUNITIONS ,,,,
57514096 ,EAST TEXAS MACHINING & MANUFACTURING LLC ,13864 ,,CR ,
57602760 ,"EISEMAN, BARNEY ",,,,
57606118 ,"ELLIS, JAMES THEDFORD III & ANDERSON, NICAH NISSAN ",5656 ,,,
57604669 ,EMPTY SHELL LLC ,,,,
57510959 ,ENR ENTERPRISES LLC ,1907 ,,,
57605418 ,EO'S VENTURES LLC ,830 W ,,,14TH 
57509739 ,ERWIN PAWN INC ,,,,
57602230 ,ESG GUNWORKS LLC ,3000 N ,,,
57605642 ,EVERYMAN TACTICAL LLC ,2115 ,,FM ,
57505240 ,EXECUTIVE ARMAMENT ,,,,
57409889 ,EXILE FIREARMS ,,,,
57604022 ,F-1 FIREARMS LLC ,5045 ,,FM ,
57407295 ,FIRE 4 EFFECT ,,,,
57605981 ,"FLETCHER, CHRISTOPHER JORDAN ",3431 ,,,
57603467 ,"FORD, SHANNON L ",,,,
57512962 ,"FURR, TONY MARTIN ",,,,
57606124 ,G ABREGO INVESTMENTS ,5200 ,,,
,,,,,


