Table
,,,STREET ,CITY ,ST ,RIFLE MFG
,,,,,0R ,20
,,,201 SE 10TH ST ,GRANTS PASS ,0R ,3
,,,,,0R ,5
,,,875 NE KINGWOOD AVE ,REDMOND ,0R ,84
,,,1851 CORDON RD SE ,SALEM ,0R ,179
,,,16187 MEADOWS RD ,WHITE CITY ,0R ,5
,,,801 SE NYE AVE ,PENDLETON ,0R ,18
,,,,POINT ,0R ,4
SYSTEMS ,,,1090 HEMLOCK ST ,ELGIN ,0R ,38
,,,,,0R ,4
,,,,,0R ,1
,,,1611 SW FIRST ST UNIT A ,REDMOND ,0R ,52
,,,667 DEER VALLEY LANE ,COTTAGE GROVE ,0R ,10
LLC ,,,147 W OREGON AVE ,CRESWELL ,0R ,30
,,,450 CALIFORNIA AVE ,GRANTS PASS ,0R ,2
,,,,,0R ,16
"SOLUTIONS, LLC ",,,9575 SW BEAVERTON-HILLSDALE HWY SUITE #100 ,BEAVERTON ,0R ,30
,,,,,0R ,5
,,,90849 LALONE RD ,SPRINGFIELD ,0R ,6
,,,,,0R ,239
,,,2115 SW 6TH STREET ,REDMOND ,0R ,583
,,,594 NE E ST ,GRANTS PASS ,0R ,982
,,,,,0R ,4
,,,,,0R ,20
,,,3395 48TH AVE NE ,SALEM ,0R ,115
,,,2460 HARVEST LANE ,SPRINGFIELD ,0R ,26
LLC ,,,5637 SW HARVEST AVE ,REDMOND ,0R ,13
PARTNERSHIP ,,,11225 YOUNGBERG HILL RD ,MCMINNVILLE ,0R ,15
,,,5590 SW 195TH AVE ,BEAVERTON ,0R ,1
LLC ,,,1144 WILDERVILLE LN ,GRANTS PASS ,0R ,34
,,,484 PLEASANT VALLEY RD ,MERLIN ,0R ,15
,,,725 BRIDGE ST ,VERNONIA ,0R ,2
,,,,,0R ,1062


Table
99305793 ,1000 SUNNY LLC ,23515 SW ELDERBERRY LANE ,,WEST ,,LINN
99304223 ,A-TEAM ARMS LLC ,,,,,
99305934 ,AVANT GARDE MEDIA LLC ,21088 S HWY 211 SUITE D ,,,COLTON ,
99305785 ,AXTS INC ,,,,,
99302497 ,AXTS INC ,,,,,
99303808 ,B N B ARMORY LLC ,,,,,
99304543 ,BLAGG RIFLES LLC ,,,,,
99304480 ,BUEHLER CUSTOM SPORTING ARMS LLC ,"4706 TABLE ROCK ROAD, UNIT F ",,,CENTRAL ,
99301526 ,CALICO LIGHT WEAPON ,,,,,
99305410 ,COAST TO COAST PRECISION LLC ,370 SW NEWTON DR ,,,WALDPORT ,
99304401 ,COLD BARREL PRECISION FIREARMS LLC ,1335 KYLE ST ,,,MEDFORD ,
99303685 ,COLFAX TACTICAL LLC ,,,,,
99305826 ,ELKHORN TRAIL RIFLES LLC ,,,,,
99303182 ,EMERALD VALLEY ARMORY ,,,,,
99305548 ,EPS MACHINING LLC ,,,,,
99304642 ,ERATHR3 LLC ,484 PLEASANT VALLEY ROAD ,,,MERLIN ,
99304356 ,GREYHOUND TACTICAL ,,,,,
99303579 ,HELLER ENTERPRISES TACTICAL INC ,504 MILTON WAY ,ST ,,HELENS ,
99305211 ,JOHNSON CUSTOMS LLC ,,,,,
99304063 ,"MOA RIFLES, LLC ",2606 SW 4TH STREET SUITE B ,,,REDMOND ,
99301142 ,"NOSLER, INC ",,,,,
99301001 ,NOVESKE RIFLEWORKS LLC ,,,,,
99305280 ,0RCO GUNWORKS LLC ,138 N WASSON ST ,,,COOS ,BAY
99305420 ,0REGON GUN COMPANY LLC ,17843 SE MCLOUGHLIN BLVD STE 1 ,,,MILWAUKIE ,
99303209 ,PACIFIC TRADING GROUP LLC ,,,,,
99304160 ,PIONEER GUN WORKS INC ,,,,,
99305908 ,PRECISE RIFLE SOLUTIONS ,,,,,
99304043 ,R&J FIREARMS LIMITED ,,,,,
99303260 ,"RHEINSCHMIDT MFG, LLC ",,,,,
99305698 ,SASQUATCH FIREARMS CO ,,,,,
99304128 ,SMOS ARMS INC ,,,,,
99304489 ,SUPERM ENTERPRISES LLC ,,,,,
99337182 ,TNW FIREARMS INC ,55325 TIMBER RD ,,,VERNONIA ,


