Table
,STREET ,CITY ,ST ,RIFLE MFG
JAMES C JR ,215 W 434 ,LONGWOOD ,FL ,2
ARMS LLC ,123 N ORCHARD ST BLDG 6 UNIT C ,0RMOND BEACH ,FL ,7
TACTICAL & FIREARMS LLC ,8311 TAVIRA ST ,NAVARRE ,FL ,4
JENKINS LLC ,977 18TH AVE SW ,VERO BEACH ,FL ,6
OUTBREAK LLC ,2200 FORSYTH RD UNIT 110 ,0RLANDO ,FL ,2
OPERATIONS INC ,2150 34TH WAY NORTH SUITE A ,LARGO ,FL ,8
LLC ,5790 HIGHWAY 4 ,BAKER ,FL ,40
CENTER TAMPA LLC ,2550 LAND O LAKES BLVD UNIT 194 ,LAND O LAKES ,FL ,1
LLC ,4747 SW 45TH STREET ,DAVIE ,FL ,10
LLC ,10705 SW 216TH ST UNIT 215 ,MIAMI ,FL ,15
FIREARMS LLC ,3400 GRISSOM PKWY ,COCOA ,FL ,46593
ASSOCIATES INC ,1130 19TH STREET ,VERO BEACH ,FL ,4
CUSTOM TACTICAL LLC ,925 WALKER RD ,WILDWOOD ,FL ,3
LLC ,863 PIERCE RD ,WAUCHULA ,FL ,5
RIFLES INC ,6684 COLUMBIA PARK DR S ,JACKSONVILLE ,FL ,7
,18210 PAULSON DR UNIT B6 ,PORT CHARLOTTE ,FL ,26
FIREARMS ACADEMY LLC ,13317 W HILLSBOROUGH AVE ,TAMPA ,FL ,14
FIRST MANUFACTURING LLC ,3309 CITATION DR ,GREEN COVE SPRINGS ,FL ,3
STEPHEN ANTHONY ,18829 COUNTY ROAD 455 ,FERNDALE ,FL ,3
PRECISION ARMS LLC ,23016 NW 142ND AVE ,HIGH SPRINGS ,FL ,1
LLC ,6690 COLUMBIA PARK DR STE 2 ,JACKSONVILLE ,FL ,21
ARMORY LLC ,4851 NW 103RD AVE SUITE 49 ,SUNRISE ,FL ,4
OUTDOORS INC ,4600 W HIGHWAY 326 ,0CALA ,FL ,2021
,5570 FLORIDA MINING BLVD S STE 106 ,JACKSONVILLE ,FL ,22
ARMAMENT LLC ,102 PABLO POINT DRIVE ,JACKSONVILLE ,FL ,1
PRECISION RIFLE COMPANY INC ,121 TRIPLE DIAMOND BLVD #14 ,NORTH VENICE ,FL ,12
,295 NORTH DRIVE SUITE A ,MELBOURNE ,FL ,7343
TRUST LLC ,5625 YOUNGQUIST RD UNIT 1 ,FORT MYERS ,FL ,371
CORP ,18825 SAKERA RD ,HUDSON ,FL ,2
BEARING E SUP INC ,PO BOX 311 201 6TH ST SW ,WINTER HAVEN ,FL ,
CLARK LLC ,24896 77TH ROAD ,0 BRIEN ,FL ,1
LLC ,2509 TURKEY CREEK RD STE #1 ,PLANT CITY ,FL ,4
MARK AUGUSTUS ,2523 PALMETTO RD ,MOUNT DORA ,FL ,10


