Table
RDS KEY ,LICENSE NAME ,SIREET ,CITY ,ST ,MISC FA MFG
15932806 ,RAFAL DEFENSE INC ,6427 MILNER BLVD #5 ,0RLANDO ,FL ,77
15930839 ,RANGER PROOF ARMS LLC ,10781 75TH STREET N ,SEMINOLE ,FL ,1
15903855 ,SAFETY HARBOR FIREARMS INC ,985 HARBOR LAKE DR UNIT 14 ,SAFETY HARBOR ,FL ,99
15931718 ,SHADOW SOLUTIONS LLC ,1711 DALE MABRY HWY ,LUTZ ,FL ,5
15949272 ,SJV LIMITED INC ,4429 GARRISON RD ,PANAMA CITY ,FL ,45
15950403 ,SOL INVICTUS ARMS LLC ,305 NORTH DR STE D-H ,MELBOURNE ,FL ,7
15913173 ,SPECIAL OPS TACTICAL LLC ,655 GEM COMMERCE COURT ,APOPKA ,FL ,210
15918611 ,SPECIAL TOOL SOLUTIONS INC ,11699 CAMDEN ROAD ,JACKSONVILLE ,FL ,141
15904524 ,SPIKE'S TACTICAL LLC ,2036 APEX COURT ,APOPKA ,FL ,77551
15948923 ,SUNCOAST WEAPONS AND TACTICAL LLC ,787 COMMERCE DR UNIT 11 ,VENICE ,FL ,16
15908014 ,"TACTICAL MACHINING, LLC ",1241 BISCAYNE BLVD ,DELAND ,FL ,34211
15911971 ,TACTICAL SUPERIORITY INC ,305 NORTH DRIVE SUITE D-H ,MELBOURNE ,FL ,418
15931318 ,"THOMPSON, DWAIN U ",3200 CAVERNS ROAD ,MARIANNA ,FL ,65
15915928 ,VENICE AUTO MARINE INC ,331 CAMION ST ,VENICE ,FL ,8
15905974 ,"WARREN, ROBERT WAYNE ",2236 WARREN WOODS LN ,COTTONDALE ,FL ,2
15951455 ,ZAVIAR LLC ,235 W MARVIN AVE ,LONGWOOD ,FL ,6
15808613 ,CAMP CREEK GUNWORKS LLC ,3467 COLLEGE ST ,COLLEGE PARK ,GA ,1
15808273 ,COUNTRY BOY ENTERPRISES INC ,783 CAUDELL RD ,HOMER ,GA ,325
15813136 ,DANIEL DEFENSE INC ,1334 ORACAL PARKWAY ,BLACK CREEK ,GA ,40
15810028 ,DASAN USA INC ,2400 MAIN ST ,DULUTH ,GA ,2638
15812064 ,DAWN OF DEFENSE LLC ,1462 CROSS ST ,FORT OGLETHORPE ,GA ,42
15806454 ,DEFENSE RESEARCH & DEVELOPMENT LLC ,268 CADILLAC PKWY STE 104 ,DALLAS ,GA ,118
15813975 ,"DOSS, JUSTIN BLAIR ",110 PINELAND DR ,RINCON ,GA ,35
15812721 ,EAGLE OUTFITTERS LLC ,4181 EMERALD SPRINGS CT SE ,ACWORTH ,GA ,12
15805425 ,GT VIRTUAL CONCEPTS LLC ,535 PINE RD STE 205 ,NEWNAN ,GA ,13
15812006 ,HYDROSHOCK CUSTOM GRAFIX LLC ,636-C S OLD BELAIR RD ,GROVETOWN ,GA ,2
15813122 ,MAC DEFENSE INDUSTRIES LLC ,519 CHEROKEE MILLS DR ,WOODSTOCK ,GA ,1
15808331 ,THE OUTPOST ARMORY LLC ,2002 EMA DELL PL ,LOGANVILLE ,GA ,5
15804927 ,"WALKER TOOL & MFG, INC ",1300 ROSS RD ,SHADY DALE ,GA ,11
54201728 ,BROWNELLS INC ,200 S FRONT ST ,MONTEZUMA ,IA ,13870
54203111 ,"CHELGREN, JANET LEE ",398 W 230TH STREET ,BLOOMFIELD ,IA ,12
54203229 ,CREATIVE ARMS LLC ,1430 EAST FLEMING AVE ,DES MOINES ,IA ,37
54200689 ,JARD INC ,3149 NEST AVE ,SHELDON ,IA ,38
54210302 ,"JOHNSON, ROBERT DEAN ",RR #1 ,TINGLEY ,IA ,
54201706 ,LES BAER CUSTOM INC ,1804 IOWA DR ,LE CLAIRE ,IA ,18


